"pathway","vanilla_raw_p","genept_raw_p","embedding_rank","projected_rank","vanilla_adjusted_p","vanilla_qval","genept_adjusted_p","genept_qval","vanilla_rank","genept_rank","rank_delta","l2_raw_p","l2_adjusted_p","l2_qval","l2_rank"
"HALLMARK_BILE_ACID_METABOLISM",0.0233436169134307,0.351986208769717,80,75,1,0,1,0,31,21,-10,0.0513887607461245,1,0,17
"HALLMARK_FATTY_ACID_METABOLISM",3.81265104892234e-05,0.00059618767048381,129,124,0.00468956079017448,1.52606285259303,0.0733310834695086,1.06522856619588,5,8,3,7.93371655046569e-05,0.0097584713570728,1.417962696362,2
"HALLMARK_GLYCOLYSIS",0.101341801629482,0.000160158462101912,166,145,1,0,0.0196994908385352,1.30596515981639,32,4,-28,0.0010996776918826,0.13526035610156,0.932110226066041,10
"HALLMARK_HEME_METABOLISM",0.0513887607461245,0.230392335941705,166,147,1,0,1,0,33,22,-11,0.136726085875245,1,0,18
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00577645522630862,3.59717677613814e-08,197,196,0.71050399283596,0.385270654364906,4.42452743464991e-06,2.31389997788891,25,2,-23,0.0233436169134307,1,0,19
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.562150599897062,0.94372001658599,23,18,1,0,1,0,34,23,-11,1,1,0,20
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.0731481276708723,0.179741341532766,40,39,1,0,1,0,35,24,-11,0.288162930520753,1,0,21
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.0034223189265975,0.0233436169134307,27,22,0.420945227971492,0.613004412282997,1,0,23,25,2,0.999999999774808,1,0,22
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.230392335941705,0.00577645522630862,41,40,1,0,0.71050399283596,0.385270654364906,36,16,-20,0.136726085875245,1,0,23
"KEGG_BETA_ALANINE_METABOLISM",0.0351222601892017,0.00946978291842922,20,17,1,0,1,0,37,26,-11,0.999999983078982,1,0,24
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.0513887607461245,0.0233436169134307,19,18,1,0,1,0,38,27,-11,1,1,0,25
"KEGG_BUTANOATE_METABOLISM",0.00946978291842922,0.351986208769717,26,24,1,0,1,0,39,28,-11,0.998724216773701,1,0,26
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.00577645522630862,0.179741341532766,27,24,0.71050399283596,0.385270654364906,1,0,26,29,3,0.351986208769717,1,0,27
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.0010996776918826,0.00059618767048381,21,17,0.13526035610156,0.932110226066041,0.0733310834695086,1.06522856619588,15,9,-6,0.999978425151953,1,0,28
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.351986208769717,0.101341801629482,20,19,1,0,1,0,40,30,-10,0.999999999999496,1,0,29
"KEGG_ETHER_LIPID_METABOLISM",0.993445062647761,0.999303153456956,19,17,1,0,1,0,41,31,-10,1,1,0,30
"KEGG_FATTY_ACID_METABOLISM",0.0233436169134307,0.0233436169134307,32,32,1,0,1,0,42,32,-10,0.0351222601892017,1,0,31
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.420283707542506,0.562150599897062,29,29,1,0,1,0,43,33,-10,0.999978425151953,1,0,32
"KEGG_GALACTOSE_METABOLISM",0.0731481276708723,0.0731481276708723,21,20,1,0,1,0,44,34,-10,0.999999999999865,1,0,33
"KEGG_GLUTATHIONE_METABOLISM",0.0731481276708723,0.101341801629482,35,33,1,0,1,0,45,35,-10,0.101341801629482,1,0,34
"KEGG_GLYCEROLIPID_METABOLISM",0.288162930520753,0.562150599897062,40,35,1,0,1,0,46,36,-10,0.993445062647761,1,0,35
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.631270397757246,0.101341801629482,57,53,1,0,1,0,47,37,-10,0.49107566468588,1,0,36
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",1,1,25,19,1,0,1,0,48,38,-10,1,1,0,37
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0233436169134307,0.0150822934297104,42,41,1,0,1,0,49,39,-10,0.00196887460329715,0.242171576205549,0.784778205325666,13
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.755786128119809,0.974075350370635,18,17,1,0,1,0,50,40,-10,0.999999999999496,1,0,38
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.999999999999998,0.999999999999496,17,15,1,0,1,0,51,41,-10,1,1,0,39
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.631270397757246,0.8532336682836,16,16,1,0,1,0,52,42,-10,1,1,0,40
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1,0.999999999999998,18,15,1,0,1,0,53,43,-10,1,1,0,41
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.288162930520753,0.136726085875245,24,23,1,0,1,0,54,44,-10,0.999995656736981,1,0,42
"KEGG_HISTIDINE_METABOLISM",0.755786128119809,0.696379525408901,21,16,1,0,1,0,55,45,-10,1,1,0,43
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.0150822934297104,0.00946978291842922,50,46,1,0,1,0,56,46,-10,0.101341801629482,1,0,44
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",3.81265104892234e-05,0.000313688994347936,23,18,0.00468956079017448,1.52606285259303,0.0385837463047961,1.18894726823464,6,6,0,0.999303153456956,1,0,45
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.420283707542506,0.562150599897062,19,18,1,0,1,0,57,47,-10,1,1,0,46
