"Pathway","Pval","adjPval","qval"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",4.5286372085409e-167,5.61551013859072e-165,12.8160294469198
"REACTOME_METABOLISM_OF_POLYAMINES",8.40838558519141e-108,1.04263981256373e-105,10.2460658643122
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",4.70850426046534e-90,5.83854528297702e-88,9.33989803729745
"HALLMARK_HEME_METABOLISM",4.61826733749934e-84,5.72665149849918e-82,9.01343992300041
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.07594834265964e-83,2.57417594489795e-81,8.97715777807174
"HALLMARK_GLYCOLYSIS",9.27588004136373e-83,1.1502091251291e-80,8.94087373757566
"KEGG_OXIDATIVE_PHOSPHORYLATION",1.51031168811947e-79,1.87278649326814e-77,8.75942416666058
"REACTOME_TP53_REGULATES_METABOLIC_GENES",6.51047959942234e-79,8.0729947032837e-77,8.72312818502964
"REACTOME_METABOLISM_OF_CARBOHYDRATES",2.78972173254621e-78,3.4592549483573e-76,8.68683011397965
"HALLMARK_FATTY_ACID_METABOLISM",1.18825692146557e-77,1.47343858261731e-75,8.65052992377612
"REACTOME_GLYCOLYSIS",2.65734883610237e-70,3.29511255676694e-68,8.21475074155515
"REACTOME_GLUCONEOGENESIS",4.1020612331784e-69,5.08655592914122e-67,8.1420867212197
"KEGG_PURINE_METABOLISM",9.21181194611466e-63,1.14226468131822e-60,7.74223696688038
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",1.21723877983619e-61,1.50937608699688e-59,7.66949819315485
"REACTOME_BIOLOGICAL_OXIDATIONS",4.38527115600728e-61,5.43773623344903e-59,7.63312399102901
"REACTOME_GLUCOSE_METABOLISM",4.38527115600728e-61,5.43773623344903e-59,7.63312399102901
"REACTOME_METABOLISM_OF_NUCLEOTIDES",4.38527115600728e-61,5.43773623344903e-59,7.63312399102901
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",1.1625701841953e-55,1.44158702840217e-53,7.26919246781847
"REACTOME_METABOLISM_OF_STEROIDS",1.1625701841953e-55,1.44158702840217e-53,7.26919246781847
"KEGG_PYRIMIDINE_METABOLISM",1.64923951313432e-51,2.04505699628656e-49,6.97777146255052
"REACTOME_TRIGLYCERIDE_METABOLISM",1.69551669479998e-50,2.10244070155198e-48,6.90487336918273
"KEGG_PYRUVATE_METABOLISM",4.51834042284507e-46,5.60274212432789e-44,6.57659481542004
"REACTOME_METABOLISM_OF_COFACTORS",1.21205431958734e-44,1.5029473562883e-42,6.46707478162826
"KEGG_GLUTATHIONE_METABOLISM",2.58566997522978e-42,3.20623076928493e-40,6.28442560799313
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",1.69494501893838e-40,2.10173182348359e-38,6.13819376525587
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",4.75140675782432e-40,5.89174437970216e-38,6.10161913788466
"REACTOME_GLYCOGEN_METABOLISM",3.66759771739202e-39,4.5478211695661e-37,6.02844893990756
"REACTOME_TRIGLYCERIDE_CATABOLISM",2.76425020603758e-38,3.4276702554866e-36,5.95524986580768
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",2.03427923632651e-37,2.52250625304487e-35,5.88202071983059
"REACTOME_DISEASES_OF_METABOLISM",5.469425418607e-37,6.78208751907268e-35,5.84539447857822
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",5.469425418607e-37,6.78208751907268e-35,5.84539447857822
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",2.69257281393792e-35,3.33879028928302e-33,5.69880784535629
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",4.70054763956531e-34,5.82867907306098e-32,5.58877713424562
"REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM",4.70054763956531e-34,5.82867907306098e-32,5.58877713424562
"REACTOME_PYRUVATE_METABOLISM",1.95831500756401e-32,2.42831060937937e-30,5.4419386033555
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",1.95831500756401e-32,2.42831060937937e-30,5.4419386033555
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",4.90169161977929e-32,6.07809760852632e-30,5.40520418946773
"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES",1.21961240255141e-31,1.51231937916375e-29,5.36845941427054
"REACTOME_FATTY_ACID_METABOLISM",3.01654859794182e-31,3.74052026144786e-29,5.33170404171606
"KEGG_PROPANOATE_METABOLISM",1.81270114546452e-30,2.247749420376e-28,5.25816052490351
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",1.81270114546452e-30,2.247749420376e-28,5.25816052490351
"KEGG_ARACHIDONIC_ACID_METABOLISM",4.40406870862487e-30,5.46104519869484e-28,5.22137187231317
"REACTOME_PEPTIDE_HORMONE_METABOLISM",2.55358880464639e-29,3.16645011776152e-27,5.1477594494286
"REACTOME_NUCLEOBASE_CATABOLISM",6.09425308641025e-29,7.55687382714871e-27,5.11093512274331
"REACTOME_PHOSPHOLIPID_METABOLISM",1.44578732528501e-28,1.79277628335341e-26,5.07409833386375
"KEGG_ARGININE_AND_PROLINE_METABOLISM",3.40959675253869e-28,4.22789997314798e-26,5.03724878243174
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",1.86271056919051e-27,2.30976110579623e-25,4.96351014263479
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",4.31508846879475e-27,5.35070970130549e-25,4.92662040456784
"HALLMARK_BILE_ACID_METABOLISM",9.93687553225415e-27,1.23217256599951e-24,4.88971660373975
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",2.27471041703527e-26,2.82064091712373e-24,4.85279838839067
"REACTOME_ARACHIDONIC_ACID_METABOLISM",1.17092274911973e-25,1.45194420890846e-23,4.77891724882543
"REACTOME_SULFUR_AMINO_ACID_METABOLISM",6.4810613768901e-23,8.03651610734372e-21,4.4827371304275
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION",6.27672712301293e-22,7.78314163253603e-20,4.37136649875889
"KEGG_BETA_ALANINE_METABOLISM",1.19237527321583e-20,1.47854533878763e-18,4.22257804587788
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",5.01519391851161e-20,6.2188404589544e-18,4.14804659865793
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",2.05995286063461e-19,2.55434154718692e-17,4.07341638340892
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",2.05995286063461e-19,2.55434154718692e-17,4.07341638340892
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",2.05995286063461e-19,2.55434154718692e-17,4.07341638340892
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",8.26276623354586e-19,1.02458301295969e-16,3.99868138875443
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",3.23665431480077e-18,4.01345135035296e-16,3.92383511338339
"REACTOME_METABOLISM_OF_STEROID_HORMONES",1.23815231196184e-17,1.53530886683268e-15,3.84887051508645
"REACTOME_PI_METABOLISM",1.23815231196184e-17,1.53530886683268e-15,3.84887051508645
"KEGG_GLYCEROLIPID_METABOLISM",2.40023862698042e-17,2.97629589745572e-15,3.81134148224489
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",4.62554786462979e-17,5.73567935214094e-15,3.77377995324233
"KEGG_BUTANOATE_METABOLISM",1.68759531678754e-16,2.09261819281655e-14,3.69855512373796
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",1.68759531678754e-16,2.09261819281655e-14,3.69855512373796
