"Pathway","Pval","adjPval","qval","FC"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",1.2142601243758e-44,1.50568255422599e-42,6.46701372981185,-6.7007519416747
"KEGG_OXIDATIVE_PHOSPHORYLATION",2.02359123709369e-26,2.50925313399618e-24,4.85803000451362,-12.0524174011711
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",3.22386287426281e-23,3.99758996408588e-21,4.51643684267328,-9.30496425383659
"REACTOME_TP53_REGULATES_METABOLIC_GENES",1.88172961555773e-22,2.33334472329159e-20,4.43080366240041,-4.67070235131298
"REACTOME_METABOLISM_OF_POLYAMINES",7.93240113799911e-19,9.8361774111189e-17,4.00089660534614,-6.38215129701931
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.83002735523869e-18,4.74923392049598e-16,3.91450845432638,-21.4104408961655
"HALLMARK_HEME_METABOLISM",1.79179957151977e-17,2.22183146868451e-15,3.82796145310236,-1.57024630126922
"HALLMARK_GLYCOLYSIS",6.26163235949069e-15,7.76442412576846e-13,3.47992683107413,-5.60933758920255
"REACTOME_METABOLISM_OF_NUCLEOTIDES",6.26163235949069e-15,7.76442412576846e-13,3.47992683107413,-4.9189725340099
"REACTOME_METABOLISM_OF_STEROIDS",2.5022986233163e-14,3.10285029291221e-12,3.39237957455498,-1.42583615114181
"HALLMARK_FATTY_ACID_METABOLISM",9.6901238729472e-14,1.20157536024545e-11,3.30458000144976,-7.7029586015503
"REACTOME_METABOLISM_OF_CARBOHYDRATES",4.66051712619044e-12,5.77904123647615e-10,3.03943155978297,-4.76510034135823
"REACTOME_GLUCONEOGENESIS",1.59178638580836e-11,1.97381511840237e-09,2.95037176113098,-2.91921671547123
"REACTOME_GLYCOGEN_METABOLISM",5.26903195422322e-11,6.53359962323679e-09,2.86091724495193,0.771876142725102
"KEGG_PURINE_METABOLISM",1.69038678268048e-10,2.0960796105238e-08,2.77102728723057,-4.71742534844191
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",1.69038678268048e-10,2.0960796105238e-08,2.77102728723057,-1.7161714608989
"KEGG_PYRIMIDINE_METABOLISM",5.25612166428945e-10,6.51759086371892e-08,2.6806553126961,-4.46076465137569
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",5.25612166428945e-10,6.51759086371892e-08,2.6806553126961,-2.83484610072907
"REACTOME_GLYCOLYSIS",1.58410791482518e-09,1.96429381438322e-07,2.58974777747903,-3.01971503246019
"REACTOME_BIOLOGICAL_OXIDATIONS",4.62765891657924e-09,5.73829705655826e-07,2.49824277707834,-3.3610563639602
"REACTOME_GLUCOSE_METABOLISM",4.62765891657924e-09,5.73829705655826e-07,2.49824277707834,-4.03607127548774
