dataset_index,dataset_gene,match_type,embedding_key
0,AL627309.1,unmatched,
1,AL669831.5,unmatched,
2,LINC00115,exact,LINC00115
3,FAM41C,exact,FAM41C
4,SAMD11,exact,SAMD11
5,NOC2L,exact,NOC2L
6,KLHL17,exact,KLHL17
7,PLEKHN1,exact,PLEKHN1
8,ISG15,exact,ISG15
9,AGRN,exact,AGRN
10,C1orf159,exact,C1orf159
11,TNFRSF4,exact,TNFRSF4
12,SDF4,exact,SDF4
13,B3GALT6,exact,B3GALT6
14,C1QTNF12,exact,C1QTNF12
15,AL162741.1,unmatched,
16,UBE2J2,exact,UBE2J2
17,LINC01786,exact,LINC01786
18,SCNN1D,exact,SCNN1D
19,ACAP3,exact,ACAP3
20,PUSL1,exact,PUSL1
21,INTS11,exact,INTS11
22,CPTP,exact,CPTP
23,TAS1R3,exact,TAS1R3
24,DVL1,exact,DVL1
25,MXRA8,exact,MXRA8
26,AURKAIP1,exact,AURKAIP1
27,CCNL2,exact,CCNL2
28,MRPL20,exact,MRPL20
29,AL391244.3,unmatched,
30,ATAD3C,exact,ATAD3C
31,ATAD3B,exact,ATAD3B
32,ATAD3A,exact,ATAD3A
33,TMEM240,exact,TMEM240
34,SSU72,exact,SSU72
35,AL645728.1,unmatched,
36,FNDC10,exact,FNDC10
37,AL691432.2,unmatched,
38,MIB2,exact,MIB2
39,MMP23B,exact,MMP23B
40,CDK11B,exact,CDK11B
41,FO704657.1,unmatched,
42,SLC35E2B,exact,SLC35E2B
43,CDK11A,exact,CDK11A
44,SLC35E2A,exact,SLC35E2A
45,NADK,exact,NADK
46,GNB1,exact,GNB1
47,AL109917.1,unmatched,
48,CFAP74,exact,CFAP74
49,GABRD,exact,GABRD
50,PRKCZ,exact,PRKCZ
51,AL590822.2,unmatched,
52,PRKCZ-AS1,exact,PRKCZ-AS1
53,FAAP20,exact,FAAP20
54,SKI,exact,SKI
55,MORN1,exact,MORN1
56,RER1,exact,RER1
57,PEX10,exact,PEX10
58,PLCH2,exact,PLCH2
59,PANK4,exact,PANK4
60,AL139246.5,unmatched,
61,TNFRSF14-AS1,exact,TNFRSF14-AS1
62,TNFRSF14,exact,TNFRSF14
63,AL139246.3,unmatched,
64,FAM213B,official_alias,FAM213B
65,MMEL1,exact,MMEL1
66,TTC34,exact,TTC34
67,MEGF6,exact,MEGF6
68,AL513320.1,unmatched,
69,TPRG1L,exact,TPRG1L
70,WRAP73,exact,WRAP73
71,TP73,exact,TP73
72,SMIM1,exact,SMIM1
73,LRRC47,exact,LRRC47
74,CEP104,exact,CEP104
75,DFFB,exact,DFFB
76,C1orf174,exact,C1orf174
77,LINC01134,exact,LINC01134
78,AL805961.2,unmatched,
79,AJAP1,exact,AJAP1
80,AL365255.1,unmatched,
81,NPHP4,exact,NPHP4
82,KCNAB2,exact,KCNAB2
83,CHD5,exact,CHD5
84,RPL22,exact,RPL22
85,RNF207,exact,RNF207
86,ICMT,exact,ICMT
87,LINC00337,unmatched,
88,ACOT7,exact,ACOT7
89,AL031848.2,unmatched,
90,HES2,exact,HES2
91,ESPN,exact,ESPN
92,TNFRSF25,exact,TNFRSF25
93,PLEKHG5,exact,PLEKHG5
94,NOL9,exact,NOL9
95,ZBTB48,exact,ZBTB48
96,KLHL21,exact,KLHL21
97,PHF13,exact,PHF13
98,THAP3,exact,THAP3
99,DNAJC11,exact,DNAJC11
100,AL591163.1,unmatched,
101,CAMTA1-DT,exact,CAMTA1-DT
102,CAMTA1,exact,CAMTA1
103,VAMP3,exact,VAMP3
104,PER3,exact,PER3
105,Z98884.1,unmatched,
106,PARK7,exact,PARK7
107,AL034417.4,unmatched,
108,AL034417.3,unmatched,
109,ERRFI1,exact,ERRFI1
110,SLC45A1,exact,SLC45A1
111,RERE,exact,RERE
112,AL096855.1,unmatched,
113,AL357552.2,unmatched,
114,ENO1,exact,ENO1
115,ENO1-AS1,exact,ENO1-AS1
116,CA6,exact,CA6
117,GPR157,exact,GPR157
118,H6PD,exact,H6PD
119,SPSB1,exact,SPSB1
120,SLC25A33,exact,SLC25A33
121,TMEM201,exact,TMEM201
122,PIK3CD,exact,PIK3CD
123,PIK3CD-AS1,exact,PIK3CD-AS1
124,PIK3CD-AS2,exact,PIK3CD-AS2
125,CLSTN1,exact,CLSTN1
126,CTNNBIP1,exact,CTNNBIP1
127,LZIC,exact,LZIC
128,NMNAT1,exact,NMNAT1
129,UBE4B,exact,UBE4B
130,KIF1B,exact,KIF1B
131,AL139424.3,unmatched,
132,AL139424.2,unmatched,
133,PGD,exact,PGD
134,CENPS,exact,CENPS
135,DFFA,exact,DFFA
136,AL354956.1,unmatched,
137,PEX14,exact,PEX14
138,CASZ1,exact,CASZ1
139,TARDBP,exact,TARDBP
140,AL109811.3,unmatched,
141,SRM,exact,SRM
142,EXOSC10,exact,EXOSC10
143,AL109811.1,unmatched,
144,MTOR,exact,MTOR
145,ANGPTL7,exact,ANGPTL7
146,UBIAD1,exact,UBIAD1
147,DISP3,exact,DISP3
148,AL031731.1,unmatched,
149,FBXO2,exact,FBXO2
150,FBXO44,exact,FBXO44
151,FBXO6,exact,FBXO6
152,MAD2L2,exact,MAD2L2
153,DRAXIN,exact,DRAXIN
154,AGTRAP,exact,AGTRAP
155,MTHFR,exact,MTHFR
156,CLCN6,exact,CLCN6
157,NPPA-AS1,unmatched,
158,KIAA2013,exact,KIAA2013
159,PLOD1,exact,PLOD1
160,MFN2,exact,MFN2
161,MIIP,exact,MIIP
162,TNFRSF1B,exact,TNFRSF1B
163,VPS13D,exact,VPS13D
164,DHRS3,exact,DHRS3
165,PRDM2,exact,PRDM2
166,KAZN,exact,KAZN
167,EFHD2,exact,EFHD2
168,CASP9,exact,CASP9
169,DNAJC16,exact,DNAJC16
170,AL121992.3,unmatched,
171,AGMAT,exact,AGMAT
172,AL121992.1,unmatched,
173,DDI2,exact,DDI2
174,PLEKHM2,exact,PLEKHM2
175,SLC25A34,exact,SLC25A34
176,FBLIM1,exact,FBLIM1
177,UQCRHL,exact,UQCRHL
178,AL450998.2,unmatched,
179,SPEN,exact,SPEN
180,ZBTB17,exact,ZBTB17
181,ARHGEF19,exact,ARHGEF19
182,CPLANE2,exact,CPLANE2
183,FBXO42,exact,FBXO42
184,SZRD1,exact,SZRD1
185,SPATA21,exact,SPATA21
186,NECAP2,exact,NECAP2
187,LINC01772,exact,LINC01772
188,AL137802.2,unmatched,
189,NBPF1,exact,NBPF1
190,CROCC,exact,CROCC
191,BX284668.5,unmatched,
192,BX284668.6,unmatched,
193,ATP13A2,exact,ATP13A2
194,SDHB,exact,SDHB
195,PADI4,exact,PADI4
196,RCC2,exact,RCC2
197,ALDH4A1,exact,ALDH4A1
198,IFFO2,exact,IFFO2
199,UBR4,exact,UBR4
200,AL035413.1,unmatched,
201,EMC1,exact,EMC1
202,MRTO4,exact,MRTO4
203,AKR7A3,exact,AKR7A3
204,AKR7A2,exact,AKR7A2
205,PQLC2,official_alias,PQLC2
206,CAPZB,exact,CAPZB
207,MINOS1,official_alias,MINOS1
208,NBL1,exact,NBL1
209,TMCO4,exact,TMCO4
210,OTUD3,exact,OTUD3
211,PLA2G2C,exact,PLA2G2C
212,UBXN10-AS1,official_alias,UBXN10-AS1
213,CAMK2N1,exact,CAMK2N1
214,MUL1,exact,MUL1
215,PINK1,exact,PINK1
216,PINK1-AS,exact,PINK1-AS
217,DDOST,exact,DDOST
218,HP1BP3,exact,HP1BP3
219,EIF4G3,exact,EIF4G3
220,ECE1,exact,ECE1
221,AL031728.1,unmatched,
222,NBPF3,exact,NBPF3
223,USP48,exact,USP48
224,HSPG2,exact,HSPG2
225,LINC01635,exact,LINC01635
226,CDC42,exact,CDC42
227,AL031281.2,unmatched,
228,ZBTB40,exact,ZBTB40
229,KDM1A,exact,KDM1A
230,LUZP1,exact,LUZP1
231,LINC01355,exact,LINC01355
232,AL109936.6,unmatched,
233,HNRNPR,exact,HNRNPR
234,ZNF436,exact,ZNF436
235,ZNF436-AS1,exact,ZNF436-AS1
236,AL109936.2,unmatched,
237,TCEA3,exact,TCEA3
238,ID3,exact,ID3
239,MDS2,exact,MDS2
240,RPL11,exact,RPL11
241,ELOA,exact,ELOA
242,ELOA-AS1,exact,ELOA-AS1
243,PITHD1,exact,PITHD1
244,LYPLA2,exact,LYPLA2
245,GALE,exact,GALE
246,HMGCL,exact,HMGCL
247,FUCA1,exact,FUCA1
248,CNR2,exact,CNR2
249,PNRC2,exact,PNRC2
250,SRSF10,exact,SRSF10
251,IFNLR1,exact,IFNLR1
252,STPG1,exact,STPG1
253,NIPAL3,exact,NIPAL3
254,RCAN3,exact,RCAN3
255,AL445686.2,unmatched,
256,SRRM1,exact,SRRM1
257,RUNX3,exact,RUNX3
258,AL031432.1,unmatched,
259,SYF2,exact,SYF2
260,RSRP1,exact,RSRP1
261,AL031432.3,unmatched,
262,RHD,exact,RHD
263,TMEM50A,exact,TMEM50A
264,RHCE,exact,RHCE
265,MACO1,exact,MACO1
266,LDLRAP1,exact,LDLRAP1
267,AL606491.1,unmatched,
268,MAN1C1,exact,MAN1C1
269,AL031280.1,unmatched,
270,SELENON,exact,SELENON
271,AL020996.1,unmatched,
272,MTFR1L,exact,MTFR1L
273,AUNIP,exact,AUNIP
274,AL033528.2,unmatched,
275,PAQR7,exact,PAQR7
276,STMN1,exact,STMN1
277,PAFAH2,exact,PAFAH2
278,EXTL1,exact,EXTL1
279,SLC30A2,exact,SLC30A2
280,PDIK1L,exact,PDIK1L
281,ZNF593,exact,ZNF593
282,CNKSR1,exact,CNKSR1
283,CEP85,exact,CEP85
284,SH3BGRL3,exact,SH3BGRL3
285,UBXN11,exact,UBXN11
286,CD52,exact,CD52
287,CRYBG2,exact,CRYBG2
288,LIN28A,exact,LIN28A
289,DHDDS,exact,DHDDS
