dataset_index,dataset_gene,match_type,embedding_key
0,AL627309.1,unmatched,
1,AL669831.5,unmatched,
2,LINC00115,exact,LINC00115
3,FAM41C,exact,FAM41C
4,AL645608.3,unmatched,
5,NOC2L,exact,NOC2L
6,KLHL17,exact,KLHL17
7,PLEKHN1,exact,PLEKHN1
8,ISG15,exact,ISG15
9,AGRN,exact,AGRN
10,C1orf159,exact,C1orf159
11,TNFRSF18,exact,TNFRSF18
12,TNFRSF4,exact,TNFRSF4
13,SDF4,exact,SDF4
14,B3GALT6,exact,B3GALT6
15,C1QTNF12,exact,C1QTNF12
16,AL162741.1,unmatched,
17,UBE2J2,exact,UBE2J2
18,LINC01786,exact,LINC01786
19,SCNN1D,exact,SCNN1D
20,ACAP3,exact,ACAP3
21,PUSL1,exact,PUSL1
22,INTS11,exact,INTS11
23,CPTP,exact,CPTP
24,DVL1,exact,DVL1
25,MXRA8,exact,MXRA8
26,AURKAIP1,exact,AURKAIP1
27,CCNL2,exact,CCNL2
28,MRPL20,exact,MRPL20
29,AL391244.3,unmatched,
30,ATAD3C,exact,ATAD3C
31,ATAD3B,exact,ATAD3B
32,ATAD3A,exact,ATAD3A
33,TMEM240,exact,TMEM240
34,SSU72,exact,SSU72
35,AL645728.1,unmatched,
36,FNDC10,exact,FNDC10
37,AL691432.2,unmatched,
38,MIB2,exact,MIB2
39,MMP23B,exact,MMP23B
40,CDK11B,exact,CDK11B
41,FO704657.1,unmatched,
42,SLC35E2B,exact,SLC35E2B
43,CDK11A,exact,CDK11A
44,SLC35E2A,exact,SLC35E2A
45,NADK,exact,NADK
46,GNB1,exact,GNB1
47,AL109917.1,unmatched,
48,CFAP74,exact,CFAP74
49,GABRD,exact,GABRD
50,PRKCZ,exact,PRKCZ
51,AL590822.2,unmatched,
52,PRKCZ-AS1,exact,PRKCZ-AS1
53,FAAP20,exact,FAAP20
54,SKI,exact,SKI
55,MORN1,exact,MORN1
56,RER1,exact,RER1
57,PEX10,exact,PEX10
58,PLCH2,exact,PLCH2
59,PANK4,exact,PANK4
60,AL139246.5,unmatched,
61,TNFRSF14-AS1,exact,TNFRSF14-AS1
62,TNFRSF14,exact,TNFRSF14
63,AL139246.3,unmatched,
64,FAM213B,official_alias,FAM213B
65,MMEL1,exact,MMEL1
66,TTC34,exact,TTC34
67,MEGF6,exact,MEGF6
68,AL513320.1,unmatched,
69,TPRG1L,exact,TPRG1L
70,WRAP73,exact,WRAP73
71,TP73,exact,TP73
72,SMIM1,exact,SMIM1
73,LRRC47,exact,LRRC47
74,CEP104,exact,CEP104
75,DFFB,exact,DFFB
76,C1orf174,exact,C1orf174
77,LINC01134,exact,LINC01134
78,AJAP1,exact,AJAP1
79,AL365255.1,unmatched,
80,NPHP4,exact,NPHP4
81,KCNAB2,exact,KCNAB2
82,RPL22,exact,RPL22
83,ICMT,exact,ICMT
84,GPR153,exact,GPR153
85,ACOT7,exact,ACOT7
86,AL031848.2,unmatched,
87,HES2,exact,HES2
88,ESPN,exact,ESPN
89,TNFRSF25,exact,TNFRSF25
90,PLEKHG5,exact,PLEKHG5
91,NOL9,exact,NOL9
92,ZBTB48,exact,ZBTB48
93,KLHL21,exact,KLHL21
94,PHF13,exact,PHF13
95,THAP3,exact,THAP3
96,DNAJC11,exact,DNAJC11
97,AL591163.1,unmatched,
98,CAMTA1-DT,exact,CAMTA1-DT
99,CAMTA1,exact,CAMTA1
100,VAMP3,exact,VAMP3
101,PER3,exact,PER3
102,Z98884.1,unmatched,
103,TNFRSF9,exact,TNFRSF9
104,PARK7,exact,PARK7
105,AL034417.4,unmatched,
106,AL034417.3,unmatched,
107,ERRFI1,exact,ERRFI1
108,SLC45A1,exact,SLC45A1
109,RERE,exact,RERE
110,AL096855.1,unmatched,
111,ENO1,exact,ENO1
112,ENO1-AS1,exact,ENO1-AS1
113,CA6,exact,CA6
114,GPR157,exact,GPR157
115,H6PD,exact,H6PD
116,SPSB1,exact,SPSB1
117,SLC25A33,exact,SLC25A33
118,TMEM201,exact,TMEM201
119,PIK3CD,exact,PIK3CD
120,PIK3CD-AS1,exact,PIK3CD-AS1
121,PIK3CD-AS2,exact,PIK3CD-AS2
122,CLSTN1,exact,CLSTN1
123,CTNNBIP1,exact,CTNNBIP1
124,LZIC,exact,LZIC
125,NMNAT1,exact,NMNAT1
126,UBE4B,exact,UBE4B
127,KIF1B,exact,KIF1B
128,AL139424.3,unmatched,
129,PGD,exact,PGD
130,CENPS,exact,CENPS
131,DFFA,exact,DFFA
132,AL354956.1,unmatched,
133,PEX14,exact,PEX14
134,CASZ1,exact,CASZ1
135,TARDBP,exact,TARDBP
136,AL109811.3,unmatched,
137,SRM,exact,SRM
138,EXOSC10,exact,EXOSC10
139,AL109811.1,unmatched,
140,MTOR,exact,MTOR
141,UBIAD1,exact,UBIAD1
142,AL031731.1,unmatched,
143,FBXO2,exact,FBXO2
144,FBXO44,exact,FBXO44
145,FBXO6,exact,FBXO6
146,MAD2L2,exact,MAD2L2
147,DRAXIN,exact,DRAXIN
148,AGTRAP,exact,AGTRAP
149,MTHFR,exact,MTHFR
150,CLCN6,exact,CLCN6
151,NPPA-AS1,unmatched,
152,KIAA2013,exact,KIAA2013
153,PLOD1,exact,PLOD1
154,MFN2,exact,MFN2
155,MIIP,exact,MIIP
156,TNFRSF1B,exact,TNFRSF1B
157,VPS13D,exact,VPS13D
158,DHRS3,exact,DHRS3
159,PRDM2,exact,PRDM2
160,EFHD2,exact,EFHD2
161,CASP9,exact,CASP9
162,DNAJC16,exact,DNAJC16
163,AL121992.3,unmatched,
164,AGMAT,exact,AGMAT
165,AL121992.1,unmatched,
166,DDI2,exact,DDI2
167,PLEKHM2,exact,PLEKHM2
168,SLC25A34,exact,SLC25A34
169,FBLIM1,exact,FBLIM1
170,UQCRHL,exact,UQCRHL
171,AL450998.2,unmatched,
172,SPEN,exact,SPEN
173,ZBTB17,exact,ZBTB17
174,ARHGEF19,exact,ARHGEF19
175,CPLANE2,exact,CPLANE2
176,FBXO42,exact,FBXO42
177,SZRD1,exact,SZRD1
178,SPATA21,exact,SPATA21
179,NECAP2,exact,NECAP2
180,LINC01772,exact,LINC01772
181,AL137802.2,unmatched,
182,NBPF1,exact,NBPF1
183,CROCC,exact,CROCC
184,BX284668.5,unmatched,
185,BX284668.6,unmatched,
186,ATP13A2,exact,ATP13A2
187,SDHB,exact,SDHB
188,PADI4,exact,PADI4
189,RCC2,exact,RCC2
190,ALDH4A1,exact,ALDH4A1
191,IFFO2,exact,IFFO2
192,UBR4,exact,UBR4
193,AL035413.1,unmatched,
194,EMC1,exact,EMC1
195,MRTO4,exact,MRTO4
196,AKR7A2,exact,AKR7A2
197,PQLC2,official_alias,PQLC2
198,CAPZB,exact,CAPZB
199,MINOS1,official_alias,MINOS1
200,NBL1,exact,NBL1
201,TMCO4,exact,TMCO4
202,OTUD3,exact,OTUD3
203,UBXN10-AS1,official_alias,UBXN10-AS1
204,CAMK2N1,exact,CAMK2N1
205,MUL1,exact,MUL1
206,PINK1,exact,PINK1
207,PINK1-AS,exact,PINK1-AS
208,DDOST,exact,DDOST
209,HP1BP3,exact,HP1BP3
210,EIF4G3,exact,EIF4G3
211,ECE1,exact,ECE1
212,AL031728.1,unmatched,
213,NBPF3,exact,NBPF3
214,USP48,exact,USP48
215,HSPG2,exact,HSPG2
216,LINC01635,exact,LINC01635
217,CDC42,exact,CDC42
218,ZBTB40,exact,ZBTB40
219,KDM1A,exact,KDM1A
220,LUZP1,exact,LUZP1
221,LINC01355,exact,LINC01355
222,AL109936.6,unmatched,
223,HNRNPR,exact,HNRNPR
224,ZNF436,exact,ZNF436
225,ZNF436-AS1,exact,ZNF436-AS1
226,TCEA3,exact,TCEA3
227,ID3,exact,ID3
228,MDS2,exact,MDS2
229,RPL11,exact,RPL11
230,ELOA,exact,ELOA
231,ELOA-AS1,exact,ELOA-AS1
232,PITHD1,exact,PITHD1
233,LYPLA2,exact,LYPLA2
234,GALE,exact,GALE
235,HMGCL,exact,HMGCL
236,FUCA1,exact,FUCA1
237,CNR2,exact,CNR2
238,PNRC2,exact,PNRC2
239,SRSF10,exact,SRSF10
240,IFNLR1,exact,IFNLR1
241,STPG1,exact,STPG1
242,NIPAL3,exact,NIPAL3
243,RCAN3,exact,RCAN3
244,AL445686.2,unmatched,
245,SRRM1,exact,SRRM1
246,RUNX3,exact,RUNX3
247,SYF2,exact,SYF2
248,AL031432.5,unmatched,
249,RSRP1,exact,RSRP1
250,RHD,exact,RHD
251,TMEM50A,exact,TMEM50A
252,MACO1,exact,MACO1
253,LDLRAP1,exact,LDLRAP1
254,AL606491.1,unmatched,
255,MAN1C1,exact,MAN1C1
256,AL031280.1,unmatched,
257,SELENON,exact,SELENON
258,AL020996.1,unmatched,
259,MTFR1L,exact,MTFR1L
260,PAQR7,exact,PAQR7
261,STMN1,exact,STMN1
262,PAFAH2,exact,PAFAH2
263,SLC30A2,exact,SLC30A2
264,PDIK1L,exact,PDIK1L
265,ZNF593,exact,ZNF593
266,CNKSR1,exact,CNKSR1
267,CEP85,exact,CEP85
268,SH3BGRL3,exact,SH3BGRL3
269,UBXN11,exact,UBXN11
270,CD52,exact,CD52
271,CRYBG2,exact,CRYBG2
272,ZNF683,exact,ZNF683
273,DHDDS,exact,DHDDS
274,AL513365.2,unmatched,
275,HMGN2,exact,HMGN2
276,RPS6KA1,exact,RPS6KA1
277,AL512408.1,unmatched,
278,ARID1A,exact,ARID1A
279,PIGV,exact,PIGV
280,ZDHHC18,exact,ZDHHC18
281,GPN2,exact,GPN2
282,GPATCH3,exact,GPATCH3
283,NUDC,exact,NUDC
284,KDF1,exact,KDF1
285,SLC9A1,exact,SLC9A1
286,WDTC1,exact,WDTC1
287,TMEM222,exact,TMEM222
288,SYTL1,exact,SYTL1
