pathway,source_database,n_original_pathway_genes,n_shared_cd4_cd8_genes,n_genept_mappable_genes,n_primary_paired_genes,expression_coverage_cd4,expression_coverage_cd8,primary_gene_set_identical,vanilla_raw_p,genept_raw_p,embedding_rank,projected_rank,vanilla_adjusted_p,vanilla_qval,genept_adjusted_p,genept_qval,vanilla_rank,genept_rank,rank_delta,l2_raw_p,l2_adjusted_p,l2_qval,l2_rank
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,REACTOME,374,299,373,299,1.0,1.0,True,4.62765891657924e-09,5.26903195422322e-11,295,275,5.69202046739247e-07,2.49894648741163,6.48090930369456e-09,2.8615317674606,1,1,0,0.0010996776918826,0.13526035610156,0.932110226066041,12.0
KEGG_PURINE_METABOLISM,KEGG,159,129,157,127,0.9793774882554956,0.977622667766645,True,3.59717677613814e-08,8.03548663493119e-06,126,120,4.42452743464991e-06,2.31389997788891,0.000988364856096536,1.73351743731473,2,3,1,0.0010996776918826,0.13526035610156,0.932110226066041,11.0
REACTOME_GLUCONEOGENESIS,REACTOME,34,27,34,27,1.0,1.0,True,6.1774102028672e-07,0.0233436169134307,27,27,7.59821454952666e-05,2.02960302707371,1.0,0.0,3,75,72,0.000313688994347936,0.0385837463047961,1.18894726823464,5.0
REACTOME_METABOLISM_OF_CARBOHYDRATES,REACTOME,293,228,293,228,1.0,1.0,True,3.52341775794401e-06,0.00577645522630862,224,208,0.000433380384227113,1.83388406114409,0.71050399283596,0.385270654364906,4,20,16,0.0150822934297104,1.0,0.0,87.0
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK,158,129,158,129,1.0,1.0,True,3.81265104892234e-05,0.00059618767048381,129,124,0.00468956079017448,1.52606285259303,0.0733310834695086,1.06522856619588,5,8,3,7.93371655046569e-05,0.0097584713570728,1.417962696362,2.0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG,70,23,69,23,1.0,1.0,True,3.81265104892234e-05,0.000313688994347936,23,18,0.00468956079017448,1.52606285259303,0.0385837463047961,1.18894726823464,6,6,0,0.999303153456956,1.0,0.0,45.0
REACTOME_SYNTHESIS_OF_PC,REACTOME,28,23,28,23,1.0,1.0,True,3.81265104892234e-05,0.000160158462101912,22,20,0.00468956079017448,1.52606285259303,0.0196994908385352,1.30596515981639,7,5,-2,0.999905146038811,1.0,0.0,115.0
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,REACTOME,33,26,33,26,1.0,1.0,True,7.93371655046569e-05,0.00577645522630862,26,23,0.0097584713570728,1.417962696362,0.71050399283596,0.385270654364906,8,18,10,0.0233436169134307,1.0,0.0,75.0
REACTOME_GLYCOGEN_METABOLISM,REACTOME,27,24,27,24,1.0,1.0,True,7.93371655046569e-05,0.420283707542506,22,21,0.0097584713570728,1.417962696362,1.0,0.0,9,78,69,0.000160158462101912,0.0196994908385352,1.30596515981639,4.0
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,REACTOME,124,84,124,84,1.0,1.0,True,0.000160158462101912,0.000313688994347936,83,70,0.0196994908385352,1.30596515981639,0.0385837463047961,1.18894726823464,10,7,-3,0.0513887607461245,1.0,0.0,77.0
REACTOME_TP53_REGULATES_METABOLIC_GENES,REACTOME,86,82,84,80,0.7608848397651357,0.7703856216710804,True,0.000160158462101912,0.0233436169134307,79,78,0.0196994908385352,1.30596515981639,1.0,0.0,11,120,109,0.00946978291842922,1.0,0.0,120.0
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,REACTOME,34,29,34,29,1.0,1.0,True,0.00059618767048381,0.0150822934297104,27,24,0.0733310834695086,1.06522856619588,1.0,0.0,12,70,58,7.93371655046569e-05,0.0097584713570728,1.417962696362,3.0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,REACTOME,108,81,108,81,1.0,1.0,True,0.00059618767048381,0.00577645522630862,79,71,0.0733310834695086,1.06522856619588,0.71050399283596,0.385270654364906,13,19,6,0.0351222601892017,1.0,0.0,83.0
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,REACTOME,34,25,34,25,1.0,1.0,True,0.00059618767048381,0.00196887460329715,25,21,0.0733310834695086,1.06522856619588,0.242171576205549,0.784778205325666,14,14,0,0.999998138909655,1.0,0.0,85.0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,KEGG,72,21,71,21,1.0,1.0,True,0.0010996776918826,0.00059618767048381,21,17,0.13526035610156,0.932110226066041,0.0733310834695086,1.06522856619588,15,9,-6,0.999978425151953,1.0,0.0,28.0
REACTOME_PEPTIDE_HORMONE_METABOLISM,REACTOME,90,39,89,38,0.9689979759408973,0.9715968489503822,True,0.0010996776918826,0.288162930520753,37,35,0.13526035610156,0.932110226066041,1.0,0.0,16,98,82,1.77726970010602e-05,0.0021860417311304,1.63105534906276,1.0
REACTOME_TRIGLYCERIDE_METABOLISM,REACTOME,38,23,37,23,1.0,1.0,True,0.0010996776918826,0.0351222601892017,23,21,0.13526035610156,0.932110226066041,1.0,0.0,17,122,105,0.996087934623775,1.0,0.0,122.0
KEGG_PROPANOATE_METABOLISM,KEGG,33,29,32,29,1.0,1.0,True,0.00196887460329715,0.351986208769717,29,29,0.242171576205549,0.784778205325666,1.0,0.0,18,51,33,0.0351222601892017,1.0,0.0,51.0
KEGG_TYROSINE_METABOLISM,KEGG,42,24,42,24,1.0,1.0,True,0.00196887460329715,0.0513887607461245,24,17,0.242171576205549,0.784778205325666,1.0,0.0,19,59,40,0.999995656736981,1.0,0.0,59.0
REACTOME_ARACHIDONIC_ACID_METABOLISM,REACTOME,59,35,59,35,1.0,1.0,True,0.00196887460329715,0.0034223189265975,35,26,0.242171576205549,0.784778205325666,0.420945227971492,0.613004412282997,20,15,-5,0.696379525408901,1.0,0.0,60.0
REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,REACTOME,30,30,30,30,1.0,1.0,True,0.00196887460329715,0.0233436169134307,29,28,0.242171576205549,0.784778205325666,1.0,0.0,21,110,89,0.00059618767048381,0.0733310834695086,1.06522856619588,8.0
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,REACTOME,26,21,26,21,1.0,1.0,True,0.00196887460329715,0.0351222601892017,21,19,0.242171576205549,0.784778205325666,1.0,0.0,22,113,91,0.999978425151953,1.0,0.0,113.0
