comparison,comparison_class,group_a,group_b,pathway,source_database,n_primary_paired_genes,vanilla_raw_p,genept_raw_p,l2_raw_p,vanilla_adjusted_p,vanilla_qval,vanilla_rank,genept_adjusted_p,genept_qval,genept_rank,l2_adjusted_p,l2_qval,l2_rank,rank_delta
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,HALLMARK_BILE_ACID_METABOLISM,HALLMARK,80,3.56749691091583e-16,5.25612166428945e-10,4.66051712619044e-12,4.38802120042647e-14,3.65482301662173,40.5,6.46502964707602e-08,2.68131114927169,53.5,5.73243606521424e-10,3.04000999674796,41.5,13.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK,129,2.38256076949142e-37,5.75320940055457e-29,1.34067800027187e-25,2.93054974647445e-35,5.87648286835015,9.5,7.07644756268212e-27,5.11372513019191,12.5,1.6490339403344e-23,4.77313004281636,11.5,3.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,HALLMARK_GLYCOLYSIS,HALLMARK,167,1.96163468973393e-41,1.97446409297483e-34,1.74044651351705e-33,2.41281066837273e-39,6.21429615930473,5.0,2.42859083435904e-32,5.6226902500821,7.5,2.14074921162597e-31,5.53799911585799,6.0,2.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,HALLMARK_HEME_METABOLISM,HALLMARK,166,2.02359123709369e-26,8.12221035323039e-17,5.35115073722742e-24,2.48901722162524e-24,4.8583919251618,22.5,9.99031873447338e-15,3.74171359883095,31.5,6.58191540678973e-22,4.60235240977036,15.5,9.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK,198,2.38256076949142e-37,1.48621351989098e-32,3.83002735523869e-18,2.93054974647445e-35,5.87648286835015,9.5,1.82804262946591e-30,5.45325716254541,9.5,4.71093364694359e-16,3.91495760037264,24.0,0.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG,25,3.59717677613814e-08,3.52341775794401e-06,0.136726085875245,4.42452743464991e-06,2.31389997788891,64.5,0.000433380384227113,1.83388406114409,66.5,1.0,0.0,94.0,2.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG,41,2.5022986233163e-14,1.79179957151977e-17,5.25612166428945e-10,3.07782730667905e-12,3.39289783983849,46.5,2.20391347296932e-15,3.8284207527596,29.0,6.46502964707602e-08,2.68131114927169,48.0,-17.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_ARACHIDONIC_ACID_METABOLISM,KEGG,27,6.1774102028672e-07,2.46964030878651e-07,0.999954068787905,7.59821454952666e-05,2.02960302707371,70.5,3.03765757980741e-05,2.12543199928726,63.5,1.0,0.0,94.0,-7.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG,42,7.93240113799911e-19,6.26163235949069e-15,1.69038678268048e-10,9.75685339973891e-17,4.00133605441897,33.0,7.70180780217355e-13,3.48043205986735,36.0,2.07917574269699e-08,2.77166173987722,46.5,3.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_BETA_ALANINE_METABOLISM,KEGG,20,8.12221035323039e-17,3.56749691091583e-16,0.0150822934297104,9.99031873447338e-15,3.74171359883095,38.0,4.38802120042647e-14,3.65482301662173,33.0,1.0,0.0,94.0,-5.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG,19,0.230392335941705,0.0513887607461245,0.999999999929255,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_BUTANOATE_METABOLISM,KEGG,27,0.00196887460329715,0.136726085875245,0.999303153456956,0.242171576205549,0.784778205325666,90.5,1.0,0.0,104.5,1.0,0.0,94.0,14.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG,27,1.34067800027187e-25,5.83030918146285e-21,1.0641280705836e-21,1.6490339403344e-23,4.77313004281636,24.0,7.17128029319931e-19,4.25962478424357,25.5,1.30887752681783e-19,4.34546901829762,17.0,1.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,KEGG,21,3.63636990445739e-13,5.26903195422322e-11,0.0150822934297104,4.47273498248259e-11,3.21705250715417,53.0,6.48090930369456e-09,2.8615317674606,50.0,1.0,0.0,94.0,-3.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,KEGG,21,4.66051712619044e-12,5.26903195422322e-11,0.00196887460329715,5.73243606521424e-10,3.04000999674796,57.0,6.48090930369456e-09,2.8615317674606,50.0,0.242171576205549,0.784778205325666,62.5,-7.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_ETHER_LIPID_METABOLISM,KEGG,19,0.999905146038811,0.999630586025759,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_FATTY_ACID_METABOLISM,KEGG,33,0.00196887460329715,0.420283707542506,0.696379525408901,0.242171576205549,0.784778205325666,90.5,1.0,0.0,104.5,1.0,0.0,94.0,14.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG,29,8.60527170589975e-25,1.34067800027187e-25,1.31042954439412e-08,1.05844841982567e-22,4.68778522344109,25.5,1.6490339403344e-23,4.77313004281636,18.5,1.61182833960477e-06,2.40679895558663,49.0,-7.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GALACTOSE_METABOLISM,KEGG,21,0.0731481276708723,0.0233436169134307,0.998724216773701,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLUTATHIONE_METABOLISM,KEGG,35,2.02359123709369e-26,2.02359123709369e-26,8.12221035323039e-17,2.48901722162524e-24,4.8583919251618,22.5,2.48901722162524e-24,4.8583919251618,16.5,9.99031873447338e-15,3.74171359883095,29.0,-6.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCEROLIPID_METABOLISM,KEGG,40,6.1774102028672e-07,9.5725425402497e-08,0.0351222601892017,7.59821454952666e-05,2.02960302707371,70.5,1.17742273245071e-05,2.2201503515613,61.0,1.0,0.0,94.0,-9.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,58,5.25612166428945e-10,5.25612166428945e-10,6.1774102028672e-07,6.46502964707602e-08,2.68131114927169,60.0,6.46502964707602e-08,2.68131114927169,53.5,7.59821454952666e-05,2.02960302707371,54.0,-6.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG,25,0.0010996776918826,0.00196887460329715,0.420283707542506,0.13526035610156,0.932110226066041,88.5,0.242171576205549,0.784778205325666,83.0,1.0,0.0,94.0,-5.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,42,2.31016677129441e-36,1.97446409297483e-34,2.38256076949142e-37,2.84150512869212e-34,5.79192986454009,11.5,2.42859083435904e-32,5.6226902500821,7.5,2.93054974647445e-35,5.87648286835015,3.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,KEGG,18,0.631270397757246,0.94372001658599,0.999990170518365,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,KEGG,17,0.999999688444276,0.999999878299158,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,KEGG,17,0.562150599897062,0.696379525408901,0.999999999999865,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,KEGG,18,1.0,1.0,1.0,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,KEGG,24,0.0233436169134307,0.0513887607461245,0.999303153456956,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_HISTIDINE_METABOLISM,KEGG,21,0.351986208769717,0.0513887607461245,0.999999999993644,1.0,0.0,108.5,1.0,0.0,104.5,1.0,0.0,94.0,-4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_INOSITOL_PHOSPHATE_METABOLISM,KEGG,50,8.12221035323039e-17,3.63636990445739e-13,3.56749691091583e-16,9.99031873447338e-15,3.74171359883095,38.0,4.47273498248259e-11,3.21705250715417,42.0,4.38802120042647e-14,3.65482301662173,31.5,4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG,23,8.12221035323039e-17,3.63636990445739e-13,0.0034223189265975,9.99031873447338e-15,3.74171359883095,38.0,4.47273498248259e-11,3.21705250715417,42.0,0.420945227971492,0.613004412282997,64.0,4.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,KEGG,19,0.00059618767048381,0.0233436169134307,0.562150599897062,0.0733310834695086,1.06522856619588,86.0,1.0,0.0,104.5,1.0,0.0,94.0,18.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,KEGG,17,0.00059618767048381,3.81265104892234e-05,0.999978425151953,0.0733310834695086,1.06522856619588,86.0,0.00468956079017448,1.52606285259303,72.5,1.0,0.0,94.0,-13.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG,107,2.95907259463446e-27,4.19198059215845e-28,8.60527170589975e-25,3.63965929140039e-25,4.94357555507811,21.0,5.15613612835489e-26,5.02868527800828,14.0,1.05844841982567e-22,4.68778522344109,13.5,-7.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,22,8.03548663493119e-06,0.00196887460329715,0.562150599897062,0.000988364856096536,1.73351743731473,75.5,0.242171576205549,0.784778205325666,83.0,1.0,0.0,94.0,7.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,KEGG,20,0.000160158462101912,0.00059618767048381,0.974075350370635,0.0196994908385352,1.30596515981639,81.0,0.0733310834695086,1.06522856619588,78.0,1.0,0.0,94.0,-3.0
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_PROPANOATE_METABOLISM,KEGG,29,1.59181018210258e-19,4.66051712619044e-12,1.59178638580836e-11,1.95792652398617e-17,4.08756695482739,30.5,5.73243606521424e-10,3.04000999674796,46.0,1.95789725454428e-09,2.95096765529579,43.5,15.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_PURINE_METABOLISM,KEGG,127,1.22945752304217e-31,7.64935813137827e-30,2.16992282193367e-35,1.51223275334187e-29,5.36846173124281,17.5,9.40871050159527e-28,5.19869886550005,11.0,2.66900507097841e-33,5.70733305503311,4.0,-6.5
cd4_0h_vs_12h,CD4 activation,cd4_0h,cd4_12h,KEGG_PYRIMIDINE_METABOLISM,KEGG,90,1.79179957151977e-17,1.79179957151977e-17,7.93240113799911e-19,2.20391347296932e-15,3.8284207527596,35.5,2.20391347296932e-15,3.8284207527596,29.0,9.75685339973891e-17,4.00133605441897,22.5,-6.5
