comparison,comparison_class,pathway,vanilla_adjusted_p,genept_adjusted_p,l2_adjusted_p,detection_state,l2_significant
cd4_0h_vs_12h,CD4 activation,HALLMARK_BILE_ACID_METABOLISM,4.38802120042647e-14,6.46502964707602e-08,5.73243606521424e-10,Both significant,True
cd4_0h_vs_12h,CD4 activation,HALLMARK_FATTY_ACID_METABOLISM,2.93054974647445e-35,7.07644756268212e-27,1.6490339403344e-23,Both significant,True
cd4_0h_vs_12h,CD4 activation,HALLMARK_GLYCOLYSIS,2.41281066837273e-39,2.42859083435904e-32,2.14074921162597e-31,Both significant,True
cd4_0h_vs_12h,CD4 activation,HALLMARK_HEME_METABOLISM,2.48901722162524e-24,9.99031873447338e-15,6.58191540678973e-22,Both significant,True
cd4_0h_vs_12h,CD4 activation,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.93054974647445e-35,1.82804262946591e-30,4.71093364694359e-16,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,4.42452743464991e-06,0.000433380384227113,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,3.07782730667905e-12,2.20391347296932e-15,6.46502964707602e-08,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_ARACHIDONIC_ACID_METABOLISM,7.59821454952666e-05,3.03765757980741e-05,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_ARGININE_AND_PROLINE_METABOLISM,9.75685339973891e-17,7.70180780217355e-13,2.07917574269699e-08,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_BETA_ALANINE_METABOLISM,9.99031873447338e-15,4.38802120042647e-14,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_BUTANOATE_METABOLISM,0.242171576205549,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,1.6490339403344e-23,7.17128029319931e-19,1.30887752681783e-19,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,4.47273498248259e-11,6.48090930369456e-09,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,5.73243606521424e-10,6.48090930369456e-09,0.242171576205549,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_ETHER_LIPID_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_FATTY_ACID_METABOLISM,0.242171576205549,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,1.05844841982567e-22,1.6490339403344e-23,1.61182833960477e-06,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_GALACTOSE_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_GLUTATHIONE_METABOLISM,2.48901722162524e-24,2.48901722162524e-24,9.99031873447338e-15,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_GLYCEROLIPID_METABOLISM,7.59821454952666e-05,1.17742273245071e-05,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,6.46502964707602e-08,6.46502964707602e-08,7.59821454952666e-05,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.13526035610156,0.242171576205549,1.0,Neither significant,False
