lineage,pathway,method,significant_0h_vs_12h,significant_12h_vs_24h,significant_0h_vs_24h,descriptive_timing_pattern
CD4,HALLMARK_BILE_ACID_METABOLISM,vanilla,True,True,True,persistent
CD4,HALLMARK_BILE_ACID_METABOLISM,genept,True,True,True,persistent
CD4,HALLMARK_BILE_ACID_METABOLISM,l2,True,True,True,persistent
CD4,HALLMARK_FATTY_ACID_METABOLISM,vanilla,True,True,True,persistent
CD4,HALLMARK_FATTY_ACID_METABOLISM,genept,True,True,True,persistent
CD4,HALLMARK_FATTY_ACID_METABOLISM,l2,True,True,True,persistent
CD4,HALLMARK_GLYCOLYSIS,vanilla,True,True,True,persistent
CD4,HALLMARK_GLYCOLYSIS,genept,True,True,True,persistent
CD4,HALLMARK_GLYCOLYSIS,l2,True,True,True,persistent
CD4,HALLMARK_HEME_METABOLISM,vanilla,True,True,True,persistent
CD4,HALLMARK_HEME_METABOLISM,genept,True,True,True,persistent
CD4,HALLMARK_HEME_METABOLISM,l2,True,True,True,persistent
CD4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,vanilla,True,True,True,persistent
CD4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,genept,True,True,True,persistent
CD4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,l2,True,True,True,persistent
CD4,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,genept,True,False,True,early
CD4,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,genept,True,False,True,early
CD4,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,l2,True,False,True,early
CD4,KEGG_ARACHIDONIC_ACID_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_ARACHIDONIC_ACID_METABOLISM,genept,True,False,True,early
CD4,KEGG_ARACHIDONIC_ACID_METABOLISM,l2,False,False,False,none
CD4,KEGG_ARGININE_AND_PROLINE_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_ARGININE_AND_PROLINE_METABOLISM,genept,True,False,True,early
CD4,KEGG_ARGININE_AND_PROLINE_METABOLISM,l2,True,False,True,early
CD4,KEGG_BETA_ALANINE_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_BETA_ALANINE_METABOLISM,genept,True,False,True,early
CD4,KEGG_BETA_ALANINE_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,vanilla,False,False,True,endpoint_only
CD4,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,genept,False,False,True,endpoint_only
CD4,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,l2,False,False,False,none
CD4,KEGG_BUTANOATE_METABOLISM,vanilla,False,True,True,late
CD4,KEGG_BUTANOATE_METABOLISM,genept,False,True,True,late
CD4,KEGG_BUTANOATE_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,l2,True,False,True,early
CD4,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,vanilla,True,False,True,early
CD4,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,genept,True,True,True,persistent
CD4,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,l2,False,False,True,endpoint_only
CD4,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,vanilla,True,True,True,persistent
CD4,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,genept,True,True,True,persistent
CD4,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,l2,False,False,True,endpoint_only
CD4,KEGG_ETHER_LIPID_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_ETHER_LIPID_METABOLISM,genept,False,False,False,none
CD4,KEGG_ETHER_LIPID_METABOLISM,l2,False,False,False,none
CD4,KEGG_FATTY_ACID_METABOLISM,vanilla,False,True,True,late
CD4,KEGG_FATTY_ACID_METABOLISM,genept,False,True,True,late
CD4,KEGG_FATTY_ACID_METABOLISM,l2,False,True,True,late
CD4,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,l2,True,False,True,early
CD4,KEGG_GALACTOSE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_GALACTOSE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_GALACTOSE_METABOLISM,l2,False,False,False,none
CD4,KEGG_GLUTATHIONE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_GLUTATHIONE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_GLUTATHIONE_METABOLISM,l2,True,True,True,persistent
CD4,KEGG_GLYCEROLIPID_METABOLISM,vanilla,True,False,True,early
CD4,KEGG_GLYCEROLIPID_METABOLISM,genept,True,False,True,early
CD4,KEGG_GLYCEROLIPID_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,l2,True,False,True,early
CD4,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,vanilla,True,True,True,persistent
CD4,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,genept,True,True,True,persistent
CD4,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,l2,True,True,True,persistent
CD4,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,vanilla,False,False,True,endpoint_only
CD4,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,genept,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,l2,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,vanilla,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,genept,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,l2,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,vanilla,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,genept,False,False,False,none
CD4,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,l2,False,False,False,none
CD4,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,vanilla,False,False,False,none
CD4,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,genept,False,False,False,none
CD4,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,l2,False,False,False,none
CD4,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,vanilla,False,False,True,endpoint_only
CD4,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,genept,False,False,True,endpoint_only
CD4,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,l2,False,False,False,none
CD4,KEGG_HISTIDINE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_HISTIDINE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_HISTIDINE_METABOLISM,l2,False,False,False,none
CD4,KEGG_INOSITOL_PHOSPHATE_METABOLISM,vanilla,True,True,True,persistent
CD4,KEGG_INOSITOL_PHOSPHATE_METABOLISM,genept,True,True,True,persistent
CD4,KEGG_INOSITOL_PHOSPHATE_METABOLISM,l2,True,True,True,persistent
CD4,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,vanilla,True,True,True,persistent
CD4,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,genept,True,True,True,persistent
CD4,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,l2,False,False,True,endpoint_only
CD4,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,genept,False,False,True,endpoint_only
CD4,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,l2,False,False,True,endpoint_only
CD4,KEGG_NITROGEN_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,KEGG_NITROGEN_METABOLISM,genept,True,False,True,early
CD4,KEGG_NITROGEN_METABOLISM,l2,False,False,False,none
CD4,KEGG_OXIDATIVE_PHOSPHORYLATION,vanilla,True,True,True,persistent
CD4,KEGG_OXIDATIVE_PHOSPHORYLATION,genept,True,True,True,persistent
CD4,KEGG_OXIDATIVE_PHOSPHORYLATION,l2,True,True,True,persistent
