"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"ACAD8",1,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.00196887460329715,0.0034223189265975,2.70578194299357,2.46567952091782,0.240102422075751,0.0385837463047961,0.0196994908385352,0.242171576205549,0.420945227971492,1.18894726823464,1.30596515981639,0.784778205325666,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0477765351266462,0.0500632481830434,0.00228671305639718,0.044,0.054,0.999999993602747,0.957257632350592
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"ACADSB",2,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.00196887460329715,0.0351222601892017,2.70578194299357,1.45441754412943,1.25136439886414,0.0385837463047961,0.00468956079017448,0.242171576205549,1,1.18894726823464,1.52606285259303,0.784778205325666,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0816171012891692,0.0511418209154566,-0.0304752803737126,0.076,0.056,0.999999977949232,0.940021023611756
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"ACAT1",3,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.00196887460329715,0.0150822934297104,2.70578194299357,1.82153261416016,0.884249328833414,0.0385837463047961,0.0385837463047961,0.242171576205549,1,1.18894726823464,1.18894726823464,0.784778205325666,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.16733021138966,0.13103195539261,-0.0362982559970502,0.154,0.15,1.00000001043417,0.919761443524304
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"ALDH6A1",4,0.000313688994347936,1.77726970010602e-05,3.503500718082,4.75024666314563,-1.24674594506362,0.00196887460329715,1.77726970010602e-05,2.70578194299357,4.75024666314563,-2.04446472015206,0.0385837463047961,0.0021860417311304,0.242171576205549,0.0021860417311304,1.18894726823464,1.63105534906276,0.784778205325666,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0962646058685505,0.0351760974811296,-0.0610885083874209,0.088,0.036,1.00000005165387,0.945778946238803
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"AUH",5,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.00196887460329715,0.00196887460329715,2.70578194299357,2.70578194299357,0,0.0385837463047961,0.0196994908385352,0.242171576205549,0.242171576205549,1.18894726823464,1.30596515981639,0.784778205325666,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0909676179075887,0.0397845226548102,-0.0511830952527785,0.088,0.044,1.00000007505091,0.924842437274612
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"BCAT1",6,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.00196887460329715,0.00577645522630862,2.70578194299357,2.23833858855416,0.467443354439411,0.0385837463047961,0.0097584713570728,0.242171576205549,0.71050399283596,1.18894726823464,1.417962696362,0.784778205325666,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.0502177003529629,0.0502177003529629,0,0.06,0.999999980038476,0.948969447999527
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"BCAT2",7,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.00196887460329715,0.00577645522630862,2.70578194299357,2.23833858855416,0.467443354439411,0.0385837463047961,0.13526035610156,0.242171576205549,0.71050399283596,1.18894726823464,0.932110226066041,0.784778205325666,0.385270654364906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0351380489994418,0.0999095691747148,0.064771520175273,0.034,0.118,0.999999962334932,0.94396704883039
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"BCKDHA",8,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.00196887460329715,0.00196887460329715,2.70578194299357,2.70578194299357,0,0.0385837463047961,0.0385837463047961,0.242171576205549,0.242171576205549,1.18894726823464,1.18894726823464,0.784778205325666,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999995319911,0.951990593605453
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"BCKDHB",9,0.000313688994347936,1.49821174952854e-06,3.503500718082,5.82442680135432,-2.32092608327231,0.00196887460329715,0.00577645522630862,2.70578194299357,2.23833858855416,0.467443354439411,0.0385837463047961,0.00018428004519201,0.242171576205549,0.71050399283596,1.18894726823464,1.93249105817205,0.784778205325666,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.077238014831694,0.0392823095576643,-0.0379557052740297,0.07,0.042,0.999999982898897,0.952727193073553
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Vanilla-only significant",21,"BCKDK",10,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.00196887460329715,0.00577645522630862,2.70578194299357,2.23833858855416,0.467443354439411,0.0385837463047961,0.0385837463047961,0.242171576205549,0.71050399283596,1.18894726823464,1.18894726823464,0.784778205325666,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0332120650969861,0.0609692035469156,0.0277571384499295,0.03,0.074,0.999999991640053,0.93929776592793
