"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"CTSA",1,0.000313688994347936,0.00577645522630862,3.503500718082,2.23833858855416,1.26516212952784,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0385837463047961,0.71050399283596,0.0733310834695086,0.0733310834695086,1.18894726823464,0.385270654364906,1.06522856619588,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0641884174131969,0.112998635863602,0.0488102184504051,0.06,0.122,0.999999928922229,0.922387014158833
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"DHDDS",2,0.000313688994347936,8.03548663493119e-06,3.503500718082,5.09498781691362,-1.59148709883162,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0385837463047961,0.000988364856096536,0.0733310834695086,0.0733310834695086,1.18894726823464,1.73351743731473,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0686738968231141,0.109989741682211,0.0413158448590972,0.062,0.124,0.999999955448324,0.93201832381748
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"DOLK",3,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.0385837463047961,0.13526035610156,0.0733310834695086,0.00468956079017448,1.18894726823464,0.932110226066041,1.06522856619588,1.52606285259303,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0455313379981967,0.0302668763428528,-0.0152644616553439,0.042,0.04,0.999999919646635,0.933529366008177
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"DPM1",4,0.000313688994347936,0.00946978291842922,3.503500718082,2.02365997647813,1.47984074160387,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,0.0385837463047961,1,0.0733310834695086,0.242171576205549,1.18894726823464,0,1.06522856619588,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.141984722833279,0.313222438954638,0.171237716121359,0.13,0.32,0.999999991317894,0.945026412663954
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"DPM2",5,0.000313688994347936,0.0034223189265975,3.503500718082,2.46567952091782,1.03782119716418,0.00059618767048381,7.93371655046569e-05,3.22461700967912,4.1005233197136,-0.875906310034476,0.0385837463047961,0.420945227971492,0.0733310834695086,0.0097584713570728,1.18894726823464,0.613004412282997,1.06522856619588,1.417962696362,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0706630129145892,0.272252355599157,0.201589342684568,0.066,0.298,1.00000002151964,0.936553429977049
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"DPM3",6,0.000313688994347936,0.00059618767048381,3.503500718082,3.22461700967912,0.278883708402879,0.00059618767048381,0.0034223189265975,3.22461700967912,2.46567952091782,0.758937488761304,0.0385837463047961,0.0733310834695086,0.0733310834695086,0.420945227971492,1.18894726823464,1.06522856619588,1.06522856619588,0.613004412282997,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.19477505884053,0.122950034049159,-0.0718250247913712,0.174,0.13,0.999999951801223,0.938874276804626
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"GALE",7,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,0.0385837463047961,0.0385837463047961,0.0733310834695086,0.0385837463047961,1.18894726823464,1.18894726823464,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0247505300259959,0.0605020450178358,0.03575151499184,0.024,0.076,1.00000012311704,0.940268624507395
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"GALK1",8,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.0385837463047961,0.00468956079017448,0.0733310834695086,0.13526035610156,1.18894726823464,1.52606285259303,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.03649551126935,0.0404976386091637,0.00400212733981367,0.034,0.042,0.999999998328732,0.910460480268542
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"GALT",9,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.00059618767048381,0.000160158462101912,3.22461700967912,3.79545011009365,-0.570833100414529,0.0385837463047961,0.00468956079017448,0.0733310834695086,0.0196994908385352,1.18894726823464,1.52606285259303,1.06522856619588,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.197821261873429,0.100243473764815,-0.0975777881086144,0.18,0.096,0.999999926075713,0.923246664193853
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS","Vanilla-only significant",18,"GFPT1",10,0.000313688994347936,8.03548663493119e-06,3.503500718082,5.09498781691362,-1.59148709883162,0.00059618767048381,0.0034223189265975,3.22461700967912,2.46567952091782,0.758937488761304,0.0385837463047961,0.000988364856096536,0.0733310834695086,0.420945227971492,1.18894726823464,1.73351743731473,1.06522856619588,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0505576337224713,0.123971534465481,0.0734139007430102,0.046,0.14,1.00000003144987,0.922804142891569
