"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ARSA",1,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,0.0097584713570728,0.0097584713570728,0.0733310834695086,0.242171576205549,1.417962696362,1.417962696362,1.06522856619588,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0443767158636036,0.0228768647685066,-0.021499851095097,0.042,0.024,0.99999999335914,0.92071150471992
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ARSB",2,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,0.0097584713570728,0.0097584713570728,0.0733310834695086,0.0385837463047961,1.417962696362,1.417962696362,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0155229404085668,0.0150387478472495,-0.000484192561317303,0.014,0.02,1.0000000031112,0.928416147363538
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ARSD",3,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.0097584713570728,0.0097584713570728,0.0733310834695086,0.13526035610156,1.417962696362,1.417962696362,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00194801165697046,0,-0.00194801165697046,0.002,0,1.00000000825678,0.927805229409899
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ARSG",4,7.93371655046569e-05,0.0150822934297104,4.1005233197136,1.82153261416016,2.27899070555344,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,0.0097584713570728,1,0.0733310834695086,0.242171576205549,1.417962696362,0,1.06522856619588,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0729149821332858,0.0376361430005304,-0.0352788391327555,0.068,0.042,0.999999977391478,0.941173774448261
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ARSK",5,7.93371655046569e-05,0.0034223189265975,4.1005233197136,2.46567952091782,1.63484379879578,0.00059618767048381,1.77726970010602e-05,3.22461700967912,4.75024666314563,-1.5256296534665,0.0097584713570728,0.420945227971492,0.0733310834695086,0.0021860417311304,1.417962696362,0.613004412282997,1.06522856619588,1.63105534906276,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0473735342508582,0.0281054296550829,-0.0192681045957753,0.04,0.032,1.00000008224329,0.880373973367073
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ASAH1",6,7.93371655046569e-05,0.101341801629482,4.1005233197136,0.994211379196843,3.10631194051676,0.00059618767048381,0.00946978291842922,3.22461700967912,2.02365997647813,1.20095703320099,0.0097584713570728,1,0.0733310834695086,1,1.417962696362,0,1.06522856619588,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.267839714943434,0.128940732761574,-0.13889898218186,0.23,0.142,1.00000002918415,0.942958262523705
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"ASAH2",7,7.93371655046569e-05,0.000160158462101912,4.1005233197136,3.79545011009365,0.305073209619947,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,0.0097584713570728,0.0196994908385352,0.0733310834695086,0.0385837463047961,1.417962696362,1.30596515981639,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0023763098561671,0.00403917900142126,0.00166286914525416,0.002,0.004,0.999999972516404,0.894077533793342
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"B3GALNT1",8,7.93371655046569e-05,0.000313688994347936,4.1005233197136,3.503500718082,0.597022601631597,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,0.0097584713570728,0.0385837463047961,0.0733310834695086,0.0385837463047961,1.417962696362,1.18894726823464,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00253778045967913,0.0129015933651026,0.0103638129054234,0.004,0.016,1.00000007353385,0.929372379826893
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"B4GALNT1",9,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0097584713570728,0.0097584713570728,0.0733310834695086,0.0733310834695086,1.417962696362,1.417962696362,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1.00000002922091,0.921427552030145
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"CERK",10,7.93371655046569e-05,0.0010996776918826,4.1005233197136,2.95873458497628,1.14178873473732,0.00059618767048381,0.0034223189265975,3.22461700967912,2.46567952091782,0.758937488761304,0.0097584713570728,0.13526035610156,0.0733310834695086,0.420945227971492,1.417962696362,0.932110226066041,1.06522856619588,0.613004412282997,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.236670082854402,0.0912754738598483,-0.145394608994554,0.204,0.1,0.99999996334063,0.876692790590436
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Vanilla-only significant",36,"CPTP",11,7.93371655046569e-05,0.00059618767048381,4.1005233197136,3.22461700967912,0.875906310034476,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.0097584713570728,0.0733310834695086,0.0733310834695086,0.00468956079017448,1.417962696362,1.06522856619588,1.06522856619588,1.52606285259303,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0528006343696131,0.0446510450273194,-0.0081495893422937,0.05,0.054,1.00000001787076,0.902603058371801
