"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"ALDH4A1",1,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.00059618767048381,2.23833858855416,3.22461700967912,-0.986278421124963,0.0196994908385352,0.0196994908385352,0.71050399283596,0.0733310834695086,1.30596515981639,1.30596515981639,0.385270654364906,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00442099356379489,0.00348691144851141,-0.000934082115283483,0.004,0.004,1.00000007000171,0.945118540151177
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"AMT",2,0.000160158462101912,0.0010996776918826,3.79545011009365,2.95873458497628,0.836715525117369,0.00577645522630862,0.00946978291842922,2.23833858855416,2.02365997647813,0.214678612076031,0.0196994908385352,0.13526035610156,0.71050399283596,1,1.30596515981639,0.932110226066041,0.385270654364906,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0517573928266836,0.0193345688703687,-0.0324228239563149,0.05,0.02,0.999999930291903,0.910124143113449
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"BCKDHA",3,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.00577645522630862,2.23833858855416,2.23833858855416,0,0.0196994908385352,0.0196994908385352,0.71050399283596,0.71050399283596,1.30596515981639,1.30596515981639,0.385270654364906,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999995319911,0.936816560352907
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"BCKDHB",4,0.000160158462101912,0.00059618767048381,3.79545011009365,3.22461700967912,0.570833100414529,0.00577645522630862,0.00196887460329715,2.23833858855416,2.70578194299357,-0.467443354439411,0.0196994908385352,0.0733310834695086,0.71050399283596,0.242171576205549,1.30596515981639,1.06522856619588,0.385270654364906,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.077238014831694,0.0392823095576643,-0.0379557052740297,0.07,0.042,0.999999982898897,0.937131550849059
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"DBT",5,0.000160158462101912,3.81265104892234e-05,3.79545011009365,4.41877294150378,-0.623322831410129,0.00577645522630862,7.93371655046569e-05,2.23833858855416,4.1005233197136,-1.86218473115944,0.0196994908385352,0.00468956079017448,0.71050399283596,0.0097584713570728,1.30596515981639,1.52606285259303,0.385270654364906,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.11563686198812,0.0928403128669027,-0.0227965491212176,0.102,0.098,0.999999989445758,0.939391354945784
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"DHTKD1",6,0.000160158462101912,0.000313688994347936,3.79545011009365,3.503500718082,0.29194939201165,0.00577645522630862,0.00196887460329715,2.23833858855416,2.70578194299357,-0.467443354439411,0.0196994908385352,0.0385837463047961,0.71050399283596,0.242171576205549,1.30596515981639,1.18894726823464,0.385270654364906,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0414588590214035,0.035847784967444,-0.00561107405395941,0.036,0.034,1.00000003635962,0.948500497088387
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"DLAT",7,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.101341801629482,2.23833858855416,0.994211379196843,1.24412720935732,0.0196994908385352,0.0196994908385352,0.71050399283596,1,1.30596515981639,1.30596515981639,0.385270654364906,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0453352498295927,0.105740430356415,0.0604051805268227,0.044,0.134,1.00000001767651,0.949514868856305
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"DLD",8,0.000160158462101912,0.00059618767048381,3.79545011009365,3.22461700967912,0.570833100414529,0.00577645522630862,0.00196887460329715,2.23833858855416,2.70578194299357,-0.467443354439411,0.0196994908385352,0.0733310834695086,0.71050399283596,0.242171576205549,1.30596515981639,1.06522856619588,0.385270654364906,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.149520440596388,0.196114061971756,0.0465936213753679,0.138,0.22,1.00000000092247,0.939294345764135
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"DLST",9,0.000160158462101912,7.93371655046569e-05,3.79545011009365,4.1005233197136,-0.305073209619947,0.00577645522630862,0.00196887460329715,2.23833858855416,2.70578194299357,-0.467443354439411,0.0196994908385352,0.0097584713570728,0.71050399283596,0.242171576205549,1.30596515981639,1.417962696362,0.385270654364906,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.111296992260658,0.0737304841540079,-0.0375665081066504,0.102,0.084,0.999999932402589,0.941825159863502
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"GCSH",10,0.000160158462101912,0.00196887460329715,3.79545011009365,2.70578194299357,1.08966816710008,0.00577645522630862,0.230392335941705,2.23833858855416,0.63753197192238,1.60080661663178,0.0196994908385352,0.242171576205549,0.71050399283596,1,1.30596515981639,0.784778205325666,0.385270654364906,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0908342512587271,0.269506736241576,0.178672484982849,0.084,0.292,1.00000000782454,0.930257500643763
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"GLDC",11,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.00577645522630862,2.23833858855416,2.23833858855416,0,0.0196994908385352,0.0196994908385352,0.71050399283596,0.71050399283596,1.30596515981639,1.30596515981639,0.385270654364906,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1.00000000388934,0.942579772289977
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"GNMT",12,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.00577645522630862,2.23833858855416,2.23833858855416,0,0.0196994908385352,0.0196994908385352,0.71050399283596,0.71050399283596,1.30596515981639,1.30596515981639,0.385270654364906,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1.00000004877916,0.916477147498127
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"GOT2",13,0.000160158462101912,1.77726970010602e-05,3.79545011009365,4.75024666314563,-0.954796553051974,0.00577645522630862,0.00059618767048381,2.23833858855416,3.22461700967912,-0.986278421124963,0.0196994908385352,0.0021860417311304,0.71050399283596,0.0733310834695086,1.30596515981639,1.63105534906276,0.385270654364906,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0544614388790669,0.125881141195893,0.0714197023168259,0.046,0.15,0.999999987275859,0.933721340817848
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"GRHPR",14,0.000160158462101912,3.81265104892234e-05,3.79545011009365,4.41877294150378,-0.623322831410129,0.00577645522630862,0.0351222601892017,2.23833858855416,1.45441754412943,0.783921044424732,0.0196994908385352,0.00468956079017448,0.71050399283596,1,1.30596515981639,1.52606285259303,0.385270654364906,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.172382671847694,0.20888479824122,0.0365021263935256,0.16,0.232,0.999999974977468,0.916509673841682
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"LIAS",15,0.000160158462101912,0.0010996776918826,3.79545011009365,2.95873458497628,0.836715525117369,0.00577645522630862,0.000160158462101912,2.23833858855416,3.79545011009365,-1.55711152153949,0.0196994908385352,0.13526035610156,0.71050399283596,0.0196994908385352,1.30596515981639,0.932110226066041,0.385270654364906,1.30596515981639,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.202931477537542,0.171562595356644,-0.0313688821808981,0.174,0.182,1.00000007367551,0.929247848563117
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"LIPT1",16,0.000160158462101912,0.000313688994347936,3.79545011009365,3.503500718082,0.29194939201165,0.00577645522630862,0.0034223189265975,2.23833858855416,2.46567952091782,-0.227340932363659,0.0196994908385352,0.0385837463047961,0.71050399283596,0.420945227971492,1.30596515981639,1.18894726823464,0.385270654364906,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.102698665364814,0.0382917516971131,-0.0644069136677014,0.09,0.048,1.00000000783454,0.923634732075324
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"LIPT2",17,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.000313688994347936,2.23833858855416,3.503500718082,-1.26516212952784,0.0196994908385352,0.0196994908385352,0.71050399283596,0.0385837463047961,1.30596515981639,1.30596515981639,0.385270654364906,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0270681577182497,0.0118774709133488,-0.0151906868049009,0.026,0.014,1.00000001187009,0.927731758524986
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"NDUFAB1",18,0.000160158462101912,0.0513887607461245,3.79545011009365,1.28913185531754,2.50631825477612,0.00577645522630862,0.8532336682836,2.23833858855416,0.0689320157855595,2.1694065727686,0.0196994908385352,1,0.71050399283596,1,1.30596515981639,0,0.385270654364906,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.367815494564012,0.96314904553883,0.595333550974818,0.322,0.65,1.00000004837034,0.900579772789064
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"OGDH",19,0.000160158462101912,0.000313688994347936,3.79545011009365,3.503500718082,0.29194939201165,0.00577645522630862,0.00946978291842922,2.23833858855416,2.02365997647813,0.214678612076031,0.0196994908385352,0.0385837463047961,0.71050399283596,1,1.30596515981639,1.18894726823464,0.385270654364906,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0750221429220645,0.0747062669585119,-0.00031587596355262,0.07,0.09,1.00000006300164,0.940391143944304
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"PDHA1",20,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.0010996776918826,2.23833858855416,2.95873458497628,-0.720395996422123,0.0196994908385352,0.0196994908385352,0.71050399283596,0.13526035610156,1.30596515981639,1.30596515981639,0.385270654364906,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.163912816835918,0.30541388883136,0.141501071995442,0.148,0.316,1.00000002957278,0.940214612760466
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"PDHB",21,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.00946978291842922,2.23833858855416,2.02365997647813,0.214678612076031,0.0196994908385352,0.0196994908385352,0.71050399283596,1,1.30596515981639,1.30596515981639,0.385270654364906,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.254360228008603,0.26983325703578,0.0154730290271774,0.224,0.294,1.00000005547321,0.946402791556942
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"PDHX",22,0.000160158462101912,0.000160158462101912,3.79545011009365,3.79545011009365,0,0.00577645522630862,0.00946978291842922,2.23833858855416,2.02365997647813,0.214678612076031,0.0196994908385352,0.0196994908385352,0.71050399283596,1,1.30596515981639,1.30596515981639,0.385270654364906,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0624506822270939,0.0595112725542428,-0.00293940967285116,0.058,0.074,1.00000005798519,0.943919772671009
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","Vanilla-only significant",23,"PXMP2",23,0.000160158462101912,7.93371655046569e-05,3.79545011009365,4.1005233197136,-0.305073209619947,0.00577645522630862,0.000313688994347936,2.23833858855416,3.503500718082,-1.26516212952784,0.0196994908385352,0.0097584713570728,0.71050399283596,0.0385837463047961,1.30596515981639,1.417962696362,0.385270654364906,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0233672144987411,0.0394995465121426,0.0161323320134015,0.022,0.046,1.00000008153876,0.891754769901543
