"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"CALM1",1,3.59717677613814e-08,7.93371655046569e-05,7.44403821911369,4.1005233197136,3.34351489940009,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,4.42452743464991e-06,0.0097584713570728,0.0733310834695086,0.0385837463047961,2.31389997788891,1.417962696362,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1.94122391696873,1.84827112535645,-0.0929527916122737,0.964,0.926,1.00000006102489,0.890899181104047
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"IMPA1",2,3.59717677613814e-08,1.49821174952854e-06,7.44403821911369,5.82442680135432,1.61961141775938,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,4.42452743464991e-06,0.00018428004519201,0.0733310834695086,0.00468956079017448,2.31389997788891,1.93249105817205,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.107011649281057,0.112859516789103,0.00584786750804622,0.096,0.124,1.00000000145196,0.938751775844673
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"IMPA2",3,3.59717677613814e-08,1.49821174952854e-06,7.44403821911369,5.82442680135432,1.61961141775938,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,4.42452743464991e-06,0.00018428004519201,0.0733310834695086,0.13526035610156,2.31389997788891,1.93249105817205,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0123529455960076,0.0056560646551935,-0.00669688094081409,0.012,0.006,1.00000004705392,0.941669967837819
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPP1",4,3.59717677613814e-08,6.1774102028672e-07,7.44403821911369,6.20919355894615,1.23484466016754,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,4.42452743464991e-06,7.59821454952666e-05,0.0733310834695086,0.0733310834695086,2.31389997788891,2.02960302707371,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00840470347737748,0.0285056215055396,0.0201009180281621,0.008,0.038,1.0000000370646,0.961405257742459
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPP4A",5,3.59717677613814e-08,0.0150822934297104,7.44403821911369,1.82153261416016,5.62250560495353,0.00059618767048381,0.00577645522630862,3.22461700967912,2.23833858855416,0.986278421124963,4.42452743464991e-06,1,0.0733310834695086,0.71050399283596,2.31389997788891,0,1.06522856619588,0.385270654364906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.34429510508405,0.0816636302992132,-0.262631474784836,0.3,0.076,0.999999924154814,0.955088273557893
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPP4B",6,3.59717677613814e-08,5.25612166428945e-10,7.44403821911369,9.27933459064804,-1.83529637153435,0.00059618767048381,4.62765891657924e-09,3.22461700967912,8.33463865838632,-5.11002164870719,4.42452743464991e-06,6.46502964707602e-08,0.0733310834695086,5.69202046739247e-07,2.31389997788891,2.68131114927169,1.06522856619588,2.49894648741163,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.237787511030351,0.314180161738237,0.0763926507078858,0.2,0.3,0.999999990548789,0.951249722471836
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPP5A",7,3.59717677613814e-08,6.1774102028672e-07,7.44403821911369,6.20919355894615,1.23484466016754,0.00059618767048381,0.00577645522630862,3.22461700967912,2.23833858855416,0.986278421124963,4.42452743464991e-06,7.59821454952666e-05,0.0733310834695086,0.71050399283596,2.31389997788891,2.02960302707371,1.06522856619588,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0130912580456879,0.0115363022639948,-0.0015549557816931,0.012,0.014,1.00000008722703,0.964662802975435
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPP5B",8,3.59717677613814e-08,1.31042954439412e-08,7.44403821911369,7.8825863240523,-0.438548104938605,0.00059618767048381,0.0034223189265975,3.22461700967912,2.46567952091782,0.758937488761304,4.42452743464991e-06,1.61182833960477e-06,0.0733310834695086,0.420945227971492,2.31389997788891,2.40679895558663,1.06522856619588,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0622789150745259,0.0406931458452126,-0.0215857692293134,0.06,0.04,0.999999996954137,0.967178862471079
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPP5D",9,3.59717677613814e-08,0.000160158462101912,7.44403821911369,3.79545011009365,3.64858810902004,0.00059618767048381,1.77726970010602e-05,3.22461700967912,4.75024666314563,-1.5256296534665,4.42452743464991e-06,0.0196994908385352,0.0733310834695086,0.0021860417311304,2.31389997788891,1.30596515981639,1.06522856619588,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.227124473277236,0.0632375177686595,-0.163886955508577,0.198,0.064,0.999999955439153,0.96402052621431
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"INPPL1",10,3.59717677613814e-08,6.1774102028672e-07,7.44403821911369,6.20919355894615,1.23484466016754,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,4.42452743464991e-06,7.59821454952666e-05,0.0733310834695086,0.242171576205549,2.31389997788891,2.02960302707371,1.06522856619588,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0233725864973751,0.031278870635743,0.00790628413836793,0.022,0.034,0.999999966075556,0.944656285792288
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"IP6K1",11,3.59717677613814e-08,1.58410791482518e-09,7.44403821911369,8.80021523611983,-1.35617701700613,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,4.42452743464991e-06,1.94845273523497e-07,0.0733310834695086,0.0733310834695086,2.31389997788891,2.59042662985857,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.180216523414414,0.15924178137006,-0.0209747420443542,0.166,0.166,1.00000006197021,0.960503520727868
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"IP6K2",12,3.59717677613814e-08,2.46964030878651e-07,7.44403821911369,6.60736629503362,0.836671924080072,0.00059618767048381,8.03548663493119e-06,3.22461700967912,5.09498781691362,-1.8703708072345,4.42452743464991e-06,3.03765757980741e-05,0.0733310834695086,0.000988364856096536,2.31389997788891,2.12543199928726,1.06522856619588,1.73351743731473,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.147176436862437,0.137071114624777,-0.0101053222376592,0.134,0.158,0.999999992400978,0.956333765498993
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"IPMK",13,3.59717677613814e-08,2.46964030878651e-07,7.44403821911369,6.60736629503362,0.836671924080072,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,4.42452743464991e-06,3.03765757980741e-05,0.0733310834695086,0.0733310834695086,2.31389997788891,2.12543199928726,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0395968353243169,0.0273247590623785,-0.0122720762619384,0.036,0.03,1.00000005939706,0.956316124185898
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"IPPK",14,3.59717677613814e-08,1.77726970010602e-05,7.44403821911369,4.75024666314563,2.69379155596806,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,4.42452743464991e-06,0.0021860417311304,0.0733310834695086,0.0385837463047961,2.31389997788891,1.63105534906276,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0144663641907001,0.0177540298113138,0.0032876656206137,0.014,0.026,0.999999978161812,0.950187243050262
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Vanilla-only significant",42,"ISYNA1",15,3.59717677613814e-08,1.49821174952854e-06,7.44403821911369,5.82442680135432,1.61961141775938,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,4.42452743464991e-06,0.00018428004519201,0.0733310834695086,0.242171576205549,2.31389997788891,1.93249105817205,1.06522856619588,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.038737013733488,0.00692788067672433,-0.0318091330567637,0.036,0.008,0.999999972271522,0.939417646304603
