"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"AKR1B1",1,1.49821174952854e-06,3.81265104892234e-05,5.82442680135432,4.41877294150378,1.40565385985053,0.0010996776918826,0.000313688994347936,2.95873458497628,3.503500718082,-0.544766133105719,0.00018428004519201,0.00468956079017448,0.13526035610156,0.0385837463047961,1.93249105817205,1.52606285259303,0.932110226066041,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.346708461048194,0.302879541937809,-0.0438289191103846,0.302,0.316,0.999999944610805,0.915587070910986
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"FDX1",2,1.49821174952854e-06,0.0034223189265975,5.82442680135432,2.46567952091782,3.35874728043649,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.00018428004519201,0.420945227971492,0.13526035610156,0.0733310834695086,1.93249105817205,0.613004412282997,0.932110226066041,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.225893764769021,0.436213745927014,0.210319981157993,0.2,0.408,1.00000001571287,0.929098510287448
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"FDX2",3,1.49821174952854e-06,7.93371655046569e-05,5.82442680135432,4.1005233197136,1.72390348164071,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.00018428004519201,0.0097584713570728,0.13526035610156,0.420945227971492,1.93249105817205,1.417962696362,0.932110226066041,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0447283672787193,0.0871462088139667,0.0424178415352474,0.042,0.1,1.000000051779,0.910104628508788
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"FDXR",4,1.49821174952854e-06,1.77726970010602e-05,5.82442680135432,4.75024666314563,1.07418013820869,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.00018428004519201,0.0021860417311304,0.13526035610156,0.0733310834695086,1.93249105817205,1.63105534906276,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0283579846426066,0.00644565993152571,-0.0219123247110809,0.026,0.006,1.00000004890516,0.918218367669177
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"HSD11B1",5,1.49821174952854e-06,1.49821174952854e-06,5.82442680135432,5.82442680135432,0,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.00018428004519201,0.00018428004519201,0.13526035610156,0.13526035610156,1.93249105817205,1.93249105817205,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999982288357,0.939440131723353
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"HSD11B2",6,1.49821174952854e-06,3.52341775794401e-06,5.82442680135432,5.45303586115776,0.371390940196559,0.0010996776918826,0.0150822934297104,2.95873458497628,1.82153261416016,1.13720197081613,0.00018428004519201,0.000433380384227113,0.13526035610156,1,1.93249105817205,1.83388406114409,0.932110226066041,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00577406268644318,0.00577406268644318,0,0.008,0.999999976170066,0.919883268766159
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"HSD17B1",7,1.49821174952854e-06,8.03548663493119e-06,5.82442680135432,5.09498781691362,0.729438984440692,0.0010996776918826,0.00577645522630862,2.95873458497628,2.23833858855416,0.720395996422123,0.00018428004519201,0.000988364856096536,0.13526035610156,0.71050399283596,1.93249105817205,1.73351743731473,0.932110226066041,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0240420231358256,0.0163184754080518,-0.00772354772777379,0.022,0.018,1.00000000363578,0.949869039627945
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"HSD17B11",8,1.49821174952854e-06,8.03548663493119e-06,5.82442680135432,5.09498781691362,0.729438984440692,0.0010996776918826,7.93371655046569e-05,2.95873458497628,4.1005233197136,-1.14178873473732,0.00018428004519201,0.000988364856096536,0.13526035610156,0.0097584713570728,1.93249105817205,1.73351743731473,0.932110226066041,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.356251409249205,0.130761006188359,-0.225490403060846,0.304,0.122,1.00000002589939,0.942312000404598
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"HSD17B12",9,1.49821174952854e-06,1.77726970010602e-05,5.82442680135432,4.75024666314563,1.07418013820869,0.0010996776918826,0.00577645522630862,2.95873458497628,2.23833858855416,0.720395996422123,0.00018428004519201,0.0021860417311304,0.13526035610156,0.71050399283596,1.93249105817205,1.63105534906276,0.932110226066041,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.10076978060715,0.280794273935786,0.180024493328636,0.092,0.3,0.999999999487677,0.942717664863173
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_METABOLISM_OF_STEROID_HORMONES","Vanilla-only significant",21,"HSD17B14",10,1.49821174952854e-06,1.49821174952854e-06,5.82442680135432,5.82442680135432,0,0.0010996776918826,0.00577645522630862,2.95873458497628,2.23833858855416,0.720395996422123,0.00018428004519201,0.00018428004519201,0.13526035610156,0.71050399283596,1.93249105817205,1.93249105817205,0.932110226066041,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0182047518809784,0.00241605109804684,-0.0157887007829315,0.018,0.004,0.99999998666885,0.938678486556319
