"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"ACADM",1,2.46964030878651e-07,2.46964030878651e-07,6.60736629503362,6.60736629503362,0,0.00059618767048381,4.62765891657924e-09,3.22461700967912,8.33463865838632,-5.11002164870719,3.03765757980741e-05,3.03765757980741e-05,0.0733310834695086,5.69202046739247e-07,2.12543199928726,2.12543199928726,1.06522856619588,2.49894648741163,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.186327050713759,0.180280357751816,-0.0060466929619431,0.17,0.196,1.00000007066164,0.890097948070943
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"ACOX1",2,2.46964030878651e-07,3.52341775794401e-06,6.60736629503362,5.45303586115776,1.15433043387586,0.00059618767048381,0.0150822934297104,3.22461700967912,1.82153261416016,1.40308439551897,3.03765757980741e-05,0.000433380384227113,0.0733310834695086,1,2.12543199928726,1.83388406114409,1.06522856619588,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0687676515805273,0.0606388649429991,-0.0081287866375282,0.06,0.07,0.999999994705622,0.898979213803247
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"ACSL1",3,2.46964030878651e-07,2.46964030878651e-07,6.60736629503362,6.60736629503362,0,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,3.03765757980741e-05,3.03765757980741e-05,0.0733310834695086,0.13526035610156,2.12543199928726,2.12543199928726,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.01410958676883,0.0151064722443951,0.000996885475565026,0.014,0.016,0.999999904648259,0.904155223273154
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"AHR",4,2.46964030878651e-07,1.49821174952854e-06,6.60736629503362,5.82442680135432,0.782939493679303,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,3.03765757980741e-05,0.00018428004519201,0.0733310834695086,0.00468956079017448,2.12543199928726,1.93249105817205,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0122536116267073,0.104832699340386,0.0925790877136789,0.012,0.106,1.00000002089585,0.917398332831974
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"AHRR",5,2.46964030878651e-07,2.46964030878651e-07,6.60736629503362,6.60736629503362,0,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,3.03765757980741e-05,3.03765757980741e-05,0.0733310834695086,0.0733310834695086,2.12543199928726,2.12543199928726,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00390896973329853,0.00300622759704772,-0.000902742136250808,0.004,0.004,1.00000002071404,0.912910986271404
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"ALAS1",6,2.46964030878651e-07,6.1774102028672e-07,6.60736629503362,6.20919355894615,0.398172736087466,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,3.03765757980741e-05,7.59821454952666e-05,0.0733310834695086,0.13526035610156,2.12543199928726,2.02960302707371,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0638217296966535,0.0769868617468249,0.0131651320501714,0.06,0.096,0.999999987635923,0.907125059906587
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"APOA1",7,2.46964030878651e-07,2.46964030878651e-07,6.60736629503362,6.60736629503362,0,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,3.03765757980741e-05,3.03765757980741e-05,0.0733310834695086,0.0385837463047961,2.12543199928726,2.12543199928726,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00207783105882413,0.00246307689406749,0.000385245835243361,0.002,0.004,1.00000001050657,0.896697023967809
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"ARNT",8,2.46964030878651e-07,9.5725425402497e-08,6.60736629503362,7.01897269497718,-0.411606399943558,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,3.03765757980741e-05,1.17742273245071e-05,0.0733310834695086,0.13526035610156,2.12543199928726,2.2201503515613,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0748039518660965,0.0419116451496776,-0.0328923067164188,0.068,0.044,1.00000000411678,0.904590621529474
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"CARM1",9,2.46964030878651e-07,1.49821174952854e-06,6.60736629503362,5.82442680135432,0.782939493679303,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,3.03765757980741e-05,0.00018428004519201,0.0733310834695086,0.00468956079017448,2.12543199928726,1.93249105817205,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0602772575870976,0.105913316997308,0.0456360594102105,0.054,0.122,1.00000007043934,0.912869263795915
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"CCNC",10,2.46964030878651e-07,6.1774102028672e-07,6.60736629503362,6.20919355894615,0.398172736087466,0.00059618767048381,1.77726970010602e-05,3.22461700967912,4.75024666314563,-1.5256296534665,3.03765757980741e-05,7.59821454952666e-05,0.0733310834695086,0.0021860417311304,2.12543199928726,2.02960302707371,1.06522856619588,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.252169988989127,0.473006546023614,0.220836557034488,0.222,0.448,0.999999988555824,0.918093127820927
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"CDK19",11,2.46964030878651e-07,1.49821174952854e-06,6.60736629503362,5.82442680135432,0.782939493679303,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,3.03765757980741e-05,0.00018428004519201,0.0733310834695086,0.0385837463047961,2.12543199928726,1.93249105817205,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0797639653246879,0.0181707413702067,-0.0615932239544812,0.074,0.02,1.00000002148376,0.931719569181954
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"CDK8",12,2.46964030878651e-07,2.46964030878651e-07,6.60736629503362,6.60736629503362,0,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,3.03765757980741e-05,3.03765757980741e-05,0.0733310834695086,0.0385837463047961,2.12543199928726,2.12543199928726,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0235220125132462,0.0449132414275204,0.0213912289142742,0.022,0.052,1.00000000002675,0.92368038142867
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA","Vanilla-only significant",99,"CHD9",13,2.46964030878651e-07,6.1774102028672e-07,6.60736629503362,6.20919355894615,0.398172736087466,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,3.03765757980741e-05,7.59821454952666e-05,0.0733310834695086,0.13526035610156,2.12543199928726,2.02960302707371,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.193019551736612,0.110334837349024,-0.0826847143875877,0.168,0.114,1.00000007938543,0.909227472655187
