"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ACER1",1,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.0731481276708723,0.0731481276708723,1.13579678577401,1.13579678577401,0,0.000988364856096536,0.000988364856096536,1,1,1.73351743731473,1.73351743731473,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999941555897,0.896102642167898
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ACER2",2,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.0731481276708723,0.0731481276708723,1.13579678577401,1.13579678577401,0,0.000988364856096536,0.000988364856096536,1,1,1.73351743731473,1.73351743731473,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00259624106244801,0.00259624106244801,0,0.002,0.999999972300609,0.895967295924962
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ACER3",3,8.03548663493119e-06,3.81265104892234e-05,5.09498781691362,4.41877294150378,0.676214875409841,0.0731481276708723,0.0731481276708723,1.13579678577401,1.13579678577401,0,0.000988364856096536,0.00468956079017448,1,1,1.73351743731473,1.52606285259303,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0356842992601796,0.024986170503979,-0.0106981287562006,0.032,0.03,1.00000009612979,0.93120766788813
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ALDH3A2",4,8.03548663493119e-06,1.77726970010602e-05,5.09498781691362,4.75024666314563,0.344741153767997,0.0731481276708723,0.0513887607461245,1.13579678577401,1.28913185531754,-0.153335069543525,0.000988364856096536,0.0021860417311304,1,1,1.73351743731473,1.63105534906276,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0670885848316509,0.0328381630201394,-0.0342504218115114,0.064,0.038,0.999999965020311,0.906897572541672
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ALDH3B1",5,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.0731481276708723,0.0731481276708723,1.13579678577401,1.13579678577401,0,0.000988364856096536,0.000988364856096536,1,1,1.73351743731473,1.73351743731473,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999992381482,0.910929754151207
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ARSA",6,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.0731481276708723,0.0731481276708723,1.13579678577401,1.13579678577401,0,0.000988364856096536,0.000988364856096536,1,1,1.73351743731473,1.73351743731473,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0443767158636036,0.0228768647685066,-0.021499851095097,0.042,0.024,0.99999999335914,0.914117404349556
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ARSB",7,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.0731481276708723,0.0731481276708723,1.13579678577401,1.13579678577401,0,0.000988364856096536,0.000988364856096536,1,1,1.73351743731473,1.73351743731473,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0155229404085668,0.0150387478472495,-0.000484192561317303,0.014,0.02,1.0000000031112,0.916675310262567
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ARSD",8,8.03548663493119e-06,3.52341775794401e-06,5.09498781691362,5.45303586115776,-0.358048044244133,0.0731481276708723,0.0513887607461245,1.13579678577401,1.28913185531754,-0.153335069543525,0.000988364856096536,0.000433380384227113,1,1,1.73351743731473,1.83388406114409,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00194801165697046,0,-0.00194801165697046,0.002,0,1.00000000825678,0.921016119129001
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ARSG",9,8.03548663493119e-06,3.52341775794401e-06,5.09498781691362,5.45303586115776,-0.358048044244133,0.0731481276708723,0.0233436169134307,1.13579678577401,1.63183185249604,-0.496035066722033,0.000988364856096536,0.000433380384227113,1,1,1.73351743731473,1.83388406114409,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0729149821332858,0.0376361430005304,-0.0352788391327555,0.068,0.042,0.999999977391478,0.934879742054596
"cd4_0h_vs_12h","cd4_0h","cd4_12h","REACTOME_SPHINGOLIPID_METABOLISM","Vanilla-only significant",72,"ARSK",10,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.0731481276708723,0.0513887607461245,1.13579678577401,1.28913185531754,-0.153335069543525,0.000988364856096536,0.000988364856096536,1,1,1.73351743731473,1.73351743731473,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0473735342508582,0.0281054296550829,-0.0192681045957753,0.04,0.032,1.00000008224329,0.880472916992284
