"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"AGPS",1,3.52341775794401e-06,2.46964030878651e-07,5.45303586115776,6.60736629503362,-1.15433043387586,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.000433380384227113,3.03765757980741e-05,0.0733310834695086,0.0733310834695086,1.83388406114409,2.12543199928726,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0610405250889288,0.176425952061081,0.115385426972152,0.058,0.258,1.00000001343735,0.932399253276107
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"CHPT1",2,3.52341775794401e-06,1.77726970010602e-05,5.45303586115776,4.75024666314563,0.702789198012129,0.00059618767048381,0.000160158462101912,3.22461700967912,3.79545011009365,-0.570833100414529,0.000433380384227113,0.0021860417311304,0.0733310834695086,0.0196994908385352,1.83388406114409,1.63105534906276,1.06522856619588,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0633252295027891,0.125589639351093,0.0622644098483038,0.056,0.174,0.999999915134598,0.939655067953258
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"ENPP2",3,3.52341775794401e-06,3.52341775794401e-06,5.45303586115776,5.45303586115776,0,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,0.000433380384227113,0.000433380384227113,0.0733310834695086,0.242171576205549,1.83388406114409,1.83388406114409,1.06522856619588,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00381664080078092,0.00396752709426249,0.000150886293481571,0.004,0.004,1.00000008905408,0.940914579863089
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"JMJD7-PLA2G4B",4,3.52341775794401e-06,3.52341775794401e-06,5.45303586115776,5.45303586115776,0,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.000433380384227113,0.000433380384227113,0.0733310834695086,0.13526035610156,1.83388406114409,1.83388406114409,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00631564024372512,0,-0.00631564024372512,0.006,0,0.999999950212646,0.924535619867481
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"LPCAT1",5,3.52341775794401e-06,1.49821174952854e-06,5.45303586115776,5.82442680135432,-0.371390940196559,0.00059618767048381,0.000160158462101912,3.22461700967912,3.79545011009365,-0.570833100414529,0.000433380384227113,0.00018428004519201,0.0733310834695086,0.0196994908385352,1.83388406114409,1.93249105817205,1.06522856619588,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0358849606086596,0.0429696735832244,0.00708471297456479,0.034,0.068,0.999999967087559,0.953959778578582
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"LPCAT2",6,3.52341775794401e-06,6.1774102028672e-07,5.45303586115776,6.20919355894615,-0.756157697788396,0.00059618767048381,7.93371655046569e-05,3.22461700967912,4.1005233197136,-0.875906310034476,0.000433380384227113,7.59821454952666e-05,0.0733310834695086,0.0097584713570728,1.83388406114409,2.02960302707371,1.06522856619588,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00328461849000459,0.00324783582588606,-3.67826641185284e-05,0.004,0.004,1.00000000623098,0.964989533820611
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"LPCAT4",7,3.52341775794401e-06,1.49821174952854e-06,5.45303586115776,5.82442680135432,-0.371390940196559,0.00059618767048381,3.52341775794401e-06,3.22461700967912,5.45303586115776,-2.22841885147863,0.000433380384227113,0.00018428004519201,0.0733310834695086,0.000433380384227113,1.83388406114409,1.93249105817205,1.06522856619588,1.83388406114409,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0542630100513576,0.0421743654836527,-0.012088644567705,0.05,0.06,1.00000000851698,0.917431228609246
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"PAFAH1B1",8,3.52341775794401e-06,0.00196887460329715,5.45303586115776,2.70578194299357,2.74725391816418,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.000433380384227113,0.242171576205549,0.0733310834695086,0.0733310834695086,1.83388406114409,0.784778205325666,1.06522856619588,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.337798066269717,0.31131768878717,-0.0264803774825469,0.294,0.38,0.999999928347197,0.943680479287262
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"PAFAH1B2",9,3.52341775794401e-06,8.03548663493119e-06,5.45303586115776,5.09498781691362,0.358048044244133,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.000433380384227113,0.000988364856096536,0.0733310834695086,0.13526035610156,1.83388406114409,1.73351743731473,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.194689828099941,0.135532751914516,-0.059157076185425,0.17,0.186,1.00000001920114,0.929121599411071
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_ETHER_LIPID_METABOLISM","Vanilla-only significant",19,"PAFAH1B3",10,3.52341775794401e-06,0.351986208769717,5.45303586115776,0.453474352352965,4.99956150880479,0.00059618767048381,0.420283707542506,3.22461700967912,0.376457445258734,2.84815956442039,0.000433380384227113,1,0.0733310834695086,1,1.83388406114409,0,1.06522856619588,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0833946404900901,0.441344883318221,0.357950242828131,0.078,0.482,1.00000011884624,0.950342430568376
