"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"ADH5",1,0.000313688994347936,0.0513887607461245,3.503500718082,1.28913185531754,2.21436886276447,0.0233436169134307,0.179741341532766,1.63183185249604,0.745352021196044,0.886479831299999,0.0385837463047961,1,1,1,1.18894726823464,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.449188761313027,0.464312708843271,0.0151239475302442,0.374,0.51,1.00000011309662,0.930263025279599
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"CYP1A1",2,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.0233436169134307,0.00577645522630862,1.63183185249604,2.23833858855416,-0.606506736058118,0.0385837463047961,0.13526035610156,1,0.71050399283596,1.18894726823464,0.932110226066041,0,0.385270654364906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0.0103058331173153,0.0103058331173153,0,0.016,1.00000002071404,0.926656983811818
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"CYP3A43",3,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0233436169134307,0.00946978291842922,1.63183185249604,2.02365997647813,-0.391828123982087,0.0385837463047961,0.0385837463047961,1,1,1.18894726823464,1.18894726823464,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00135475766824943,0.00135475766824943,0,0.002,1.00000001834618,0.933870372789159
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"CYP3A5",4,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0233436169134307,0.0233436169134307,1.63183185249604,1.63183185249604,0,0.0385837463047961,0.0385837463047961,1,1,1.18894726823464,1.18894726823464,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0707500193136788,0.0490261348967567,-0.0217238844169221,0.068,0.068,0.999999955308344,0.932641851554402
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"DGAT1",5,0.000313688994347936,0.0034223189265975,3.503500718082,2.46567952091782,1.03782119716418,0.0233436169134307,0.00946978291842922,1.63183185249604,2.02365997647813,-0.391828123982087,0.0385837463047961,0.420945227971492,1,1,1.18894726823464,0.613004412282997,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0686733258655065,0.11633336380692,0.0476600379414132,0.064,0.176,0.999999998735447,0.938846710140909
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"DGAT2",6,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.0233436169134307,0.0513887607461245,1.63183185249604,1.28913185531754,0.342699997178508,0.0385837463047961,0.13526035610156,1,1,1.18894726823464,0.932110226066041,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.00191437689900399,0.0121890451798999,0.0102746682808959,0.002,0.022,1.00000000231825,0.921535097286724
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"DHRS3",7,0.000313688994347936,0.0351222601892017,3.503500718082,1.45441754412943,2.04908317395257,0.0233436169134307,0.0513887607461245,1.63183185249604,1.28913185531754,0.342699997178508,0.0385837463047961,1,1,1,1.18894726823464,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.225176240062482,0.235690439913295,0.0105141998508129,0.208,0.256,0.999999983666793,0.947207861924539
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"DHRS4",8,0.000313688994347936,0.00059618767048381,3.503500718082,3.22461700967912,0.278883708402879,0.0233436169134307,0.0150822934297104,1.63183185249604,1.82153261416016,-0.189700761664114,0.0385837463047961,0.0733310834695086,1,1,1.18894726823464,1.06522856619588,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0424647218739487,0.0896501733034968,0.0471854514295481,0.038,0.128,1.00000010304549,0.935970723431354
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"DHRS4L2",9,0.000313688994347936,0.00946978291842922,3.503500718082,2.02365997647813,1.47984074160387,0.0233436169134307,0.0351222601892017,1.63183185249604,1.45441754412943,0.177414308366614,0.0385837463047961,1,1,1,1.18894726823464,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0790520314246531,0.157541107333804,0.0784890759091505,0.072,0.214,1.00000001389309,0.956092802509248
"cd4_0h_vs_24h","cd4_0h","cd4_24h","KEGG_RETINOL_METABOLISM","Vanilla-only significant",17,"DHRS9",10,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0233436169134307,0.0233436169134307,1.63183185249604,1.63183185249604,0,0.0385837463047961,0.0385837463047961,1,1,1.18894726823464,1.18894726823464,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00177623218609376,0.00177623218609376,0,0.004,0.999999961746803,0.948550373288609
