"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"ACOT8",1,1.77726970010602e-05,0.00577645522630862,4.75024666314563,2.23833858855416,2.51190807459147,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.0021860417311304,0.71050399283596,0.13526035610156,0.242171576205549,1.63105534906276,0.385270654364906,0.932110226066041,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0682789044411323,0.124531055334003,0.0562521508928708,0.064,0.17,1.00000003746949,0.924014170940995
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"AKR1C1",2,1.77726970010602e-05,0.0010996776918826,4.75024666314563,2.95873458497628,1.79151207816934,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0021860417311304,0.13526035610156,0.13526035610156,0.0733310834695086,1.63105534906276,0.932110226066041,0.932110226066041,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0144752165827623,0.00156784981971395,-0.0129073667630483,0.014,0.002,1.00000005383422,0.922991471873615
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"AKR1C3",3,1.77726970010602e-05,0.00059618767048381,4.75024666314563,3.22461700967912,1.5256296534665,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.0021860417311304,0.0733310834695086,0.13526035610156,0.242171576205549,1.63105534906276,1.06522856619588,0.932110226066041,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0572634026722653,0.0118733552020877,-0.0453900474701776,0.052,0.012,0.999999960496614,0.919427231766885
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"AMACR",4,1.77726970010602e-05,7.93371655046569e-05,4.75024666314563,4.1005233197136,0.649723343432027,0.0010996776918826,1.77726970010602e-05,2.95873458497628,4.75024666314563,-1.79151207816934,0.0021860417311304,0.0097584713570728,0.13526035610156,0.0021860417311304,1.63105534906276,1.417962696362,0.932110226066041,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00199561517909229,0.00771480201598608,0.00571918683689379,0.002,0.014,1.00000001049619,0.9229899606503
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"CH25H",5,1.77726970010602e-05,1.77726970010602e-05,4.75024666314563,4.75024666314563,0,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0021860417311304,0.0021860417311304,0.13526035610156,0.13526035610156,1.63105534906276,1.63105534906276,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00204512470191083,0.00204512470191083,0,0.002,1.0000000241373,0.931603989670433
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"CYP46A1",6,1.77726970010602e-05,3.81265104892234e-05,4.75024666314563,4.41877294150378,0.331473721641845,0.0010996776918826,7.93371655046569e-05,2.95873458497628,4.1005233197136,-1.14178873473732,0.0021860417311304,0.00468956079017448,0.13526035610156,0.0097584713570728,1.63105534906276,1.52606285259303,0.932110226066041,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00610370719652884,0.00621362121697902,0.000109914020450173,0.006,0.006,0.999999898402733,0.941119128007593
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"HSD17B4",7,1.77726970010602e-05,7.93371655046569e-05,4.75024666314563,4.1005233197136,0.649723343432027,0.0010996776918826,3.81265104892234e-05,2.95873458497628,4.41877294150378,-1.4600383565275,0.0021860417311304,0.0097584713570728,0.13526035610156,0.00468956079017448,1.63105534906276,1.417962696362,0.932110226066041,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0695113984952414,0.122105365001872,0.0525939665066305,0.064,0.188,1.00000003575157,0.935525388182579
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"HSD3B7",8,1.77726970010602e-05,8.03548663493119e-06,4.75024666314563,5.09498781691362,-0.344741153767997,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0021860417311304,0.000988364856096536,0.13526035610156,0.0733310834695086,1.63105534906276,1.73351743731473,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00450759104127034,0.000737644197327032,-0.00376994684394331,0.004,0.002,0.999999966010603,0.930487616783853
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"NCOA1",9,1.77726970010602e-05,0.000160158462101912,4.75024666314563,3.79545011009365,0.954796553051974,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0021860417311304,0.0196994908385352,0.13526035610156,0.13526035610156,1.63105534906276,1.30596515981639,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.155410933100708,0.13746356313807,-0.0179473699626378,0.138,0.184,1.0000000882469,0.919322733168801
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Vanilla-only significant",23,"NCOA2",10,1.77726970010602e-05,7.93371655046569e-05,4.75024666314563,4.1005233197136,0.649723343432027,0.0010996776918826,7.93371655046569e-05,2.95873458497628,4.1005233197136,-1.14178873473732,0.0021860417311304,0.0097584713570728,0.13526035610156,0.0097584713570728,1.63105534906276,1.417962696362,0.932110226066041,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0892335623539105,0.0650671560212923,-0.0241664063326182,0.082,0.088,1.00000002092441,0.926777705064064
