"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACACA",1,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.00577645522630862,0.00196887460329715,2.23833858855416,2.70578194299357,-0.467443354439411,0.000988364856096536,0.000988364856096536,0.71050399283596,0.242171576205549,1.73351743731473,1.73351743731473,0.385270654364906,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0166871301221139,0.0908366032469967,0.0741494731248828,0.016,0.142,1.00000004087195,0.918871836360808
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACLY",2,8.03548663493119e-06,0.000160158462101912,5.09498781691362,3.79545011009365,1.29953770681997,0.00577645522630862,0.00196887460329715,2.23833858855416,2.70578194299357,-0.467443354439411,0.000988364856096536,0.0196994908385352,0.71050399283596,0.242171576205549,1.73351743731473,1.30596515981639,0.385270654364906,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0539952187097061,0.169310599580296,0.115315380870589,0.052,0.246,0.999999995233859,0.916430906953755
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSBG1",3,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.00577645522630862,0.0034223189265975,2.23833858855416,2.46567952091782,-0.227340932363659,0.000988364856096536,0.000988364856096536,0.71050399283596,0.420945227971492,1.73351743731473,1.73351743731473,0.385270654364906,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00352787768886754,0.00352787768886754,0,0.004,0.999999998677215,0.938639936090659
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSF3",4,8.03548663493119e-06,3.81265104892234e-05,5.09498781691362,4.41877294150378,0.676214875409841,0.00577645522630862,6.1774102028672e-07,2.23833858855416,6.20919355894615,-3.97085497039199,0.000988364856096536,0.00468956079017448,0.71050399283596,7.59821454952666e-05,1.73351743731473,1.52606285259303,0.385270654364906,2.02960302707371,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.176042437159305,0.133767948797153,-0.0422744883621521,0.154,0.176,1.00000008168816,0.947129336290228
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSL1",5,8.03548663493119e-06,3.52341775794401e-06,5.09498781691362,5.45303586115776,-0.358048044244133,0.00577645522630862,0.0150822934297104,2.23833858855416,1.82153261416016,0.416805974394003,0.000988364856096536,0.000433380384227113,0.71050399283596,1,1.73351743731473,1.83388406114409,0.385270654364906,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.01410958676883,0.0226086446811931,0.00849905791236303,0.014,0.032,0.999999904648259,0.955499266263654
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSL3",6,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.00577645522630862,0.000160158462101912,2.23833858855416,3.79545011009365,-1.55711152153949,0.000988364856096536,0.000988364856096536,0.71050399283596,0.0196994908385352,1.73351743731473,1.73351743731473,0.385270654364906,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.128575265618052,0.129601927938266,0.00102666232021381,0.11,0.188,0.999999960665364,0.958314956797074
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSL4",7,8.03548663493119e-06,1.77726970010602e-05,5.09498781691362,4.75024666314563,0.344741153767997,0.00577645522630862,3.81265104892234e-05,2.23833858855416,4.41877294150378,-2.18043435294962,0.000988364856096536,0.0021860417311304,0.71050399283596,0.00468956079017448,1.73351743731473,1.63105534906276,0.385270654364906,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0394570267551306,0.143718571962183,0.104261545207053,0.036,0.198,1.0000000658117,0.959970391110303
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSL5",8,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.00577645522630862,0.000313688994347936,2.23833858855416,3.503500718082,-1.26516212952784,0.000988364856096536,0.000988364856096536,0.71050399283596,0.0385837463047961,1.73351743731473,1.73351743731473,0.385270654364906,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0425105668947699,0.0730959426867007,0.0305853757919308,0.042,0.108,0.999999955728254,0.956053722932461
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"ACSL6",9,8.03548663493119e-06,7.93371655046569e-05,5.09498781691362,4.1005233197136,0.994464497200023,0.00577645522630862,3.81265104892234e-05,2.23833858855416,4.41877294150378,-2.18043435294962,0.000988364856096536,0.0097584713570728,0.71050399283596,0.00468956079017448,1.73351743731473,1.417962696362,0.385270654364906,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.159740328648212,0.0170624381883009,-0.142677890459912,0.14,0.014,1.00000004571258,0.951938769749923
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Vanilla-only significant",31,"CBR4",10,8.03548663493119e-06,6.1774102028672e-07,5.09498781691362,6.20919355894615,-1.11420574203253,0.00577645522630862,3.81265104892234e-05,2.23833858855416,4.41877294150378,-2.18043435294962,0.000988364856096536,7.59821454952666e-05,0.71050399283596,0.00468956079017448,1.73351743731473,2.02960302707371,0.385270654364906,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.136584569793023,0.141419097811784,0.00483452801876136,0.124,0.198,1.00000001460134,0.899646782014357
