"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"ACAN",1,7.93371655046569e-05,0.000160158462101912,4.1005233197136,3.79545011009365,0.305073209619947,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.0097584713570728,0.0196994908385352,0.13526035610156,0.242171576205549,1.417962696362,1.30596515981639,0.932110226066041,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00140187438831208,0.00140187438831208,0,0.002,0.999999988984736,0.898440162293487
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B3GNT2",2,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.0097584713570728,0.0097584713570728,0.13526035610156,0.420945227971492,1.417962696362,1.417962696362,0.932110226066041,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0403592588988802,0.0472425918705495,0.00688333297166933,0.038,0.072,0.999999969170876,0.965362362693353
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B3GNT4",3,7.93371655046569e-05,0.00059618767048381,4.1005233197136,3.22461700967912,0.875906310034476,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0097584713570728,0.0733310834695086,0.13526035610156,0.13526035610156,1.417962696362,1.06522856619588,0.932110226066041,0.932110226066041,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0.00592033415926509,0.00592033415926509,0,0.01,0.999999943339792,0.96508176935225
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GALT1",4,7.93371655046569e-05,0.00196887460329715,4.1005233197136,2.70578194299357,1.39474137672003,0.0010996776918826,0.000313688994347936,2.95873458497628,3.503500718082,-0.544766133105719,0.0097584713570728,0.242171576205549,0.13526035610156,0.0385837463047961,1.417962696362,0.784778205325666,0.932110226066041,1.18894726823464,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0927613935579189,0.0818259764774622,-0.0109354170804567,0.084,0.116,0.999999981496454,0.963299993402334
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GALT2",5,7.93371655046569e-05,0.0010996776918826,4.1005233197136,2.95873458497628,1.14178873473732,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0097584713570728,0.13526035610156,0.13526035610156,0.0733310834695086,1.417962696362,0.932110226066041,0.932110226066041,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0.0289937682026588,0.0289937682026588,0,0.046,1.00000002772784,0.969202738283472
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GALT3",6,7.93371655046569e-05,0.000313688994347936,4.1005233197136,3.503500718082,0.597022601631597,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0097584713570728,0.0385837463047961,0.13526035610156,0.0733310834695086,1.417962696362,1.18894726823464,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0939986181519767,0.168145432773221,0.0741468146212445,0.086,0.226,0.99999994027067,0.970516395617627
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GALT4",7,7.93371655046569e-05,0.0010996776918826,4.1005233197136,2.95873458497628,1.14178873473732,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0097584713570728,0.13526035610156,0.13526035610156,0.0733310834695086,1.417962696362,0.932110226066041,0.932110226066041,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.15991795544433,0.0765667869492873,-0.083351168495043,0.146,0.102,1.00000001967824,0.966922204586716
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GALT5",8,7.93371655046569e-05,0.00059618767048381,4.1005233197136,3.22461700967912,0.875906310034476,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.0097584713570728,0.0733310834695086,0.13526035610156,0.420945227971492,1.417962696362,1.06522856619588,0.932110226066041,0.613004412282997,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.00232221211571977,0.0324361021633044,0.0301138900475847,0.002,0.05,0.999999924227578,0.965891087774706
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GALT6",9,7.93371655046569e-05,3.81265104892234e-05,4.1005233197136,4.41877294150378,-0.318249621790182,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0097584713570728,0.00468956079017448,0.13526035610156,0.13526035610156,1.417962696362,1.52606285259303,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00384894028766669,0.00384894028766669,0,0.01,0.99999996071758,0.969997200306877
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"B4GAT1",10,7.93371655046569e-05,3.81265104892234e-05,4.1005233197136,4.41877294150378,-0.318249621790182,0.0010996776918826,7.93371655046569e-05,2.95873458497628,4.1005233197136,-1.14178873473732,0.0097584713570728,0.00468956079017448,0.13526035610156,0.0097584713570728,1.417962696362,1.52606285259303,0.932110226066041,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.039038330071356,0.0349293043275193,-0.00410902574383672,0.036,0.06,1.00000007179577,0.960987141176268
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"CHST2",11,7.93371655046569e-05,0.000313688994347936,4.1005233197136,3.503500718082,0.597022601631597,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.0097584713570728,0.0385837463047961,0.13526035610156,0.420945227971492,1.417962696362,1.18894726823464,0.932110226066041,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0175305680906196,0.0760309403915567,0.0585003723009372,0.018,0.108,1.00000000496647,0.922544382806368
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"CHST6",12,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.0010996776918826,0.000313688994347936,2.95873458497628,3.503500718082,-0.544766133105719,0.0097584713570728,0.0097584713570728,0.13526035610156,0.0385837463047961,1.417962696362,1.417962696362,0.932110226066041,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00544641522370415,0,-0.00544641522370415,0.006,0,0.999999944122591,0.913594169509177
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"FMOD",13,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.0010996776918826,0.000313688994347936,2.95873458497628,3.503500718082,-0.544766133105719,0.0097584713570728,0.0097584713570728,0.13526035610156,0.0385837463047961,1.417962696362,1.417962696362,0.932110226066041,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.000820169042389803,0.000820169042389803,0,0.002,1.00000002167597,0.887116830220285
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"GALNS",14,7.93371655046569e-05,0.00577645522630862,4.1005233197136,2.23833858855416,1.86218473115944,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0097584713570728,0.71050399283596,0.13526035610156,0.0733310834695086,1.417962696362,0.385270654364906,0.932110226066041,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.058152706706795,0.0342687604862569,-0.0238839462205381,0.054,0.046,1.00000000020686,0.942970773596948
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"GLB1",15,7.93371655046569e-05,0.0010996776918826,4.1005233197136,2.95873458497628,1.14178873473732,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0097584713570728,0.13526035610156,0.13526035610156,0.0733310834695086,1.417962696362,0.932110226066041,0.932110226066041,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.031900815141749,0.0764010555168053,0.0445002403750563,0.032,0.124,0.999999981952397,0.951018265056758
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"GLB1L",16,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.0010996776918826,7.93371655046569e-05,2.95873458497628,4.1005233197136,-1.14178873473732,0.0097584713570728,0.0097584713570728,0.13526035610156,0.0097584713570728,1.417962696362,1.417962696362,0.932110226066041,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0425128304942854,0.0141290268138648,-0.0283838036804206,0.038,0.022,0.999999927648818,0.932747647166309
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Vanilla-only significant",25,"GNS",17,7.93371655046569e-05,0.000313688994347936,4.1005233197136,3.503500718082,0.597022601631597,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0097584713570728,0.0385837463047961,0.13526035610156,0.13526035610156,1.417962696362,1.18894726823464,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0278183964455687,0.0172526066250752,-0.0105657898204935,0.028,0.028,0.99999995234637,0.920805821464023
