"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"AGRN",1,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0385837463047961,0.0385837463047961,0.13526035610156,0.0733310834695086,1.18894726823464,1.18894726823464,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00620797866070879,0.0262510517821837,0.0200430731214749,0.006,0.034,0.999999945938536,0.920446694425947
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"AKR1C1",2,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.0385837463047961,0.00468956079017448,0.13526035610156,0.420945227971492,1.18894726823464,1.52606285259303,0.932110226066041,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0144752165827623,0.00156784981971395,-0.0129073667630483,0.014,0.002,1.00000005383422,0.922338969428738
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"AKR1C3",3,0.000313688994347936,1.77726970010602e-05,3.503500718082,4.75024666314563,-1.24674594506362,0.0010996776918826,3.81265104892234e-05,2.95873458497628,4.41877294150378,-1.4600383565275,0.0385837463047961,0.0021860417311304,0.13526035610156,0.00468956079017448,1.18894726823464,1.63105534906276,0.932110226066041,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0572634026722653,0.0118733552020877,-0.0453900474701776,0.052,0.012,0.999999960496614,0.923371970059956
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"APOA1",4,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.0385837463047961,0.0196994908385352,0.13526035610156,0.242171576205549,1.18894726823464,1.30596515981639,0.932110226066041,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00207783105882413,0.000812834739602949,-0.00126499631922118,0.002,0.002,1.00000001050657,0.931894050878095
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"APOE",5,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0385837463047961,0.0385837463047961,0.13526035610156,0.13526035610156,1.18894726823464,1.18894726823464,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999998392327,0.929445962098548
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"APOM",6,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0385837463047961,0.0097584713570728,0.13526035610156,0.0733310834695086,1.18894726823464,1.417962696362,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00993657132646952,0.0176425158175911,0.00770594449112158,0.01,0.026,0.99999995302335,0.937104568097708
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"BCO2",7,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0385837463047961,0.0097584713570728,0.13526035610156,0.0733310834695086,1.18894726823464,1.417962696362,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00869178465766647,0.00408743961010472,-0.00460434504756175,0.008,0.008,1.00000003743306,0.901310786714041
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"GPC1",8,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0010996776918826,0.000313688994347936,2.95873458497628,3.503500718082,-0.544766133105719,0.0385837463047961,0.0385837463047961,0.13526035610156,0.0385837463047961,1.18894726823464,1.18894726823464,0.932110226066041,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.00150786464190348,0.00150786464190348,0,0.004,1.00000001259089,0.915784675586853
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"GPC2",9,0.000313688994347936,1.77726970010602e-05,3.503500718082,4.75024666314563,-1.24674594506362,0.0010996776918826,1.77726970010602e-05,2.95873458497628,4.75024666314563,-1.79151207816934,0.0385837463047961,0.0021860417311304,0.13526035610156,0.0021860417311304,1.18894726823464,1.63105534906276,0.932110226066041,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.152556435188249,0.033275115216922,-0.119281319971327,0.136,0.054,0.999999970122099,0.914553714874373
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"GPC3",10,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.0385837463047961,0.00468956079017448,0.13526035610156,0.0733310834695086,1.18894726823464,1.52606285259303,0.932110226066041,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00483068034917575,0.0175063028679485,0.0126756225187728,0.004,0.022,1.00000000396061,0.931864413405067
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"HSPG2",11,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.0010996776918826,0.000160158462101912,2.95873458497628,3.79545011009365,-0.836715525117369,0.0385837463047961,0.0196994908385352,0.13526035610156,0.0196994908385352,1.18894726823464,1.30596515981639,0.932110226066041,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00447909100752795,0.0110979971645748,0.00661890615704685,0.004,0.012,0.999999987917108,0.905275622707598
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"LDLR",12,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0385837463047961,0.0196994908385352,0.13526035610156,0.13526035610156,1.18894726823464,1.30596515981639,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0107335268049564,0.0609544350636005,0.0502209082586441,0.01,0.082,0.999999935207782,0.926659404444378
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"LPL",13,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0385837463047961,0.0385837463047961,0.13526035610156,0.13526035610156,1.18894726823464,1.18894726823464,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00469295737788623,0.00469295737788623,0,0.008,1.00000001195951,0.891254685470351
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS","Vanilla-only significant",26,"LRAT",14,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.0385837463047961,0.0385837463047961,0.13526035610156,0.13526035610156,1.18894726823464,1.18894726823464,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999961583984,0.930007182697066
