"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"ACOT8",1,0.000313688994347936,0.0150822934297104,3.503500718082,1.82153261416016,1.68196810392185,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,0.0385837463047961,1,0.0733310834695086,0.242171576205549,1.18894726823464,0,1.06522856619588,0.784778205325666,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0682789044411323,0.124531055334003,0.0562521508928708,0.064,0.17,1.00000003746949,0.92431023540822
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"AKR1C1",2,0.000313688994347936,0.00059618767048381,3.503500718082,3.22461700967912,0.278883708402879,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0385837463047961,0.0733310834695086,0.0733310834695086,0.0733310834695086,1.18894726823464,1.06522856619588,1.06522856619588,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0144752165827623,0.00156784981971395,-0.0129073667630483,0.014,0.002,1.00000005383422,0.923486256787474
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"AKR1C3",3,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0385837463047961,0.13526035610156,0.0733310834695086,0.0733310834695086,1.18894726823464,0.932110226066041,1.06522856619588,1.06522856619588,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0572634026722653,0.0118733552020877,-0.0453900474701776,0.052,0.012,0.999999960496614,0.919877927245297
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"AMACR",4,0.000313688994347936,0.00059618767048381,3.503500718082,3.22461700967912,0.278883708402879,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.0385837463047961,0.0733310834695086,0.0733310834695086,0.13526035610156,1.18894726823464,1.06522856619588,1.06522856619588,0.932110226066041,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.00199561517909229,0.00771480201598608,0.00571918683689379,0.002,0.014,1.00000001049619,0.922912312727306
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"CH25H",5,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0385837463047961,0.0385837463047961,0.0733310834695086,0.0733310834695086,1.18894726823464,1.18894726823464,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00204512470191083,0.00204512470191083,0,0.002,1.0000000241373,0.930497341792129
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"CYP46A1",6,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.0385837463047961,0.0385837463047961,0.0733310834695086,0.13526035610156,1.18894726823464,1.18894726823464,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00610370719652884,0.00621362121697902,0.000109914020450173,0.006,0.006,0.999999898402733,0.940802765687798
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"HSD17B4",7,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.00059618767048381,7.93371655046569e-05,3.22461700967912,4.1005233197136,-0.875906310034476,0.0385837463047961,0.0097584713570728,0.0733310834695086,0.0097584713570728,1.18894726823464,1.417962696362,1.06522856619588,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0695113984952414,0.122105365001872,0.0525939665066305,0.064,0.188,1.00000003575157,0.935835999035832
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"HSD3B7",8,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.0385837463047961,0.0196994908385352,0.0733310834695086,0.0733310834695086,1.18894726823464,1.30596515981639,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00450759104127034,0.000737644197327032,-0.00376994684394331,0.004,0.002,0.999999966010603,0.929569095026485
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"NCOA1",9,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.00059618767048381,0.00946978291842922,3.22461700967912,2.02365997647813,1.20095703320099,0.0385837463047961,0.00468956079017448,0.0733310834695086,1,1.18894726823464,1.52606285259303,1.06522856619588,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.155410933100708,0.13746356313807,-0.0179473699626378,0.138,0.184,1.0000000882469,0.91932121012506
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","Vanilla-only significant",22,"NCOA2",10,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.00059618767048381,0.000160158462101912,3.22461700967912,3.79545011009365,-0.570833100414529,0.0385837463047961,0.0196994908385352,0.0733310834695086,0.0196994908385352,1.18894726823464,1.30596515981639,1.06522856619588,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0892335623539105,0.0650671560212923,-0.0241664063326182,0.082,0.088,1.00000002092441,0.927165248515203
