"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"DPM2",1,8.03548663493119e-06,0.0150822934297104,5.09498781691362,1.82153261416016,3.27345520275347,0.00059618767048381,0.0233436169134307,3.22461700967912,1.63183185249604,1.59278515718308,0.000988364856096536,1,0.0733310834695086,1,1.73351743731473,0,1.06522856619588,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0706630129145892,0.318773510738531,0.248110497823941,0.066,0.386,1.00000002151964,0.905162249356325
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGA",2,8.03548663493119e-06,7.93371655046569e-05,5.09498781691362,4.1005233197136,0.994464497200023,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.000988364856096536,0.0097584713570728,0.0733310834695086,0.13526035610156,1.73351743731473,1.417962696362,1.06522856619588,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0205416751164938,0.0189865020924619,-0.00155517302403183,0.018,0.026,0.999999989450935,0.964975771465685
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGB",3,8.03548663493119e-06,3.52341775794401e-06,5.09498781691362,5.45303586115776,-0.358048044244133,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.000988364856096536,0.000433380384227113,0.0733310834695086,0.00468956079017448,1.73351743731473,1.83388406114409,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0268125050571156,0.0307628352074182,0.00395033015030266,0.024,0.052,0.999999997653933,0.980369112014253
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGC",4,8.03548663493119e-06,3.81265104892234e-05,5.09498781691362,4.41877294150378,0.676214875409841,0.00059618767048381,7.93371655046569e-05,3.22461700967912,4.1005233197136,-0.875906310034476,0.000988364856096536,0.00468956079017448,0.0733310834695086,0.0097584713570728,1.73351743731473,1.52606285259303,1.06522856619588,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.262945334879222,0.139529449200737,-0.123415885678485,0.232,0.184,0.99999997064672,0.97735243180294
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGF",5,8.03548663493119e-06,3.59717677613814e-08,5.09498781691362,7.44403821911369,-2.34905040220007,0.00059618767048381,8.03548663493119e-06,3.22461700967912,5.09498781691362,-1.8703708072345,0.000988364856096536,4.42452743464991e-06,0.0733310834695086,0.000988364856096536,1.73351743731473,2.31389997788891,1.06522856619588,1.73351743731473,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0881608525161542,0.102470759974597,0.014309907458443,0.08,0.152,1.00000002525437,0.892718224937177
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGG",6,8.03548663493119e-06,3.81265104892234e-05,5.09498781691362,4.41877294150378,0.676214875409841,0.00059618767048381,0.000160158462101912,3.22461700967912,3.79545011009365,-0.570833100414529,0.000988364856096536,0.00468956079017448,0.0733310834695086,0.0196994908385352,1.73351743731473,1.52606285259303,1.06522856619588,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0548878358388698,0.0448148257175813,-0.0100730101212886,0.05,0.068,1.00000004165678,0.968436845565018
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGH",7,8.03548663493119e-06,3.52341775794401e-06,5.09498781691362,5.45303586115776,-0.358048044244133,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.000988364856096536,0.000433380384227113,0.0733310834695086,0.00468956079017448,1.73351743731473,1.83388406114409,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0741243322344854,0.11900203987761,0.0448777076431245,0.07,0.182,1.00000004420659,0.977536287322225
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGL",8,8.03548663493119e-06,1.49821174952854e-06,5.09498781691362,5.82442680135432,-0.729438984440692,0.00059618767048381,1.77726970010602e-05,3.22461700967912,4.75024666314563,-1.5256296534665,0.000988364856096536,0.00018428004519201,0.0733310834695086,0.0021860417311304,1.73351743731473,1.93249105817205,1.06522856619588,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.116601658016952,0.0564928935939762,-0.060108764422976,0.108,0.082,1.00000005060013,0.971530537617703
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGM",9,8.03548663493119e-06,8.03548663493119e-06,5.09498781691362,5.09498781691362,0,0.00059618767048381,1.49821174952854e-06,3.22461700967912,5.82442680135432,-2.59980979167519,0.000988364856096536,0.000988364856096536,0.0733310834695086,0.00018428004519201,1.73351743731473,1.73351743731473,1.06522856619588,1.93249105817205,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.120956833485637,0.0611395420412303,-0.0598172914444064,0.106,0.082,1.00000002028593,0.980488820772911
"cd4_0h_vs_24h","cd4_0h","cd4_24h","REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Vanilla-only significant",17,"PIGN",10,8.03548663493119e-06,6.1774102028672e-07,5.09498781691362,6.20919355894615,-1.11420574203253,0.00059618767048381,7.93371655046569e-05,3.22461700967912,4.1005233197136,-0.875906310034476,0.000988364856096536,7.59821454952666e-05,0.0733310834695086,0.0097584713570728,1.73351743731473,2.02960302707371,1.06522856619588,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.103873224466239,0.0639029017225163,-0.039970322743723,0.096,0.088,0.999999981457465,0.97760649941249
