"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"AK3",1,4.62765891657924e-09,1.69038678268048e-10,8.33463865838632,9.77201391173862,-1.4373752533523,0.0010996776918826,3.52341775794401e-06,2.95873458497628,5.45303586115776,-2.49430127618147,5.69202046739247e-07,2.07917574269699e-08,0.13526035610156,0.000433380384227113,2.49894648741163,2.77166173987722,0.932110226066041,1.83388406114409,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0876178590033138,0.144684003257864,0.05706614425455,0.09,0.176,1.00000007727795,0.920156671475892
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"CAD",2,4.62765891657924e-09,5.26903195422322e-11,8.33463865838632,10.2782691676256,-1.94363050923927,0.0010996776918826,6.1774102028672e-07,2.95873458497628,6.20919355894615,-3.25045897396987,5.69202046739247e-07,6.48090930369456e-09,0.13526035610156,7.59821454952666e-05,2.49894648741163,2.8615317674606,0.932110226066041,2.02960302707371,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.117841161034196,0.127026262460366,0.00918510142616981,0.142,0.184,0.999999928151964,0.879737314967732
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"CANT1",3,4.62765891657924e-09,5.25612166428945e-10,8.33463865838632,9.27933459064804,-0.944695932261725,0.0010996776918826,8.03548663493119e-06,2.95873458497628,5.09498781691362,-2.13625323193734,5.69202046739247e-07,6.46502964707602e-08,0.13526035610156,0.000988364856096536,2.49894648741163,2.68131114927169,0.932110226066041,1.73351743731473,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0624114945037958,0.0724215172850403,0.0100100227812445,0.068,0.108,0.99999998684245,0.904761694130721
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"CMPK1",4,4.62765891657924e-09,9.5725425402497e-08,8.33463865838632,7.01897269497718,1.31566596340914,0.0010996776918826,1.77726970010602e-05,2.95873458497628,4.75024666314563,-1.79151207816934,5.69202046739247e-07,1.17742273245071e-05,0.13526035610156,0.0021860417311304,2.49894648741163,2.2201503515613,0.932110226066041,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.482362277634373,0.532497001419175,0.0501347237848023,0.464,0.568,0.999999996719613,0.93438169639707
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"CMPK2",5,4.62765891657924e-09,1.58410791482518e-09,8.33463865838632,8.80021523611983,-0.465576577733508,0.0010996776918826,0.000160158462101912,2.95873458497628,3.79545011009365,-0.836715525117369,5.69202046739247e-07,1.94845273523497e-07,0.13526035610156,0.0196994908385352,2.49894648741163,2.59042662985857,0.932110226066041,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0110761068725284,0.0522210335537505,0.041144926681222,0.01,0.06,1.00000004821997,0.922625649685732
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"CTPS1",6,4.62765891657924e-09,1.69038678268048e-10,8.33463865838632,9.77201391173862,-1.4373752533523,0.0010996776918826,1.49821174952854e-06,2.95873458497628,5.82442680135432,-2.86569221637803,5.69202046739247e-07,2.07917574269699e-08,0.13526035610156,0.00018428004519201,2.49894648741163,2.77166173987722,0.932110226066041,1.93249105817205,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.296759899690817,0.318981285030246,0.0222213853394296,0.304,0.372,0.99999997135543,0.927947854837786
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"CTPS2",7,4.62765891657924e-09,4.62765891657924e-09,8.33463865838632,8.33463865838632,0,0.0010996776918826,0.000313688994347936,2.95873458497628,3.503500718082,-0.544766133105719,5.69202046739247e-07,5.69202046739247e-07,0.13526035610156,0.0385837463047961,2.49894648741163,2.49894648741163,0.932110226066041,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00207265318719741,0.009479343474331,0.00740669028713359,0.002,0.02,0.999999986350249,0.926302265290368
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"DCK",8,4.62765891657924e-09,3.59717677613814e-08,8.33463865838632,7.44403821911369,0.890600439272627,0.0010996776918826,3.59717677613814e-08,2.95873458497628,7.44403821911369,-4.48530363413741,5.69202046739247e-07,4.42452743464991e-06,0.13526035610156,4.42452743464991e-06,2.49894648741163,2.31389997788891,0.932110226066041,2.31389997788891,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.104769800164159,0.214084431544121,0.109314631379961,0.104,0.256,1.00000009829618,0.8777799374381
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"DCTD",9,4.62765891657924e-09,1.31042954439412e-08,8.33463865838632,7.8825863240523,0.452052334334022,0.0010996776918826,6.1774102028672e-07,2.95873458497628,6.20919355894615,-3.25045897396987,5.69202046739247e-07,1.61182833960477e-06,0.13526035610156,7.59821454952666e-05,2.49894648741163,2.40679895558663,0.932110226066041,2.02960302707371,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.158322576043497,0.19033460558604,0.0320120295425433,0.182,0.282,0.999999994772088,0.917708518276925
"cd4_12h_vs_24h","cd4_12h","cd4_24h","KEGG_PYRIMIDINE_METABOLISM","Vanilla-only significant",90,"DHODH",10,4.62765891657924e-09,5.25612166428945e-10,8.33463865838632,9.27933459064804,-0.944695932261725,0.0010996776918826,0.000160158462101912,2.95873458497628,3.79545011009365,-0.836715525117369,5.69202046739247e-07,6.46502964707602e-08,0.13526035610156,0.0196994908385352,2.49894648741163,2.68131114927169,0.932110226066041,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0868531194416952,0.121036644269085,0.0341835248273899,0.102,0.184,1.0000000712056,0.89986838388632
