"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"ABHD3",1,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.000313688994347936,0.00946978291842922,3.503500718082,2.02365997647813,1.47984074160387,0.13526035610156,0.242171576205549,0.0385837463047961,1,0.932110226066041,0.784778205325666,1.18894726823464,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0434033280793712,0.0567829503935671,0.0133796223141959,0.046,0.076,1.00000004234792,0.905142825402852
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"ABHD4",2,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.13526035610156,0.13526035610156,0.0385837463047961,0.0196994908385352,0.932110226066041,0.932110226066041,1.18894726823464,1.30596515981639,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0.00086949541664989,0.00086949541664989,0,0.002,0.999999969970146,0.92891468036128
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"ACP6",3,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.13526035610156,0.13526035610156,0.0385837463047961,0.0097584713570728,0.932110226066041,0.932110226066041,1.18894726823464,1.417962696362,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0388211280547572,0.0291634724547011,-0.0096576556000561,0.04,0.044,0.999999994311894,0.935442792262756
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"AGK",4,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.000313688994347936,0.00577645522630862,3.503500718082,2.23833858855416,1.26516212952784,0.13526035610156,0.242171576205549,0.0385837463047961,0.71050399283596,0.932110226066041,0.784778205325666,1.18894726823464,0.385270654364906,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0769541028629438,0.082851444166358,0.00589734130341424,0.094,0.132,0.999999994312877,0.935038883849469
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"AGPAT1",5,0.0010996776918826,0.0150822934297104,2.95873458497628,1.82153261416016,1.13720197081613,0.000313688994347936,0.00196887460329715,3.503500718082,2.70578194299357,0.797718775088431,0.13526035610156,1,0.0385837463047961,0.242171576205549,0.932110226066041,0,1.18894726823464,0.784778205325666,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0466967591117768,0.044570405123528,-0.00212635398824883,0.052,0.074,1.00000008413741,0.94914411501198
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"AGPAT2",6,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.000313688994347936,1.77726970010602e-05,3.503500718082,4.75024666314563,-1.24674594506362,0.13526035610156,0.420945227971492,0.0385837463047961,0.0021860417311304,0.932110226066041,0.613004412282997,1.18894726823464,1.63105534906276,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0210004616858526,0.0754124015235884,0.0544119398377358,0.026,0.118,0.999999991437322,0.946337576520613
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"AGPAT3",7,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.13526035610156,0.242171576205549,0.0385837463047961,0.00468956079017448,0.932110226066041,0.784778205325666,1.18894726823464,1.52606285259303,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.173380301840829,0.177989338291535,0.00460903645070507,0.192,0.256,0.999999976010759,0.940501069121449
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"AGPAT4",8,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.000313688994347936,0.00059618767048381,3.503500718082,3.22461700967912,0.278883708402879,0.13526035610156,0.13526035610156,0.0385837463047961,0.0733310834695086,0.932110226066041,0.932110226066041,1.18894726823464,1.06522856619588,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.00490661166924034,0.00614099622371396,0.00123438455447362,0.006,0.008,0.999999950124285,0.938651001577847
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"AGPAT5",9,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.000313688994347936,0.00059618767048381,3.503500718082,3.22461700967912,0.278883708402879,0.13526035610156,0.242171576205549,0.0385837463047961,0.0733310834695086,0.932110226066041,0.784778205325666,1.18894726823464,1.06522856619588,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.201732394233047,0.197315270994622,-0.00441712323842469,0.234,0.266,0.99999995329995,0.943549725289899
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CDIPT",10,0.0010996776918826,8.03548663493119e-06,2.95873458497628,5.09498781691362,-2.13625323193734,0.000313688994347936,0.000313688994347936,3.503500718082,3.503500718082,0,0.13526035610156,0.000988364856096536,0.0385837463047961,0.0385837463047961,0.932110226066041,1.73351743731473,1.18894726823464,1.18894726823464,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.147487088050365,0.186001358740104,0.0385142706897389,0.15,0.24,0.999999970741191,0.921838065339875
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CDS1",11,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.13526035610156,0.242171576205549,0.0385837463047961,0.13526035610156,0.932110226066041,0.784778205325666,1.18894726823464,0.932110226066041,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0031377512523596,0.00484702254004081,0.00170927128768121,0.004,0.006,0.999999966639714,0.878022899948945
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CDS2",12,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.13526035610156,0.0733310834695086,0.0385837463047961,0.0097584713570728,0.932110226066041,1.06522856619588,1.18894726823464,1.417962696362,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0937024452176249,0.101554240401043,0.00785179518341821,0.092,0.142,1.00000001388272,0.936478422763731
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CEPT1",13,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.000313688994347936,7.93371655046569e-05,3.503500718082,4.1005233197136,-0.597022601631597,0.13526035610156,0.242171576205549,0.0385837463047961,0.0097584713570728,0.932110226066041,0.784778205325666,1.18894726823464,1.417962696362,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0788588989613073,0.104927048018608,0.0260681490573011,0.086,0.138,0.999999976819015,0.929557568489223
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CHKA",14,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.000313688994347936,3.81265104892234e-05,3.503500718082,4.41877294150378,-0.915272223421779,0.13526035610156,0.13526035610156,0.0385837463047961,0.00468956079017448,0.932110226066041,0.932110226066041,1.18894726823464,1.52606285259303,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0537773738974194,0.0552621839547476,0.00148481005732817,0.064,0.084,0.999999954110358,0.928140084383275
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CHKB",15,0.0010996776918826,0.00059618767048381,2.95873458497628,3.22461700967912,-0.26588242470284,0.000313688994347936,0.00577645522630862,3.503500718082,2.23833858855416,1.26516212952784,0.13526035610156,0.0733310834695086,0.0385837463047961,0.71050399283596,0.932110226066041,1.06522856619588,1.18894726823464,0.385270654364906,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0171099466013509,0.0302955303731029,0.013185583771752,0.02,0.05,1.00000002745484,0.905972922839305
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","GenePT-only significant",96,"CHPT1",16,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.000313688994347936,0.00577645522630862,3.503500718082,2.23833858855416,1.26516212952784,0.13526035610156,0.13526035610156,0.0385837463047961,0.71050399283596,0.932110226066041,0.932110226066041,1.18894726823464,0.385270654364906,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0562946265285167,0.125589639351093,0.0692950128225762,0.066,0.174,0.999999915134598,0.947917223983193
