"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ADPRM",1,3.81265104892234e-05,0.00196887460329715,4.41877294150378,2.70578194299357,1.71299099851021,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.00468956079017448,0.242171576205549,0.0733310834695086,0.00468956079017448,1.52606285259303,0.784778205325666,1.06522856619588,1.52606285259303,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.102437049287725,0.0550437720562482,-0.0473932772314771,0.098,0.066,1.00000000335564,0.918537285603371
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"DNPH1",2,3.81265104892234e-05,0.00196887460329715,4.41877294150378,2.70578194299357,1.71299099851021,0.00059618767048381,0.00577645522630862,3.22461700967912,2.23833858855416,0.986278421124963,0.00468956079017448,0.242171576205549,0.0733310834695086,0.71050399283596,1.52606285259303,0.784778205325666,1.06522856619588,0.385270654364906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.326236895571881,0.414872478651589,0.0886355830797081,0.29,0.446,1.00000007719856,0.925807014565163
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"DPYD",3,3.81265104892234e-05,0.000313688994347936,4.41877294150378,3.503500718082,0.915272223421779,0.00059618767048381,1.77726970010602e-05,3.22461700967912,4.75024666314563,-1.5256296534665,0.00468956079017448,0.0385837463047961,0.0733310834695086,0.0021860417311304,1.52606285259303,1.18894726823464,1.06522856619588,1.63105534906276,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0702952815903145,0.0415497166724963,-0.0287455649178183,0.054,0.038,0.999999973904791,0.937138968248585
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ENTPD1",4,3.81265104892234e-05,7.93371655046569e-05,4.41877294150378,4.1005233197136,0.318249621790182,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.00468956079017448,0.0097584713570728,0.0733310834695086,0.00468956079017448,1.52606285259303,1.417962696362,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0.00305866862223721,0.00305866862223721,0,0.004,1.00000002418489,0.94465478595087
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ENTPD3",5,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.00468956079017448,0.00468956079017448,0.0733310834695086,0.0733310834695086,1.52606285259303,1.52606285259303,1.06522856619588,1.06522856619588,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0.999999979360229,0.948975784055955
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ENTPD4",6,3.81265104892234e-05,0.00059618767048381,4.41877294150378,3.22461700967912,1.19415593182466,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,0.00468956079017448,0.0733310834695086,0.0733310834695086,0.0385837463047961,1.52606285259303,1.06522856619588,1.06522856619588,1.18894726823464,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.123801546115761,0.0656281886201081,-0.0581733574956525,0.128,0.088,1.00000002813644,0.944504791704113
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ENTPD5",7,3.81265104892234e-05,1.77726970010602e-05,4.41877294150378,4.75024666314563,-0.331473721641845,0.00059618767048381,3.81265104892234e-05,3.22461700967912,4.41877294150378,-1.19415593182466,0.00468956079017448,0.0021860417311304,0.0733310834695086,0.00468956079017448,1.52606285259303,1.63105534906276,1.06522856619588,1.52606285259303,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0114732652773327,0.0291158181836582,0.0176425529063255,0.014,0.038,0.999999988813023,0.951973986273153
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ENTPD6",8,3.81265104892234e-05,1.49821174952854e-06,4.41877294150378,5.82442680135432,-1.40565385985053,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,0.00468956079017448,0.00018428004519201,0.0733310834695086,0.242171576205549,1.52606285259303,1.93249105817205,1.06522856619588,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0465037496628507,0.0367106727366867,-0.00979307692616391,0.042,0.056,1.00000005852477,0.9407001102283
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ENTPD7",9,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,0.00468956079017448,0.00468956079017448,0.0733310834695086,0.0385837463047961,1.52606285259303,1.52606285259303,1.06522856619588,1.18894726823464,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.00830395739738889,0.00813810244045358,-0.000165854956935311,0.012,0.01,1.00000000429171,0.965517300271365
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_NUCLEOBASE_CATABOLISM","Vanilla-only significant",27,"ITPA",10,3.81265104892234e-05,0.00059618767048381,4.41877294150378,3.22461700967912,1.19415593182466,0.00059618767048381,0.00577645522630862,3.22461700967912,2.23833858855416,0.986278421124963,0.00468956079017448,0.0733310834695086,0.0733310834695086,0.71050399283596,1.52606285259303,1.06522856619588,1.06522856619588,0.385270654364906,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.244343406855611,0.307135708048724,0.0627923011931128,0.27,0.378,0.999999980345074,0.94224273013162
