"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"BSG",1,0.00059618767048381,2.46964030878651e-07,3.22461700967912,6.60736629503362,-3.38274928535449,0.000313688994347936,0.0150822934297104,3.503500718082,1.82153261416016,1.68196810392185,0.0733310834695086,3.03765757980741e-05,0.0385837463047961,1,1.06522856619588,2.12543199928726,1.18894726823464,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.405721744031982,0.530042315693988,0.124320571662006,0.398,0.568,0.99999998006518,0.866733947473568
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"DLAT",2,0.00059618767048381,0.000160158462101912,3.22461700967912,3.79545011009365,-0.570833100414529,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.0733310834695086,0.0196994908385352,0.0385837463047961,0.0196994908385352,1.06522856619588,1.30596515981639,1.18894726823464,1.30596515981639,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.105740430356415,0.11390239237433,0.00816196201791458,0.134,0.176,1.00000001767651,0.945916104663557
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"DLD",3,0.00059618767048381,1.49821174952854e-06,3.22461700967912,5.82442680135432,-2.59980979167519,0.000313688994347936,1.77726970010602e-05,3.503500718082,4.75024666314563,-1.24674594506362,0.0733310834695086,0.00018428004519201,0.0385837463047961,0.0021860417311304,1.06522856619588,1.93249105817205,1.18894726823464,1.63105534906276,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.196114061971756,0.332699241470663,0.136585179498907,0.22,0.42,1.00000000092247,0.942375584605618
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"GLO1",4,0.00059618767048381,1.77726970010602e-05,3.22461700967912,4.75024666314563,-1.5256296534665,0.000313688994347936,0.000160158462101912,3.503500718082,3.79545011009365,-0.29194939201165,0.0733310834695086,0.0021860417311304,0.0385837463047961,0.0196994908385352,1.06522856619588,1.63105534906276,1.18894726823464,1.30596515981639,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.232966990433184,0.372393560365663,0.139426569932479,0.246,0.404,0.999999996407154,0.912037663048416
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"GSTZ1",5,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.000313688994347936,0.0233436169134307,3.503500718082,1.63183185249604,1.87166886558596,0.0733310834695086,0.13526035610156,0.0385837463047961,1,1.06522856619588,0.932110226066041,1.18894726823464,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0363031273930549,0.0813751239749855,0.0450719965819306,0.044,0.134,0.999999982826961,0.918921717714523
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"HAGH",6,0.00059618767048381,0.00946978291842922,3.22461700967912,2.02365997647813,1.20095703320099,0.000313688994347936,3.52341775794401e-06,3.503500718082,5.45303586115776,-1.94953514307575,0.0733310834695086,1,0.0385837463047961,0.000433380384227113,1.06522856619588,0,1.18894726823464,1.83388406114409,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.272477935016834,0.2615551303298,-0.010922804687034,0.258,0.322,1.00000007036887,0.918172277415619
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"LDHA",7,0.00059618767048381,0.0233436169134307,3.22461700967912,1.63183185249604,1.59278515718308,0.000313688994347936,0.0034223189265975,3.503500718082,2.46567952091782,1.03782119716418,0.0733310834695086,1,0.0385837463047961,0.420945227971492,1.06522856619588,0,1.18894726823464,0.613004412282997,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.66668929869917,2.07050666122272,0.40381736252355,0.78,0.886,1.00000002976541,0.947786890599671
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"LDHAL6A",8,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0,0.000313688994347936,0.0010996776918826,3.503500718082,2.95873458497628,0.544766133105719,0.0733310834695086,0.0733310834695086,0.0385837463047961,0.13526035610156,1.06522856619588,1.06522856619588,1.18894726823464,0.932110226066041,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0032500209971775,0,-0.0032500209971775,0.004,0,1.00000005520608,0.927326405161303
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"LDHB",9,0.00059618767048381,8.03548663493119e-06,3.22461700967912,5.09498781691362,-1.8703708072345,0.000313688994347936,0.0513887607461245,3.503500718082,1.28913185531754,2.21436886276447,0.0733310834695086,0.000988364856096536,0.0385837463047961,1,1.06522856619588,1.73351743731473,1.18894726823464,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2.39689669619515,2.65143851452642,0.254541818331271,0.984,0.982,0.999999953368703,0.943274626829919
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PYRUVATE_METABOLISM","GenePT-only significant",26,"LDHC",10,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,0.000313688994347936,0.00577645522630862,3.503500718082,2.23833858855416,1.26516212952784,0.0733310834695086,0.13526035610156,0.0385837463047961,0.71050399283596,1.06522856619588,0.932110226066041,1.18894726823464,0.385270654364906,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0138911517511779,0.0301651278052652,0.0162739760540873,0.016,0.048,1.0000000489577,0.928386594798453
