"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"ALG5",1,0.00196887460329715,0.00196887460329715,2.70578194299357,2.70578194299357,0,7.93371655046569e-05,0.00059618767048381,4.1005233197136,3.22461700967912,0.875906310034476,0.242171576205549,0.242171576205549,0.0097584713570728,0.0733310834695086,0.784778205325666,0.784778205325666,1.417962696362,1.06522856619588,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.33981557200465,0.246018441538542,-0.093797130466108,0.35,0.33,0.999999995357044,0.933759197858941
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"AMDHD2",2,0.00196887460329715,0.0010996776918826,2.70578194299357,2.95873458497628,-0.252952641982712,7.93371655046569e-05,7.93371655046569e-05,4.1005233197136,4.1005233197136,0,0.242171576205549,0.13526035610156,0.0097584713570728,0.0097584713570728,0.784778205325666,0.932110226066041,1.417962696362,1.417962696362,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0353622413818985,0.0626109688705107,0.0272487274886123,0.036,0.098,0.999999999323871,0.921182343337458
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"CMAS",3,0.00196887460329715,0.00196887460329715,2.70578194299357,2.70578194299357,0,7.93371655046569e-05,0.000313688994347936,4.1005233197136,3.503500718082,0.597022601631597,0.242171576205549,0.242171576205549,0.0097584713570728,0.0385837463047961,0.784778205325666,0.784778205325666,1.417962696362,1.18894726823464,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.132414377225537,0.222842505007347,0.0904281277818099,0.152,0.31,1.00000002300119,0.929144911454737
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"CTSA",4,0.00196887460329715,0.0731481276708723,2.70578194299357,1.13579678577401,1.56998515721956,7.93371655046569e-05,0.00196887460329715,4.1005233197136,2.70578194299357,1.39474137672003,0.242171576205549,1,0.0097584713570728,0.242171576205549,0.784778205325666,0,1.417962696362,0.784778205325666,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.112998635863602,0.272541631859728,0.159542995996126,0.122,0.342,0.999999928922229,0.923604652965515
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"DHDDS",5,0.00196887460329715,0.00059618767048381,2.70578194299357,3.22461700967912,-0.518835066685553,7.93371655046569e-05,0.00196887460329715,4.1005233197136,2.70578194299357,1.39474137672003,0.242171576205549,0.0733310834695086,0.0097584713570728,0.242171576205549,0.784778205325666,1.06522856619588,1.417962696362,0.784778205325666,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.109989741682211,0.115417562628655,0.0054278209464439,0.124,0.162,0.999999955448324,0.918673089829672
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"DOLK",6,0.00196887460329715,0.0034223189265975,2.70578194299357,2.46567952091782,0.240102422075751,7.93371655046569e-05,3.81265104892234e-05,4.1005233197136,4.41877294150378,-0.318249621790182,0.242171576205549,0.420945227971492,0.0097584713570728,0.00468956079017448,0.784778205325666,0.613004412282997,1.417962696362,1.52606285259303,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0302668763428528,0.0215488471186709,-0.00871802922418196,0.04,0.04,0.999999919646635,0.917516292058103
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"DOLPP1",7,0.00196887460329715,0.0010996776918826,2.70578194299357,2.95873458497628,-0.252952641982712,7.93371655046569e-05,1.77726970010602e-05,4.1005233197136,4.75024666314563,-0.649723343432027,0.242171576205549,0.13526035610156,0.0097584713570728,0.0021860417311304,0.784778205325666,0.932110226066041,1.417962696362,1.63105534906276,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.0233656690877082,0.0360952588191835,0.0127295897314753,0.028,0.062,0.999999997862122,0.918037038382637
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"DPM1",8,0.00196887460329715,0.0351222601892017,2.70578194299357,1.45441754412943,1.25136439886414,7.93371655046569e-05,0.00059618767048381,4.1005233197136,3.22461700967912,0.875906310034476,0.242171576205549,1,0.0097584713570728,0.0733310834695086,0.784778205325666,0,1.417962696362,1.06522856619588,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.313222438954638,0.292062690986322,-0.0211597479683158,0.32,0.382,0.999999991317894,0.929375747803723
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"DPM2",9,0.00196887460329715,0.00059618767048381,2.70578194299357,3.22461700967912,-0.518835066685553,7.93371655046569e-05,0.000313688994347936,4.1005233197136,3.503500718082,0.597022601631597,0.242171576205549,0.0733310834695086,0.0097584713570728,0.0385837463047961,0.784778205325666,1.06522856619588,1.417962696362,1.18894726823464,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.272252355599157,0.318773510738531,0.0465211551393737,0.298,0.386,1.00000002151964,0.920645150208065
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","GenePT-only significant",52,"DPM3",10,0.00196887460329715,3.81265104892234e-05,2.70578194299357,4.41877294150378,-1.71299099851021,7.93371655046569e-05,0.00577645522630862,4.1005233197136,2.23833858855416,1.86218473115944,0.242171576205549,0.00468956079017448,0.0097584713570728,0.71050399283596,0.784778205325666,1.52606285259303,1.417962696362,0.385270654364906,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.122950034049159,0.172929954980461,0.0499799209313024,0.13,0.238,0.999999951801223,0.925608460353281
