"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"ABHD5",1,3.81265104892234e-05,0.000160158462101912,4.41877294150378,3.79545011009365,0.623322831410129,0.0010996776918826,7.93371655046569e-05,2.95873458497628,4.1005233197136,-1.14178873473732,0.00468956079017448,0.0196994908385352,0.13526035610156,0.0097584713570728,1.52606285259303,1.30596515981639,0.932110226066041,1.417962696362,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0532068178402826,0.119339982154063,0.0661331643137807,0.068,0.168,1.00000004816956,0.92359790230377
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"CAV1",2,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0,0.0010996776918826,0.00196887460329715,2.95873458497628,2.70578194299357,0.252952641982712,0.00468956079017448,0.00468956079017448,0.13526035610156,0.242171576205549,1.52606285259303,1.52606285259303,0.932110226066041,0.784778205325666,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00342875433384171,0.0016664365078419,-0.0017623178259998,0.002,0.004,0.999999973794541,0.916758653958496
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"DGAT1",3,3.81265104892234e-05,0.00577645522630862,4.41877294150378,2.23833858855416,2.18043435294962,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.00468956079017448,0.71050399283596,0.13526035610156,0.13526035610156,1.52606285259303,0.385270654364906,0.932110226066041,0.932110226066041,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0708659225619981,0.11633336380692,0.0454674412449215,0.082,0.176,0.999999998735447,0.940061151619033
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"DGAT2",4,3.81265104892234e-05,0.000160158462101912,4.41877294150378,3.79545011009365,0.623322831410129,0.0010996776918826,0.000160158462101912,2.95873458497628,3.79545011009365,-0.836715525117369,0.00468956079017448,0.0196994908385352,0.13526035610156,0.0196994908385352,1.52606285259303,1.30596515981639,0.932110226066041,1.30596515981639,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.0166852921101029,0.0121890451798999,-0.00449624693020303,0.024,0.022,1.00000000231825,0.931767652477007
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"FABP3",5,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0,0.0010996776918826,0.0010996776918826,2.95873458497628,2.95873458497628,0,0.00468956079017448,0.00468956079017448,0.13526035610156,0.13526035610156,1.52606285259303,1.52606285259303,0.932110226066041,0.932110226066041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1.00000007714104,0.923587933392754
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"FABP5",6,3.81265104892234e-05,0.000313688994347936,4.41877294150378,3.503500718082,0.915272223421779,0.0010996776918826,0.0351222601892017,2.95873458497628,1.45441754412943,1.50431704084686,0.00468956079017448,0.0385837463047961,0.13526035610156,1,1.52606285259303,1.18894726823464,0.932110226066041,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.80292020201246,1.68540254181653,-0.117517660195924,0.664,0.756,0.999999988198394,0.907905842642323
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"GK",7,3.81265104892234e-05,0.00196887460329715,4.41877294150378,2.70578194299357,1.71299099851021,0.0010996776918826,3.81265104892234e-05,2.95873458497628,4.41877294150378,-1.4600383565275,0.00468956079017448,0.242171576205549,0.13526035610156,0.00468956079017448,1.52606285259303,0.784778205325666,0.932110226066041,1.52606285259303,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0367071779972722,0.0855902803708481,0.0488831023735759,0.04,0.112,0.99999998299271,0.919114828006238
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"GPAM",8,3.81265104892234e-05,0.000313688994347936,4.41877294150378,3.503500718082,0.915272223421779,0.0010996776918826,0.0233436169134307,2.95873458497628,1.63183185249604,1.32690273248024,0.00468956079017448,0.0385837463047961,0.13526035610156,1,1.52606285259303,1.18894726823464,0.932110226066041,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0282706406615141,0.0290938761658906,0.000823235504376491,0.03,0.046,1.00000001015669,0.937415524839049
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"GPAT2",9,3.81265104892234e-05,7.93371655046569e-05,4.41877294150378,4.1005233197136,0.318249621790182,0.0010996776918826,0.00946978291842922,2.95873458497628,2.02365997647813,0.935074608498154,0.00468956079017448,0.0097584713570728,0.13526035610156,1,1.52606285259303,1.417962696362,0.932110226066041,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0133517699408113,0.03735359680682,0.0240018268660087,0.018,0.056,0.999999967119168,0.93517712360038
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_TRIGLYCERIDE_METABOLISM","Vanilla-only significant",23,"GPD2",10,3.81265104892234e-05,0.000160158462101912,4.41877294150378,3.79545011009365,0.623322831410129,0.0010996776918826,0.0034223189265975,2.95873458497628,2.46567952091782,0.493055064058463,0.00468956079017448,0.0196994908385352,0.13526035610156,0.420945227971492,1.52606285259303,1.30596515981639,0.932110226066041,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0208024724097855,0.0291498198639143,0.00834734745412877,0.026,0.048,1.00000008189641,0.932168376183089
