comparison,pathway,detection_state,gene,vanilla_delta_score,genept_delta_score,vanilla_supporting_rank,genept_supporting_rank,vanilla_absolute_rank,genept_absolute_rank,vanilla_absolute_percentile,genept_absolute_percentile,absolute_percentile_difference_genept_minus_vanilla
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,AMT,0.26588242470284,0.0,8.5,13.5,12.5,15.5,0.28125,0.09375,-0.1875
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,ASNS,2.97446968813527,4.1099213546529,2.0,2.0,2.0,2.0,0.9375,0.9375,0.0
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA13,0.518835066685553,0.318249621790182,6.0,9.0,7.0,11.0,0.625,0.375,-0.25
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA2,0.518835066685553,0.0,6.0,13.5,7.0,15.5,0.625,0.09375,-0.53125
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA5A,0.0,1.19415593182466,11.5,5.0,15.5,5.0,0.09375,0.75,0.65625
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA5B,1.20095703320099,2.18043435294962,3.0,3.0,3.0,3.0,0.875,0.875,0.0
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA6,-0.278883708402879,-0.676214875409841,15.0,16.5,10.0,7.5,0.4375,0.59375,0.15625
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA7,0.0,0.0,11.5,13.5,15.5,15.5,0.09375,0.09375,0.0
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CA9,0.0,0.0,11.5,13.5,15.5,15.5,0.09375,0.09375,0.0
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CPS1,-0.278883708402879,0.318249621790182,15.0,9.0,10.0,11.0,0.4375,0.375,-0.0625
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,CTH,-0.278883708402879,-0.676214875409841,15.0,16.5,10.0,7.5,0.4375,0.59375,0.15625
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,GLS,3.22406259032914,4.41591679719862,1.0,1.0,1.0,1.0,1.0,1.0,0.0
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,GLS2,0.758937488761304,0.915272223421779,4.0,6.0,4.0,6.0,0.8125,0.6875,-0.125
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,GLUD1,0.0,1.95309342058596,11.5,4.0,15.5,4.0,0.09375,0.8125,0.71875
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,GLUD2,0.26588242470284,0.318249621790182,8.5,9.0,12.5,11.0,0.28125,0.375,0.09375
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,GLUL,-0.570833100414529,0.318249621790182,17.0,9.0,5.0,11.0,0.75,0.375,-0.375
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,HAL,0.518835066685553,0.318249621790182,6.0,9.0,7.0,11.0,0.625,0.375,-0.25
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,ALDOA,-0.729438984440692,-0.797718775088431,14.0,14.0,11.0,10.0,0.5238095238095238,0.5714285714285714,0.04761904761904756
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,ALDOC,0.0,0.240102422075751,7.0,3.5,20.0,19.5,0.09523809523809523,0.11904761904761904,0.023809523809523808
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,DERA,-1.11420574203253,0.467443354439411,18.0,2.0,7.0,13.0,0.7142857142857143,0.42857142857142855,-0.28571428571428575
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,FBP1,0.0,-1.08966816710008,7.0,16.5,20.0,6.5,0.09523809523809523,0.7380952380952381,0.6428571428571429
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,G6PD,-0.729438984440692,-0.252952641982712,14.0,9.0,11.0,16.0,0.5238095238095238,0.2857142857142857,-0.23809523809523814
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,GPI,0.344741153767997,-0.252952641982712,3.5,9.0,16.5,16.0,0.2619047619047619,0.2857142857142857,0.02380952380952378
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,H6PD,-1.92398487806355,-0.252952641982712,20.0,9.0,3.0,16.0,0.9047619047619048,0.2857142857142857,-0.6190476190476191
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PFKL,-2.78759850713867,-0.518835066685553,22.0,12.0,1.0,12.0,1.0,0.47619047619047616,-0.5238095238095238
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PFKM,-0.729438984440692,0.884249328833414,14.0,1.0,11.0,8.0,0.5238095238095238,0.6666666666666666,0.1428571428571428
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PFKP,1.59148709883162,0.240102422075751,1.5,3.5,4.5,19.5,0.8333333333333334,0.11904761904761904,-0.7142857142857143
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PGD,-0.729438984440692,-0.797718775088431,14.0,14.0,11.0,10.0,0.5238095238095238,0.5714285714285714,0.04761904761904756
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PGLS,-2.34905040220007,-2.38920587392005,21.0,21.5,2.0,1.5,0.9523809523809523,0.9761904761904762,0.023809523809523836
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PGM1,-1.11420574203253,-1.39474137672003,18.0,18.5,7.0,4.5,0.7142857142857143,0.8333333333333334,0.11904761904761907
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PGM2,-0.358048044244133,0.0,10.5,5.5,14.5,21.5,0.35714285714285715,0.023809523809523808,-0.33333333333333337
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PRPS1,0.0,-2.38920587392005,7.0,21.5,20.0,1.5,0.09523809523809523,0.9761904761904762,0.8809523809523809
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PRPS2,-1.11420574203253,-1.71299099851021,18.0,20.0,7.0,3.0,0.7142857142857143,0.9047619047619048,0.19047619047619047
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,RBKS,-0.358048044244133,-0.252952641982712,10.5,9.0,14.5,16.0,0.35714285714285715,0.2857142857142857,-0.07142857142857145
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,RPE,0.0,0.0,7.0,5.5,20.0,21.5,0.09523809523809523,0.023809523809523808,-0.07142857142857142
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,RPIA,0.0,-1.08966816710008,7.0,16.5,20.0,6.5,0.09523809523809523,0.7380952380952381,0.6428571428571429
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,TALDO1,0.344741153767997,-0.252952641982712,3.5,9.0,16.5,16.0,0.2619047619047619,0.2857142857142857,0.02380952380952378
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,TKT,1.59148709883162,-1.39474137672003,1.5,18.5,4.5,4.5,0.8333333333333334,0.8333333333333334,0.0
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,TKTL1,-0.729438984440692,-0.797718775088431,14.0,14.0,11.0,10.0,0.5238095238095238,0.5714285714285714,0.04761904761904756
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,ALAD,1.32977058917583,0.0,4.5,13.5,5.5,16.5,0.7631578947368421,0.18421052631578946,-0.5789473684210527
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,ALAS1,-0.954796553051974,0.0,19.0,13.5,8.0,16.5,0.631578947368421,0.18421052631578946,-0.4473684210526315
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,ALAS2,0.0,0.0,14.5,13.5,19.5,16.5,0.02631578947368421,0.18421052631578946,0.15789473684210525
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,BLVRA,0.570833100414529,0.758937488761304,8.0,4.5,10.0,5.5,0.5263157894736842,0.7631578947368421,0.23684210526315796
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,BLVRB,0.29194939201165,1.20095703320099,11.5,2.5,16.5,3.5,0.18421052631578946,0.868421052631579,0.6842105263157895
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,COX10,1.32977058917583,0.26588242470284,4.5,8.5,5.5,11.5,0.7631578947368421,0.4473684210526316,-0.31578947368421056
