comparison,pathway,detection_state,n_genes,vanilla_top_supporting_gene,genept_top_supporting_gene,vanilla_top_absolute_gene,genept_top_absolute_gene,signed_delta_spearman,absolute_rank_spearman,top5_overlap,top10_overlap,top20pct_overlap,n_vanilla_detection_flip_genes,n_genept_detection_flip_genes,largest_genept_vs_vanilla_rank_difference_gene,largest_genept_vs_vanilla_percentile_difference,largest_vanilla_vs_genept_rank_difference_gene,largest_vanilla_vs_genept_percentile_difference
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,GLS,GLS,GLS,GLS,0.6024193537990605,0.4797862429522423,3,6,3,4,5,GLUD1,0.71875,CA2,-0.53125
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,22,PFKP,PFKM,PFKL,PGLS,0.15666685592044163,0.20860062031395818,2,4,2,0,10,PRPS1,0.8809523809523809,PFKP,-0.7142857142857143
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,20,FTH1,FTH1,FTH1,FTH1,0.33316085539077794,0.4747640524872125,1,6,1,9,3,BLVRB,0.6842105263157895,ALAD,-0.5789473684210527
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,21,HSD17B10,HSD17B10,DLD,DLD,0.22703258434190185,0.4695972377726965,2,6,2,6,4,HIBADH,0.75,MCCC1,-0.575
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,18,DPM1,PMM2,DHDDS,PMM2,0.006263061665239625,0.01252612333047925,1,6,1,9,7,DOLK,0.6764705882352942,DHDDS,-0.9411764705882353
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,36,SUMF2,SUMF2,SUMF2,ARSK,0.034438952039229025,0.6549960687841939,2,4,4,19,18,GALC,0.44285714285714284,HEXA,-0.6285714285714286
cd4_0h_vs_12h,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,Vanilla-only significant,23,NDUFAB1,NDUFAB1,NDUFAB1,NDUFAB1,0.3419252328639822,0.5320264141707792,3,6,3,6,4,LIPT2,0.6136363636363635,AMT,-0.6363636363636364
cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Vanilla-only significant,42,INPP4A,ITPK1,INPP4A,INPP4B,-0.0543735027986374,0.31194524781893035,1,5,4,1,17,OCRL,0.7195121951219512,PTEN,-0.8292682926829269
cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,Vanilla-only significant,21,FDX1,HSD11B2,FDX1,HSD17B11,-0.0449400898535851,-0.023635158367441057,1,4,1,2,5,HSD11B2,0.6499999999999999,TSPO,-0.85
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,99,GLIPR1,NR1H2,MED13,ACADM,-0.20237571069295604,0.3385107948871891,0,1,4,1,50,ACADM,0.8928571428571429,TGS1,-0.7244897959183674
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,72,ORMDL1,ASAH1,SPTLC1,ORMDL2,-0.017568513893744267,0.34482156030238276,1,4,5,0,2,OSBP,0.7605633802816901,ORMDL1,-0.8450704225352113
cd4_0h_vs_24h,KEGG_ETHER_LIPID_METABOLISM,Vanilla-only significant,19,PAFAH1B3,PAFAH1B3,PAFAH1B3,PAFAH1B3,0.40516558313928736,0.2940499382649678,2,8,1,2,11,PLA2G4B,0.5833333333333333,PAFAH1B1,-0.861111111111111
cd4_0h_vs_24h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,Vanilla-only significant,18,B3GAT3,B3GAT3,B3GAT3,B3GAT3,0.5115194463309826,0.39738307038404896,3,6,2,14,1,DSE,0.6176470588235294,CSGALNACT1,-0.7058823529411765
cd4_0h_vs_24h,KEGG_RETINOL_METABOLISM,Vanilla-only significant,17,ADH5,ADH5,ADH5,ADH5,0.262351538620387,0.29143146820240584,2,7,1,10,0,RDH10,0.59375,RDH5,-0.625
cd4_0h_vs_24h,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,Vanilla-only significant,23,SCP2,SCP2,SCP2,SCP2,0.4798087278771023,-0.03962649672630462,1,2,1,8,9,RXRA,0.75,SLC27A2,-0.8181818181818181
cd4_0h_vs_24h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Vanilla-only significant,31,FASN,ELOVL4,FASN,HACD3,0.0251831892774506,0.3290744481213082,1,6,3,0,14,SLC25A1,0.6833333333333333,FASN,-0.95
cd4_0h_vs_24h,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,Vanilla-only significant,25,HEXA,ST3GAL2,HEXA,ST3GAL2,0.12142290307239612,-0.08167727195213553,1,4,1,10,6,GLB1L,0.8125,HEXA,-0.9375
cd4_0h_vs_24h,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Vanilla-only significant,26,VKORC1,VKORC1,VKORC1,VKORC1,0.5976321744536582,0.728043926300731,5,5,5,6,5,GPC1,0.58,LDLR,-0.31999999999999995
cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,Vanilla-only significant,22,SCP2,SCP2,SCP2,SCP2,0.5290878284664629,0.5398672069751174,2,6,2,13,3,OSBPL7,0.5714285714285714,AKR1C3,-0.5238095238095238
