comparison,pathway,detection_state,n_paired_genes,vanilla_raw_p,vanilla_adjusted_p,vanilla_qval,genept_raw_p,genept_adjusted_p,genept_qval
cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,0.00059618767048381,0.0733310834695086,1.06522856619588,3.81265104892234e-05,0.00468956079017448,1.52606285259303
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,22,8.03548663493119e-06,0.000988364856096536,1.73351743731473,0.00196887460329715,0.242171576205549,0.784778205325666
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,20,0.000160158462101912,0.0196994908385352,1.30596515981639,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,21,0.000313688994347936,0.0385837463047961,1.18894726823464,0.00196887460329715,0.242171576205549,0.784778205325666
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,18,0.000313688994347936,0.0385837463047961,1.18894726823464,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,36,7.93371655046569e-05,0.0097584713570728,1.417962696362,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_12h,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,Vanilla-only significant,23,0.000160158462101912,0.0196994908385352,1.30596515981639,0.00577645522630862,0.71050399283596,0.385270654364906
cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Vanilla-only significant,42,3.59717677613814e-08,4.42452743464991e-06,2.31389997788891,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,Vanilla-only significant,21,1.49821174952854e-06,0.00018428004519201,1.93249105817205,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,99,2.46964030878651e-07,3.03765757980741e-05,2.12543199928726,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,72,8.03548663493119e-06,0.000988364856096536,1.73351743731473,0.0731481276708723,1.0,0.0
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,21,0.00059618767048381,0.0733310834695086,1.06522856619588,8.03548663493119e-06,0.000988364856096536,1.73351743731473
cd4_12h_vs_24h,KEGG_PYRIMIDINE_METABOLISM,Vanilla-only significant,90,4.62765891657924e-09,5.69202046739247e-07,2.49894648741163,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_12h_vs_24h,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,GenePT-only significant,96,0.0010996776918826,0.13526035610156,0.932110226066041,0.000313688994347936,0.0385837463047961,1.18894726823464
cd4_12h_vs_24h,REACTOME_NUCLEOBASE_CATABOLISM,Vanilla-only significant,27,3.81265104892234e-05,0.00468956079017448,1.52606285259303,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_12h_vs_24h,REACTOME_PHOSPHOLIPID_METABOLISM,Vanilla-only significant,170,3.59717677613814e-08,4.42452743464991e-06,2.31389997788891,0.0513887607461245,1.0,0.0
cd4_12h_vs_24h,REACTOME_PYRUVATE_METABOLISM,GenePT-only significant,26,0.00059618767048381,0.0733310834695086,1.06522856619588,0.000313688994347936,0.0385837463047961,1.18894726823464
cd4_12h_vs_24h,REACTOME_SULFUR_AMINO_ACID_METABOLISM,GenePT-only significant,23,0.00059618767048381,0.0733310834695086,1.06522856619588,7.93371655046569e-05,0.0097584713570728,1.417962696362
cd4_12h_vs_24h,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,GenePT-only significant,52,0.00196887460329715,0.242171576205549,0.784778205325666,7.93371655046569e-05,0.0097584713570728,1.417962696362
cd4_12h_vs_24h,REACTOME_TRIGLYCERIDE_METABOLISM,Vanilla-only significant,23,3.81265104892234e-05,0.00468956079017448,1.52606285259303,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_0h_vs_24h,KEGG_ETHER_LIPID_METABOLISM,Vanilla-only significant,19,3.52341775794401e-06,0.000433380384227113,1.83388406114409,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_24h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,Vanilla-only significant,18,0.000313688994347936,0.0385837463047961,1.18894726823464,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_0h_vs_24h,KEGG_RETINOL_METABOLISM,Vanilla-only significant,17,0.000313688994347936,0.0385837463047961,1.18894726823464,0.0233436169134307,1.0,0.0
cd4_0h_vs_24h,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,Vanilla-only significant,23,1.77726970010602e-05,0.0021860417311304,1.63105534906276,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_0h_vs_24h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Vanilla-only significant,31,8.03548663493119e-06,0.000988364856096536,1.73351743731473,0.00577645522630862,0.71050399283596,0.385270654364906
cd4_0h_vs_24h,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,Vanilla-only significant,25,7.93371655046569e-05,0.0097584713570728,1.417962696362,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_0h_vs_24h,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Vanilla-only significant,26,0.000313688994347936,0.0385837463047961,1.18894726823464,0.0010996776918826,0.13526035610156,0.932110226066041
cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,Vanilla-only significant,22,0.000313688994347936,0.0385837463047961,1.18894726823464,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,Vanilla-only significant,17,8.03548663493119e-06,0.000988364856096536,1.73351743731473,0.00059618767048381,0.0733310834695086,1.06522856619588
cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,GenePT-only significant,18,0.00059618767048381,0.0733310834695086,1.06522856619588,3.81265104892234e-05,0.00468956079017448,1.52606285259303
