target_index,comparison,pathway,detection_state,n_genes,control,true_signed_spearman_vs_vanilla,true_absolute_spearman_vs_vanilla,true_top5_overlap_vs_vanilla,true_top10_overlap_vs_vanilla,true_detection_flip_count,control_median_signed_spearman_vs_vanilla,true_percentile_signed_spearman_vs_vanilla,control_median_absolute_spearman_vs_vanilla,true_percentile_absolute_spearman_vs_vanilla,control_median_top5_overlap_vs_vanilla,true_percentile_top5_overlap_vs_vanilla,control_median_top10_overlap_vs_vanilla,true_percentile_top10_overlap_vs_vanilla,control_median_detection_flip_count,true_percentile_detection_flip_count
1,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,permuted,0.6024193537990605,0.4797862429522423,3,7,5,0.5365569253523395,0.7619047619047619,0.5706711792935146,0.14285714285714285,3.0,0.7619047619047619,7.0,0.6666666666666666,6.0,0.47619047619047616
1,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,random,0.6024193537990605,0.4797862429522423,3,7,5,0.9057478840250814,0.047619047619047616,0.8264218937140098,0.047619047619047616,4.0,0.2857142857142857,8.5,0.23809523809523808,3.0,0.7619047619047619
2,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Vanilla-only significant,42,permuted,-0.0543735027986374,0.31194524781893035,1,6,17,0.10149929620654766,0.3333333333333333,0.41496386300207994,0.14285714285714285,1.0,0.9047619047619048,4.0,1.0,11.0,0.7619047619047619
2,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Vanilla-only significant,42,random,-0.0543735027986374,0.31194524781893035,1,6,17,0.594632929958253,0.047619047619047616,0.5431617090725217,0.09523809523809523,3.0,0.14285714285714285,6.0,0.8571428571428571,1.0,1.0
3,cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,21,permuted,0.4529289322561414,0.5831161799023762,2,7,2,0.31528139523462984,0.8571428571428571,0.6513068484648812,0.38095238095238093,3.0,0.42857142857142855,7.0,0.7142857142857143,4.0,0.19047619047619047
3,cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,21,random,0.4529289322561414,0.5831161799023762,2,7,2,0.8479329845867679,0.047619047619047616,0.8199181882940868,0.047619047619047616,4.0,0.09523809523809523,8.0,0.38095238095238093,7.0,0.047619047619047616
4,cd4_12h_vs_24h,REACTOME_PHOSPHOLIPID_METABOLISM,Vanilla-only significant,170,permuted,0.10535300137287637,0.3406489698538925,0,1,10,0.09172169970632103,0.5714285714285714,0.2822505899248915,0.7619047619047619,0.5,0.5238095238095238,1.0,0.7142857142857143,36.5,0.2857142857142857
4,cd4_12h_vs_24h,REACTOME_PHOSPHOLIPID_METABOLISM,Vanilla-only significant,170,random,0.10535300137287637,0.3406489698538925,0,1,10,0.10875290845077853,0.5238095238095238,0.37352065637448956,0.3333333333333333,1.0,0.42857142857142855,1.5,0.5238095238095238,0.0,1.0
5,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,GenePT-only significant,18,permuted,0.41404612159329135,0.06289308176100629,1,6,8,0.5198288998214264,0.2857142857142857,0.25761030957569325,0.14285714285714285,2.0,0.19047619047619047,7.0,0.47619047619047616,5.0,0.9047619047619048
5,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,GenePT-only significant,18,random,0.41404612159329135,0.06289308176100629,1,6,8,0.8895287052681378,0.047619047619047616,0.6632547258561956,0.047619047619047616,4.0,0.047619047619047616,7.0,0.09523809523809523,6.0,0.8571428571428571
6,cd4_0h_vs_24h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Vanilla-only significant,31,permuted,0.0251831892774506,0.3290744481213082,1,6,14,0.10561447772398036,0.3333333333333333,0.22221032907425264,0.8571428571428571,1.0,0.5714285714285714,5.0,1.0,7.0,0.6190476190476191
6,cd4_0h_vs_24h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Vanilla-only significant,31,random,0.0251831892774506,0.3290744481213082,1,6,14,0.48853057055564814,0.047619047619047616,0.40692681625646654,0.14285714285714285,2.5,0.09523809523809523,6.0,0.5714285714285714,0.0,1.0
