target_index,comparison,pathway,detection_state,control,true_raw_p,true_score,control_median_score,true_minus_control_median_score,true_percentile_among_control,fraction_control_ge_true,fraction_control_significant,empirical_upper_p,empirical_lower_p,empirical_upper_p_bh30,empirical_lower_p_bh30
1,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,permuted,3.81265104892234e-05,4.418772941503782,4.1005233197136,0.3182496217901818,0.7623762376237624,0.24,0.84,0.24752475247524752,0.7623762376237624,0.8910891089108911,0.9482102056359482
1,cd4_0h_vs_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,random,3.81265104892234e-05,4.418772941503782,3.22461700967912,1.1941559318246622,1.0,0.0,0.32,0.009900990099009901,1.0,0.07425742574257425,1.0
2,cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,permuted,0.00196887460329715,2.7057819429935717,4.75024666314563,-2.044464720152058,0.019801980198019802,0.99,0.94,0.9900990099009901,0.019801980198019802,0.99009900990099,0.4752475247524752
2,cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,random,0.00196887460329715,2.7057819429935717,5.09498781691362,-2.3892058739200484,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
3,cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,2.02365997647813,1.2009570332009947,0.9405940594059405,0.06,0.06,0.06930693069306931,0.9405940594059405,0.6683168316831682,0.9504950495049503
3,cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,3.79545011009365,-0.5708331004145255,0.21782178217821782,0.79,0.79,0.7920792079207921,0.21782178217821782,1.0,0.31117397454031115
4,cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,permuted,0.00196887460329715,2.7057819429935717,2.130999282516145,0.5747826604774269,0.7524752475247525,0.25,0.1,0.25742574257425743,0.7524752475247525,0.8910891089108911,0.9482102056359482
4,cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,random,0.00196887460329715,2.7057819429935717,3.503500718082,-0.7977187750884283,0.009900990099009901,1.0,0.73,1.0,0.009900990099009901,1.0,0.018564356435643563
5,cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,2.70578194299357,0.5188350666855546,0.8217821782178217,0.18,0.18,0.18811881188118812,0.8217821782178217,0.8910891089108911,0.9482102056359482
5,cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,2.95873458497628,0.2658824247028444,0.7821782178217822,0.22,0.22,0.22772277227722773,0.7821782178217822,1.0,0.9386138613861387
6,cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,4.75024666314563,-1.5256296534665053,0.1485148514851485,0.86,0.86,0.8613861386138614,0.1485148514851485,0.99009900990099,0.4752475247524752
6,cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,3.79545011009365,-0.5708331004145255,0.1782178217821782,0.83,0.83,0.8316831683168316,0.1782178217821782,1.0,0.2673267326732673
7,cd4_0h_vs_12h,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,Vanilla-only significant,permuted,0.00577645522630862,2.238338588554161,2.70578194299357,-0.46744335443940876,0.3564356435643564,0.65,0.3,0.6534653465346535,0.3564356435643564,0.99009900990099,0.7128712871287128
7,cd4_0h_vs_12h,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,Vanilla-only significant,random,0.00577645522630862,2.238338588554161,3.79545011009365,-1.5571115215394888,0.009900990099009901,1.0,0.96,1.0,0.009900990099009901,1.0,0.018564356435643563
8,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,3.79545011009365,-0.5708331004145255,0.33663366336633666,0.67,0.67,0.6732673267326733,0.33663366336633666,0.99009900990099,0.7128712871287128
8,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,6.60736629503362,-3.382749285354495,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
9,cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,4.1005233197136,-1.1417887347373163,0.12871287128712872,0.88,0.76,0.8811881188118812,0.12871287128712872,0.99009900990099,0.4752475247524752
9,cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,5.82442680135432,-2.8656922163780356,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
10,cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,4.1005233197136,-0.8759063100344759,0.33663366336633666,0.67,0.67,0.6732673267326733,0.33663366336633666,0.99009900990099,0.7128712871287128
10,cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,6.20919355894615,-2.9845765492670253,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
11,cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,permuted,0.0731481276708723,1.1357967857740106,2.46567952091782,-1.3298827351438096,0.06930693069306931,0.94,0.23,0.9405940594059405,0.06930693069306931,0.99009900990099,0.4752475247524752
11,cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,random,0.0731481276708723,1.1357967857740106,5.45303586115776,-4.31723907538375,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
12,cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,permuted,8.03548663493119e-06,5.094987816913624,3.79545011009365,1.2995377068199736,0.9207920792079208,0.08,0.71,0.0891089108910891,0.9207920792079208,0.6683168316831682,0.9504950495049503
12,cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,random,8.03548663493119e-06,5.094987816913624,3.503500718082,1.5914870988316236,1.0,0.0,0.52,0.009900990099009901,1.0,0.07425742574257425,1.0
13,cd4_12h_vs_24h,KEGG_PYRIMIDINE_METABOLISM,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,6.60736629503362,-3.6486317100573356,0.04950495049504951,0.96,0.96,0.9603960396039604,0.04950495049504951,0.99009900990099,0.4752475247524752
13,cd4_12h_vs_24h,KEGG_PYRIMIDINE_METABOLISM,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,8.33463865838632,-5.375904073410036,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
14,cd4_12h_vs_24h,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,GenePT-only significant,permuted,0.000313688994347936,3.503500718082003,2.95873458497628,0.544766133105723,0.6831683168316832,0.32,0.4,0.32673267326732675,0.6831683168316832,0.8910891089108911,0.9482102056359482
14,cd4_12h_vs_24h,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,GenePT-only significant,random,0.000313688994347936,3.503500718082003,2.95873458497628,0.544766133105723,0.7524752475247525,0.25,0.37,0.25742574257425743,0.7524752475247525,1.0,0.9386138613861387
15,cd4_12h_vs_24h,REACTOME_NUCLEOBASE_CATABOLISM,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,2.70578194299357,0.5188350666855546,0.7029702970297029,0.3,0.3,0.3069306930693069,0.7029702970297029,0.8910891089108911,0.9482102056359482
15,cd4_12h_vs_24h,REACTOME_NUCLEOBASE_CATABOLISM,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,4.41877294150378,-1.194155931824656,0.04950495049504951,0.96,0.96,0.9603960396039604,0.04950495049504951,1.0,0.0781657113079729
16,cd4_12h_vs_24h,REACTOME_PHOSPHOLIPID_METABOLISM,Vanilla-only significant,permuted,0.0513887607461245,1.2891318553175355,2.70578194299357,-1.4166500876760344,0.1188118811881188,0.89,0.31,0.8910891089108911,0.1188118811881188,0.99009900990099,0.4752475247524752
16,cd4_12h_vs_24h,REACTOME_PHOSPHOLIPID_METABOLISM,Vanilla-only significant,random,0.0513887607461245,1.2891318553175355,7.8825863240523,-6.593454468734765,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
17,cd4_12h_vs_24h,REACTOME_PYRUVATE_METABOLISM,GenePT-only significant,permuted,0.000313688994347936,3.503500718082003,2.70578194299357,0.7977187750884331,0.7920792079207921,0.21,0.25,0.21782178217821782,0.7920792079207921,0.8910891089108911,0.9482102056359482
17,cd4_12h_vs_24h,REACTOME_PYRUVATE_METABOLISM,GenePT-only significant,random,0.000313688994347936,3.503500718082003,3.503500718082,3.1086244689504383e-15,0.5841584158415841,0.42,0.59,0.42574257425742573,0.5841584158415841,1.0,0.7619457597933706
18,cd4_12h_vs_24h,REACTOME_SULFUR_AMINO_ACID_METABOLISM,GenePT-only significant,permuted,7.93371655046569e-05,4.1005233197136,4.41877294150378,-0.31824962179018,0.3564356435643564,0.74,0.92,0.7425742574257426,0.3564356435643564,0.99009900990099,0.7128712871287128
