row_type,diagnostic,pathway,draw_id,method,feature,n_genes,truth_count,value,target_feature_rank_percentile_mean,non_target_feature_rank_percentile_mean,status
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,1,NA,mean_expression,27,5,0.4818181818181818,0.9111111111111111,0.4292929292929293,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,1,NA,detection_fraction,27,5,0.4818181818181818,0.9111111111111111,0.4292929292929293,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,1,NA,expression_sd,27,5,0.4818181818181818,0.9111111111111111,0.4292929292929293,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,mean_expression,27,5,0.6761202240644948,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,mean_expression,27,5,0.6444717146275994,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,detection_fraction,27,5,0.6616561136725826,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,detection_fraction,27,5,0.6304216203750546,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,expression_sd,27,5,0.6816596705975676,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,expression_sd,27,5,0.6493587039328325,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,mean_expression,27,5,-0.1420255049572998,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,mean_expression,27,5,-0.14416618450437294,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,detection_fraction,27,5,-0.12107597277270893,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,detection_fraction,27,5,-0.1240073536202869,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,expression_sd,27,5,-0.14017701682336528,,,ESTIMATED
