fallback_stratum,scope,n,raw_genept_minus_vanilla_mean,raw_genept_minus_vanilla_median,matched_null_genept_minus_vanilla_mean,matched_null_genept_minus_vanilla_median,calibrated_did_mean,calibrated_did_median,calibrated_did_descriptive_ci95_low,calibrated_did_descriptive_ci95_high
ALL,overall_non_null,660,0.07208771830449358,0.05501090777589315,0.03460899908804225,0.023318262852359772,0.03747871921645134,0.03704731425719417,0.017385297481582376,0.057572140951320294
ALL,mean_shift,220,0.177564075295636,0.1558175545276,0.03460899908804225,0.023318262852359772,0.1429550762075937,0.12570251490093123,0.10696485535045716,0.17894529706473025
ALL,cell_subset,220,0.030353017054700806,0.03303046904611717,0.03460899908804225,0.023318262852359772,-0.004255982033341438,0.0005193041907589416,-0.032780342044258046,0.024268377977575167
ALL,mixed_direction,220,0.008346062563143958,0.009401682776856601,0.03460899908804225,0.023318262852359772,-0.026262936524898296,-0.032410316695341,-0.06146034405275054,0.008934471002953952
NO_FALLBACK,overall_non_null,400,0.07153248478459204,0.06530580117876565,0.03869442456741018,0.03510345185047152,0.03283806021718186,0.0320596060545556,0.0057936690407934255,0.05988245139357029
NO_FALLBACK,mean_shift,180,0.18590735969244265,0.16715528573718905,0.041083372161470164,0.04686930416139342,0.1448239875309725,0.13389421322192588,0.1038029316079509,0.1858450434539941
NO_FALLBACK,cell_subset,180,0.025378814633108628,0.03602669750270368,0.041083372161470164,0.04686930416139342,-0.01570455752836152,-0.024055729057664066,-0.04916529819597136,0.01775618313924832
NO_FALLBACK,mixed_direction,40,-0.23546293661906037,-0.2613756613756614,0.01719389622087043,0.013918391186118234,-0.25265683283993084,-0.27807748380503805,-0.30078616782847906,-0.2045274978513826
FALLBACK,overall_non_null,260,0.07294192371972671,0.04895833333333338,0.02832372911978389,0.013224645896666137,0.044618194599942824,0.0425353926227405,0.015071121077999738,0.07416526812188591
FALLBACK,mean_shift,40,0.1400192955100059,0.09914138078460324,0.005474320257616669,0.0,0.1345449752523892,0.11429696613686054,0.06214733573920818,0.20694261476557024
FALLBACK,cell_subset,40,0.05273692795186562,0.03087016924866061,0.005474320257616669,0.0,0.04726260769424895,0.016552366549149378,0.0062149831419347,0.0883102322465632
FALLBACK,mixed_direction,180,0.06252584015918936,0.04308293008475944,0.038479021947413775,0.033103628827313075,0.024046818211775605,0.03461127707617853,-0.013921604648526192,0.0620152410720774
