row_type,scheme,population,status,pathway,draw_id,method,n_pathways,n_units,resamples,gene_count,truth_count,pool_size,eligible_pool_size,mean_ap,median_ap,sd_ap,exact_random_ap,mean_ap_minus_exact_chance,mean_genept_minus_vanilla_ap,mean_contrast_ap,median_contrast_ap,wilcoxon_p_value,rank_biserial,reason
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,,1,1000,27,5,8,8,0.539457271062271,0.5333333333333333,0.15549863329891123,0.27580063899080604,0.263656632071465,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,,1,1000,27,5,8,8,0.3082594950800833,0.3589377289377289,0.1076553275731571,0.27580063899080604,0.03245885608927729,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,,1,1000,27,5,27,8,0.27660580882119234,0.24155875525440743,0.11526296617666887,0.27580063899080604,0.0008051698303863097,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,,1,1000,27,5,27,8,0.2727071122401676,0.23896076146076145,0.11067313912327013,0.27580063899080604,-0.0030935267506384534,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,1,vanilla_scpa,,1,1000,27,5,8,8,0.5397541208791208,0.535952380952381,0.1562209777084437,0.27580063899080604,0.26395348188831474,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,1,genept_scpa,,1,1000,27,5,8,8,0.3063911579161579,0.3549491249491249,0.11036084002475362,0.27580063899080604,0.03059051892535186,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,2,vanilla_scpa,,1,1000,27,5,8,8,0.548761282051282,0.5609523809523809,0.15239744610841993,0.27580063899080604,0.272960643060476,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,2,genept_scpa,,1,1000,27,5,8,8,0.31225914565826335,0.35751322751322745,0.10667581217406194,0.27580063899080604,0.03645850666745731,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,2,vanilla_scpa,,1,1000,27,5,27,8,0.27836657538246046,0.2389214489214489,0.11937401388874225,0.27580063899080604,0.002565936391654422,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,2,genept_scpa,,1,1000,27,5,27,8,0.27524861906208486,0.24233061285692864,0.11458007740912156,0.27580063899080604,-0.0005520199287211702,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,2,vanilla_scpa,,1,1000,27,5,8,8,0.5334615201465202,0.5174908424908425,0.15797361068149335,0.27580063899080604,0.2576608811557141,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,2,genept_scpa,,1,1000,27,5,8,8,0.30231200280112047,0.3499491249491249,0.11000572676645201,0.27580063899080604,0.026511363810314437,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,3,vanilla_scpa,,1,1000,27,5,8,8,0.5404080586080586,0.5346428571428572,0.1513696755664142,0.27580063899080604,0.2646074196172526,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,3,genept_scpa,,1,1000,27,5,8,8,0.30792618832148244,0.35751322751322745,0.10727517761760651,0.27580063899080604,0.032125549330676406,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,3,vanilla_scpa,,1,1000,27,5,27,8,0.2745063542535571,0.24083729623203304,0.11377651863723902,0.27580063899080604,-0.0012942847372489075,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,3,genept_scpa,,1,1000,27,5,27,8,0.2757299938698972,0.2451079476079476,0.11085766335013043,0.27580063899080604,-7.06451209088188e-05,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,3,vanilla_scpa,,1,1000,27,5,8,8,0.5320150366300367,0.5174908424908425,0.15413846201082707,0.27580063899080604,0.25621439763923065,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,3,genept_scpa,,1,1000,27,5,8,8,0.30023915236179943,0.3499491249491249,0.10988169954864176,0.27580063899080604,0.024438513370993398,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,vanilla_scpa,,1,1000,27,5,8,8,0.5486747252747253,0.535952380952381,0.15759314231811036,0.27580063899080604,0.27287408628391924,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,genept_scpa,,1,1000,27,5,8,8,0.31336206792118554,0.35959048576695635,0.10944142549938515,0.27580063899080604,0.037561428930379503,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,vanilla_scpa,,1,1000,27,5,27,8,0.273727504714489,0.23747833232959087,0.11807611177300938,0.27580063899080604,-0.002073134276317057,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,genept_scpa,,1,1000,27,5,27,8,0.2731780191220465,0.24074929971988795,0.11117814267349833,0.27580063899080604,-0.002622619868759557,,,,,,
